,Sharma_21_H89-EGF_k0.1_r0.01,min_18_GSE122927_Meki_3B6_k0.1_r0.01,min_18_GSE122927_p21_3B6_k0.1_r0.01,min_18_GSE122927_SerumStarvation_3B6_k0.1_r0.01,Sharma_21_P_TPA_k0.1_r0.01,min_18_GSE122927_p21_2E2_k0.1_r0.01,min_18_GSE122927_P_ContactIn_3B6_k0.1_r0.01,min_18_GSE122927_ContactIn_2E2_k0.1_r0.01,min_18_GSE122927_CDK46i_2E2_k0.1_r0.01,min_18_GSE122927_P_CDK46i_2E2_k0.1_r0.01,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r0.01,johnson_18_GSE117444_P_k0.1_r0.01,Sharma_21_EGF_k0.1_r0.01,Sharma_21_P_EGF_k0.1_r0.01,min_18_GSE122927_P_p21_3B6_k0.1_r0.01,Sharma_21_P_H89-TPA_k0.1_r0.01,min_18_GSE122927_Meki_2E2_k0.1_r0.01,johnson_18_GSE117444_k0.1_r0.01,min_18_GSE122927_SerumStarvation_2E2_k0.1_r0.01,min_18_GSE122927_P_Meki_3B6_k0.1_r0.01,Sharma_21_TPA_k0.1_r0.01,Sharma_21_P_H89-EGF_k0.1_r0.01,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r0.01,min_18_GSE122927_ContactIn_3B6_k0.1_r0.01,min_18_GSE122927_P_p21_2E2_k0.1_r0.01,min_18_GSE122927_P_Meki_2E2_k0.1_r0.01,min_18_GSE122927_P_ContactIn_2E2_k0.1_r0.01,min_18_GSE122927_CDK46i_3B6_k0.1_r0.01,min_18_GSE122927_P_CDK46i_3B6_k0.1_r0.01,Sharma_21_H89-TPA_k0.1_r0.01
accoa,0.0,0.030001184882509854,0.0010163200040059683,0.0,0.021497751730545665,0.006757987229320497,0.0034394777756718924,0.0,0.0008706516310866554,0.008848352852768785,0.014555939315745876,0.009222724429104961,0.0,1.698818824299972e-06,0.0016339920428303024,0.0,0.0,0.008210654141495036,0.003792983763178757,0.005160707303886981,0.0013410913000314498,3.284988586353724e-06,0.014393817307639353,0.0007859200302335014,0.01096967625423664,0.011654300936248477,0.012292286909276121,0.025994541467647445,0.00011082606554896952,0.004404917719422861
ala_L,0.0,0.012272735644592294,0.0010379138099659941,0.0014845615394245863,0.018718520501656802,0.0010706931669079627,0.0044645978436342664,0.0019365752247649413,0.0011023532625508443,0.0,0.01871270497226173,0.009490722532517815,0.0026539964730410313,8.881700177164144e-05,0.0008915192710414462,0.0,0.0012806191538830552,0.07146427066223347,0.037986873493322325,0.03648234995099073,0.003564945887292018,0.0,0.02746035996975708,0.000149722789189001,3.3717616504548566e-05,0.034988520072995195,0.027490531822350058,0.0007097671475040257,0.0009175389727754327,0.0
amet,0.0007408823329320146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006453915079369002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0005922911817959085,0.0,0.0,0.0,0.0,0.0,0.0,6.445598525365777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0338950899318468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg_L,0.0,0.0,0.0,0.0,0.0,0.0002030738905398151,0.0,9.931646149874643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001423743835289,0.00021482062017325022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asn_L,0.0,0.0,0.002701388731744837,0.0010599356496846216,0.0,0.001004841513195132,0.002952276079696304,0.0006499790550392927,0.0014028783468074879,0.0,0.012382516557834096,0.007294339446963616,0.00154529865699959,0.0,0.0005622010165936129,0.0,0.0,0.036308178549590654,0.02341423526253446,0.013831194839998746,0.0012643263437437115,1.862671763977756e-05,0.014237193567684952,0.0006033794806088197,0.007894908561890866,0.009247558302668222,0.009340448210144549,0.0,2.7144916053860046e-05,0.0
asp_L,0.0,0.0,0.0,0.0,0.0,0.0013077798273805645,0.0,0.0,0.0,0.0019224676207162475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.097498221900028e-06,0.0,0.0,0.0,0.0,0.0,0.0015471306011650542,0.0,0.0
atp,0.0,0.0021158869466114047,0.0,0.003930624329752077,0.0,0.004484032031882156,0.002542426758458862,0.0003252169399230301,0.00019474223664363522,0.0016854720663341035,0.0,0.0014083051632226488,0.0,0.0,0.0007649425787457156,6.493035119351178e-05,0.0022558250306389744,0.0,0.0,0.0,0.0,0.0,0.0,0.002397979635302587,0.003763534149461264,0.0,0.0,0.002716378657732878,0.0,0.0009524800279177253
chsterol,0.00229622078232388,0.0011855786308273635,5.8795230918888756e-05,0.0003644751953980828,0.001196627744762558,0.002433015984717289,7.253552565431972e-06,0.00047301142023573604,5.831607198494175e-05,0.002999738655987218,0.003379297002074708,0.00279037177978696,0.0009297342453631174,7.730669144191949e-08,0.00026027112831854363,3.065258816827403e-05,0.0016094004550495351,0.0023055792533568076,0.0013141901784929561,0.001884341707432566,0.0002961740477696334,5.6270514992859e-06,0.002848171982925535,0.00022980526008880206,0.0007280414511508227,0.0036444147345554945,0.0023085069085620894,0.001581461112982135,4.877917307516866e-06,0.0003107695541023412
clpn_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8250725239875995e-05,0.0,2.6386763742571777e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
