,upgenes
0,ERRFI1
1,PIK3CD-AS1
2,MASP2
3,LOC105376736
4,MTOR-AS1
5,LOC440570_dup2
6,ID3
7,IL22RA1
8,GRHL3
9,KDF1
10,ACTG1P20
11,SYTL1
12,LCK
13,TFAP2E
14,ZC3H12A
15,YRDC
16,LINC01343
17,LOC101929516
18,MFSD2A
19,SLFNL1
20,SNORD160
21,SNORD38B
22,PLK3
23,TCTEX1D4
24,LURAP1
25,JUN
26,LINC01358
27,MIR186
28,C1orf52
29,BCL10
30,CYR61
31,GTF2B
32,LOC729930
33,GEMIN8P4
34,C1orf146
35,PTBP2
36,KCNC4-AS1
37,LINC01356
38,SLC16A1-AS1
39,AP4B1-AS1
40,FAM72B
41,CD160
42,CA14
43,ADAMTSL4-AS1
44,BNIPL
45,CDC42SE1
46,LINC00302
47,DCST2
48,EFNA1
49,SCARNA26A
50,MSTO2P_dup2
51,ETV3
52,DNM3OS
53,SNORD75
54,RGS16
55,PTGS2
56,MIR181A1HG
57,MIR181A1
58,ZNF281
59,TMEM183A
60,MYBPH
61,NUAK2
62,YOD1
63,ATF3
64,ACTA1
65,ZNF670
66,C1orf229
67,RNF144A-AS1
68,RNF144A
69,ID2
70,GRHL1
71,KLF11
72,ATP6V1C2
73,LINC01376
74,FAM228A
75,AGBL5-AS1
76,GCKR
77,VIT
78,THUMPD2
79,LINC01126
80,EML6
81,PELI1
82,LINC01812
83,ANKRD53
84,EGR4
85,DUSP2
86,LYG2
87,LYG1
88,SH3RF3-AS1
89,SOWAHC
90,MIR4782
91,LINC01856
92,LOC101928386
93,MYO3B
94,DLX2
95,ANKAR
96,COQ10B
97,CLK1
98,PPIL3
99,CFLAR-AS1
100,SNORD11
101,RUFY4
102,GPBAR1
103,CATIP-AS2
104,TUBA4B
105,KCNE4
106,SNORD20
107,ACKR3
108,PP14571
109,DUSP28
110,GPR35
111,ANO7
112,BHLHE40
113,EAF1
114,COLQ
115,SCN11A
116,TTC21A
117,CSRNP1
118,CX3CR1
119,MYL3
120,MIR191
121,CISH
122,LINC00696
123,GLYCTK-AS1
124,STAB1
125,SNORD136
126,SNORD19B
127,THOC7-AS1
128,PRICKLE2-AS3
129,KBTBD8
130,NFKBIZ
131,MIR6826
132,NPHP3-AS1
133,C3orf33
134,LINC02029
135,CCNL1
136,MLF1
137,SCHIP1
138,IL12A
139,TRIM59
140,EGFEM1P
141,OPA1-AS1
142,HES1
