,upgenes
0,NOG
1,ID1
2,CDC25A
3,MCM10
4,CDC45
5,MYPN
6,DLX2
7,E2F1
8,HBEGF
9,KISS1
10,MYBL1
11,CDC6
12,CCNA2
13,ZNF367
14,DTL
15,RRM2
16,ZWINT
17,GINS2
18,SAMD11
19,ID3
20,NCEH1
21,ORC1
22,MET
23,SERPINE1
24,SHCBP1
25,ORC6
26,OXTR
27,TRIP13
28,CDCA5
29,GINS1
30,MCM5
31,NCAPH
32,EXO1
33,C3orf52
34,IL11
35,PNP
36,TRIM55
37,RAD51
38,HJURP
39,CCDC99
40,MAD2L1
41,FEN1
42,WDR62
43,MYBL2
44,PRPS1
45,C11orf82
46,KIF18B
47,FAM83G
48,LOC100507127
49,ANLN
50,PRC1
51,ERCC6L
52,SKA1
53,GTSE1
54,PSMC3IP
55,ASF1B
56,PAQR4
57,UBE2C
58,NEK2
59,POLE2
60,PBK
61,CDT1
62,POLQ
63,AURKB
64,CEP55
65,SLC35F2
66,PTTG1
67,BUB1
68,SPHK1
69,TPX2
70,SPC25
71,WDR76
72,C15orf23
73,CDCA7
74,PPAPDC1A
75,SKA3
76,KIF23
77,RNASEH2A
78,EME1
79,MT2A
80,FANCD2
81,CDKN3
82,DDX39A
83,MCM2
84,NUF2
85,CTPS
86,EPHA2
87,MLF1IP
88,DIAPH3
89,PLK4
90,RAD54L
91,BIRC5
92,KIAA1524
93,DNAJC9
94,FAM54A
95,POLA2
96,MELK
97,RAD54B
98,BLM
99,TROAP
100,CENPI
101,CKAP2L
102,C1orf135
103,NCAPG2
104,MFSD2A
105,UBE2T
106,RRS1
107,ATOH8
108,SLC5A10
109,GINS3
110,STIL
111,LZTS1
112,SPAG5
113,MCM3
114,CDCA2
115,DEPDC1B
116,SGOL1
117,RANGAP1
118,SUV39H1
119,TUBB4B
120,RELT
121,CHAF1A
122,LMNB1
123,CHAF1B
124,GSG2
125,MCM8
126,RFC2
127,BUB1B
128,DPF1
129,PLEK2
130,PRR11
131,HAUS8
132,TRAIP
133,DEPDC1
134,NCAPG
135,AURKA
136,DUSP1
137,CCNF
138,MCM4
139,TUBA1C
140,DUSP2
141,MCM7
142,PRR5L
143,FANCA
144,PLK1
145,EXOSC9
146,RTTN
147,E2F8
148,LIG1
149,TNFRSF12A
150,GMNN
151,POC1A
152,MCAM
153,NUSAP1
154,ATAD2
155,TYMS
156,PFKP
157,CCDC15
158,FANCI
159,CDK2
160,CENPN
161,TIMELESS
162,TACC3
163,CDCA8
164,WWC1
165,CDCA4
166,EZR
167,GINS4
168,TUBA1B
169,HMMR
170,UBASH3B
171,THBD
172,VRK1
173,CDCA3
174,ODC1
175,CCDC86
176,RACGAP1
177,RFC4
178,ZWILCH
179,ADRB2
180,DBF4B
181,KIF4A
182,KIF11
183,TIPIN
184,PSRC1
185,EBNA1BP2
186,TTK
187,SEMA7A
188,TMEM48
189,DLGAP5
190,PRIM1
191,CENPH
192,DLX3
193,LMNB2
194,RIBC2
195,ARHGAP11A
196,NEIL3
197,FZD8
198,MMP3
199,GPR3
200,CENPO
201,NDC80
202,C17orf53
203,PDSS1
204,BRCA1
205,CCNB2
206,CHTF18
207,RFC3
208,LIN9
209,NR2C2AP
210,STMN1
211,BRIP1
212,KIF2C
213,CENPA
214,FJX1
215,DTYMK
216,RAD51AP1
217,FAM101B
218,FIGNL1
219,PCNA
220,RFC5
221,RANBP1
222,WRAP53
223,KIF22
224,ESCO2
225,NCAPD3
226,NUP35
227,HAS2
228,PARPBP
229,RLTPR
230,KPNA2
231,CD3EAP
232,ESPL1
233,RAD18
234,ARSI
235,DDX11
236,FOXM1
237,PRLR
238,EZH2
239,ALYREF
240,LRR1
241,E2F2
242,PIGW
243,FBXO5
244,SLC19A1
245,RFWD3
246,FUS
247,CDH2
248,PPIL1
249,HNRNPAB
250,ARHGAP22
251,RBL1
252,KIF20A
253,RECQL4
254,NGF
255,MRTO4
256,POLD1
257,CCDC85C
258,WDHD1
259,CKAP2
260,CDC20
261,MMS22L
262,LOC100128191
263,MT1L
264,APOBEC3B
265,3-Mar
266,IL7R
267,APCDD1L
268,KIF14
269,GAL
270,SMC2
271,EPHB1
272,IFRD2
273,GADD45B
274,KIF24
275,RRM1
276,GATA2
277,MYO19
278,DSN1
279,TUBB6
280,MICAL2
281,NOP16
282,CCND3
283,DSCC1
284,LOC152742
285,PKMYT1
286,BOLA3
287,EFR3B
288,CEP85
289,DMC1
290,FAM83D
291,MIS18A
292,C16orf59
293,SERPINB7
294,FKBP4
295,TIMM10
296,ATAD3B
297,DCLRE1B
298,PSMD2
299,TOP2A
300,KNTC1
301,WSB2
302,DSCAM
303,BNC1
304,DDX12P
