,dwgenes
0,SCYL3
1,BAD
2,FKBP4
3,KDM1A
4,ARHGAP33
5,UPF1
6,SKAP2
7,WDR54
8,MARK4
9,ZNF200
10,LRRC23
11,CLCN6
12,ANLN
13,UFL1
14,ZMYND11
15,ADGRA2
16,NCAPH2
17,KCNG1
18,BTN3A1
19,NUP160
20,FAM13B
21,ARID4A
22,GAB2
23,PEX3
24,GABARAPL2
25,USP2
26,PNKP
27,PHKA2
28,CTPS2
29,NOP16
30,FNIP2
31,NRIP2
32,ANAPC4
33,SOAT1
34,SLC6A16
35,SPHK2
36,U2AF2
37,FECH
38,ROCK1
39,IFI35
40,SIRT2
41,HDHD5
42,ASNS
43,EIF2B3
44,RDH11
45,MPP5
46,KDM5A
47,EED
48,ADD2
49,FRYL
50,TRAF4
51,MCAM
52,NMRK2
53,UBE2K
54,VDAC3
55,TNRC6C
56,FKBP7
57,NDC80
58,IL12RB2
59,MRPL22
60,TDRD3
61,RAD54L
62,MAST2
63,MRPL28
64,PHACTR3
65,ALG6
66,KIF9
67,FUS
68,ZBTB25
69,BLVRB
70,IRAK3
71,TFAP4
72,PLEKHG2
73,NLRC4
74,WDR76
75,TMEM38B
76,MZF1
77,MFNG
78,DMC1
79,RSPH14
80,C22orf31
81,FOXRED2
82,PHF5A
83,ABHD4
84,POLE2
85,CCDC198
86,RIN3
87,LGMN
88,BRMS1L
89,GINS1
90,NINL
91,MYBL2
92,C20orf24
93,SMCHD1
94,ST8SIA5
95,POLA1
96,NKAP
97,EEA1
98,STK24
99,SGCG
100,PARD6A
101,SLC7A6OS
102,HCFC1R1
103,CCP110
104,AP3B2
105,TMEM87A
106,CEP152
107,DNAJC17
108,OIP5
109,POP1
110,JPH1
111,GSDMD
112,ANXA13
113,INTS10
114,LIN7B
115,CD33
116,DBP
117,CRTC1
118,BET1
119,SP4
120,LSM 5.00
121,EZH2
122,CNTNAP3
123,AMBP
124,AK1
125,RLN1
126,FUBP3
127,LHX3
128,PIP5K1B
