,dwgenes
0,UPF1
1,CREBBP
2,GAS7
3,NCAPD2
4,STAB1
5,FMO1
6,TACC3
7,NPC1L1
8,CYP24A1
9,PLEKHO1
10,EHD2
11,TOMM34
12,LMO3
13,MPHOSPH9
14,RELT
15,CS
16,MCM10
17,SPEN
18,REEP1
19,BCL3
20,HMMR
21,CRMP1
22,CDHR2
23,GTSE1
24,PTPN23
25,MCAM
26,ARAF
27,UBE2D4
28,KIF22
29,CDC14B
30,WBP11
31,ORC1
32,MRPL28
33,RBM22
34,LAT2
35,SRRT
36,NID2
37,SF3B2
38,TFAP2C
39,KHSRP
40,TPX2
41,PDRG1
42,BIRC5
43,SLC9A1
44,ZFHX4
45,PHGDH
46,CDC45
47,CDC6
48,AAAS
49,TMEM14A
50,MAST3
51,SETD1A
52,SF3A1
53,MCM5
54,PDGFB
55,EP300
56,PHF5A
57,TRMU
58,CDKN3
59,CHD8
60,MYBL2
61,DOK5
62,TUBB1
63,FAM83D
64,CEP76
65,SUV39H1
66,CCDC22
67,DRP2
68,CDADC1
69,DHODH
70,FA2H
71,GDAP1
72,DOT1L
73,SF3A2
74,SNAPC2
75,ASF1B
76,DMAC2
77,LIG1
78,ARRDC2
79,SIPA1L3
80,DUS4L
81,ADAP1
82,HOXA2
83,BUD31
84,SNX8
85,TAF6
86,MOSPD3
87,USP42
88,ENG
89,GATA3
90,GBF1
91,UBE2S
92,GIT1
93,PHF12
94,TMEM109
95,CHORDC1
96,PTGES3
97,KRT18
98,FOXM1
99,FZD10
100,TIMELESS
101,CDCA3
102,ATN1
103,FBXO5
104,FBRSL1
105,KIF20A
106,ARSB
107,HES1
108,CENPA
109,LOXL3
110,ZNF142
111,SLC1A4
112,BCL9
113,SRM
114,PRG4
115,MYCL
116,CDC20
117,STMN1
118,ARID1A
119,ARG1
120,CTGF
121,UBN1
122,WDR34
123,RAB14
124,YLPM1
125,TMEM214
126,AFTPH
127,C10orf95
128,EXOSC8
129,SORBS3
130,SV2C
131,DDX39A
132,ORMDL2
133,STIL
134,SNAI1
135,AARS2
136,KLHDC3
137,UPF3B
138,SLC25A23
139,SNRPB
140,LRRN4
141,CHURC1-FNTB
142,DLGAP5
143,HSPA2
144,EMC6
145,YWHAH
146,CDC42EP1
147,RIBC2
148,PIMREG
149,QRICH2
150,CDKN1C
151,TSPAN16
152,RTN4IP1
153,LSP1
154,TAF4
155,UBE2M
156,DNMT1
157,HIGD1B
158,NFATC1
159,C3orf20
160,TOP2A
161,NUP210
162,KANK4
163,CDCA8
164,DAGLA
165,ANKRD6
166,NAT10
167,TROAP
168,ESPL1
169,KRT87P
170,STAB2
171,ANP32B
172,FOXP4
173,FLOT1
174,MDC 1.00
175,NRM
176,NUMA1
177,SLTM
178,CENPO
179,KIF11
180,UBL7
181,VAMP1
182,LGR5
183,GAS2L3
184,COMMD4
185,PELP1
186,TP53
187,ARHGDIA
188,SMAD4
189,TNFRSF11A
190,NFIC
191,DPP9
192,ZFP14
193,ZNF614
194,CNKSR1
195,MAP3K6
196,KIF2C
197,NR1I3
198,SF3B4
199,TAF1A
200,UBAP2L
201,SOX13
202,TMF1
203,C7orf26
204,TRIM4
205,CXorf57
206,FAM135B
207,PAXX
208,NOTCH1
209,POLR3A
210,MKI67
211,CAPN5
212,INCENP
213,SOGA1
214,RILPL2
215,BAG3
216,SPC25
217,CWF19L2
218,RPP38
219,PART1
220,CNTNAP5
221,LARP1
222,DCK
223,ADAMTS3
224,CFAP161
225,SCAF4
226,LRFN2
227,FZD1
228,ZFHX2-AS1
229,CCNB2
230,FAIM
231,AUTS2
232,ZC3H18
233,PPP1R15B
234,ZNF276
235,B4GALT3
236,CBR1
237,PTMS
238,ZYX
239,FNDC5
240,SPATC1L
241,C19orf47
242,RUSC1
243,FAM189B
244,TONSL
245,MAML1
246,NAPEPLD
247,SPC24
248,CCNF
249,TBC1D24
250,USP1
251,KIAA1841
252,ALPP
253,ALPPL2
254,DCST2
255,KLF15
256,RFC4
257,PIGX
258,CDC25A
259,PITX2
260,HMGB2
261,C4orf45
262,SLC13A4
263,FOXK1
264,ZNF367
265,CLDN2
266,TAF3
267,PRAP1
268,ZNF319
269,LEO1
270,TVP23A
271,TMPRSS5
272,MARF1
273,FAM96A
274,C18orf54
275,PLK1
276,TAC3
277,SCG5
278,NYAP1
279,TRIM68
280,MIDN
281,CDT1
282,NUDT8
283,GHDC
284,HR
285,E2F6
286,Z99496.1
