,dwgenes
0,BAD
1,LAP3
2,KLHL13
3,FKBP4
4,ALDH3B1
5,ARHGAP44
6,FUZ
7,LARS2
8,DCN
9,ELOVL5
10,POLR3B
11,ZMYND11
12,CNTN1
13,ATP1A2
14,PHLDB1
15,PLEKHO1
16,KCNG1
17,NUP160
18,PEX3
19,GABARAPL2
20,USP2
21,ZIC2
22,PHKA2
23,CTPS2
24,USP28
25,NOP16
26,SOAT1
27,RFXANK
28,SEC61A2
29,FECH
30,IDH3G
31,EIF2B3
32,NFATC3
33,NUAK1
34,ADD2
35,RBM7
36,UNG
37,TRAF4
38,NMRK2
39,TIGAR
40,VDAC3
41,SLC35C2
42,OSTM1
43,CCNT2
44,OXCT1
45,MAST2
46,EPDR1
47,IRAK3
48,TFAP4
49,PDPR
50,SEC22C
51,ARVCF
52,HIRA
53,C22orf31
54,TTLL1
55,L3MBTL2
56,PHF5A
57,PAPLN
58,EMC9
59,C20orf24
60,RAE1
61,TCFL5
62,FAM83D
63,SMCHD1
64,RBBP8
65,MID1
66,PHEX
67,NALCN
68,PLLP
69,DHODH
70,PARD6A
71,USB1
72,SLC7A5
73,CDIPT
74,AP3B2
75,IGDCC4
76,CEP152
77,ATP8B4
78,ANXA13
79,INTS10
80,SF3A2
81,CNTD2
82,SLC1A5
83,DBP
84,ARRDC2
85,CRTC1
86,FKBP8
87,SP4
88,CBLL1
89,CHN2
90,LSM 5.00
91,EZH2
92,LIMK1
93,AMBP
94,RLN1
95,ELAVL2
96,LHX3
97,LIPA
98,EDRF1
99,SMC3
100,GIT1
101,MMD
102,SUPT6H
103,NKX3-2
104,UNC93B1
105,CHKA
106,SCNN1A
107,COPS7A
108,CHPT1
109,RIPOR2
110,B3GAT2
111,GUCA1B
112,EXOC2
113,FBRSL1
114,DAP
115,PDE8B
116,TBCCD1
117,ARL 6.00
118,SF3B6
119,EIF2B4
120,EFEMP1
121,PECR
122,UNC50
123,CHST10
124,PLCD4
125,UXS1
126,PASK
127,MSH6
128,CEP104
129,TTF2
130,P3H1
131,ATP6V0B
132,MESD
133,CTGF
134,SPP1
135,TRIM32
136,NDUFA8
137,IRF2BPL
138,ARAP3
139,UTP20
140,SORBS3
141,EEPD1
142,POLM
143,KIAA1549
144,SRGN
145,CISD1
146,PKN1
147,CDK2
148,ATG101
149,MXD4
150,DAW1
151,PIGT
152,OARD1
153,AP002380.1
154,C16orf70
155,TMEM255A
156,BMP4
157,NT5C
158,PANK2
159,NRSN2
160,ST3GAL3
161,THRA
162,COX7C
163,ABHD8
164,MASP1
165,DYRK2
166,VPREB3
167,MYO1B
168,IVD
169,NRL
170,CDO1
171,ARPC1B
172,TAF4
173,ARHGEF16
174,AC010531.1
175,COX7B
176,NINJ1
177,CHSY1
178,NUP210
179,EMILIN2
180,RRP8
181,TMEM128
182,PCBD2
183,FLOT2
184,TERF2
