,upgenes
0,C1orf112
1,CD99
2,UPF1
3,CREBBP
4,ITGA3
5,TNFRSF12A
6,MAP3K9
7,GGCT
8,GAS7
9,E2F2
10,MED24
11,NCAPD2
12,STAB1
13,FYN
14,FMO1
15,DPF1
16,QPCTL
17,UBR7
18,CLDN11
19,TACC3
20,NPC1L1
21,CYP24A1
22,SERPINB1
23,SPAST
24,EHD2
25,DEPDC1
26,B4GALT7
27,TBPL1
28,ANK1
29,ABCF2
30,MAP2K3
31,TMSB10
32,DEPDC1B
33,TUBG2
34,R3HDM1
35,EPN3
36,MPHOSPH9
37,RELT
38,PKP2
39,CAMK2B
40,DGKG
41,GNA15
42,MPC1
43,HDAC7
44,CS
45,EPN1
46,MED29
47,CNN2
48,AP3D1
49,SPEN
50,FAM107B
51,PRR11
52,BCL3
53,ASNS
54,PABPC1
55,TCOF1
56,DAZAP1
57,ACTN1
58,SMC1A
59,MARK2
60,HMMR
61,CRMP1
62,NDE1
63,AP1M1
64,XRCC1
65,NLE1
66,VDAC1P1
67,TACR2
68,SEMA3A
69,GTSE1
70,ACTB
71,WDR62
72,MCM6
73,PTPN23
74,PLXNA2
75,ICAM3
76,MCAM
77,MBNL3
78,UBE2T
79,ARAF
80,REXO1
81,RAPGEF3
82,KIF22
83,TCF7
84,CDC14B
85,CHMP2B
86,WBP11
87,CAD
88,ORC1
89,SNX10
90,LAT2
91,SRRT
92,BAX
93,L2HGDH
94,SF3B2
95,AURKA
96,CNOT3
97,KHSRP
98,TPX2
99,PDRG1
100,TGDS
101,PXN
102,FUS
103,GMIP
104,BIRC5
105,SLC9A1
106,NUDC
107,MYO15A
108,ORC6
109,ZFHX4
110,OSGEP
111,TYRO3
112,PHGDH
113,CLSPN
114,DPYSL2
115,CDC45
116,CDC6
117,AAAS
118,NUP188
119,CRTAC1
120,TMEM14A
121,MAST3
122,CBARP
123,MISP
124,CEP170B
125,MKNK2
126,RANBP1
127,SUSD2
128,SF3A1
129,MFNG
130,CARD10
131,SLC25A1
132,SEZ6L
133,CENPM
134,SUN2
135,LMF2
136,MCM5
137,PDGFB
138,EP300
139,PHF5A
140,TRMU
141,BRD1
142,ZBED4
143,CDKN3
144,AHSA1
145,ERH
146,MYBL2
147,DOK5
148,TUBB1
149,TLDC2
150,PAK5
151,FAM83D
152,CEP76
153,LIPG
154,SUV39H1
155,USP11
156,SRPX2
157,SYTL4
158,CENPI
159,DHODH
160,AXIN1
161,COTL1
162,CSK
163,CD276
164,EHD4
165,ZNF106
166,SGK3
167,EYA1
168,PLAT
169,ZC2HC1A
170,SF3A2
171,SNAPC2
172,CCDC61
173,ASF1B
174,C19orf44
175,EPHX3
176,SYDE1
177,GPI
178,LIG1
179,BCAT2
180,MIER2
181,CRTC1
182,LSR
183,SIPA1L3
184,DUS4L
185,CBLL1
186,ATP6V0A4
187,HOXA1
188,HOXA2
189,STX1A
190,NOD1
191,BUD31
192,SNX8
193,TAF6
194,USP42
195,AP1S1
196,RPA3
197,CEP41
198,MEST
199,MRPL32
200,AKNA
201,ENG
202,CA9
203,GATA3
204,ATRNL1
205,NPM3
206,GBF1
207,UBE2S
208,PFN1
209,LRRC59
210,PHF12
211,SC5D
212,CCND1
213,CHORDC1
214,PTGES3
215,KRT18
216,FOXM1
217,OAS3
218,RASAL1
219,ARHGDIB
220,DDX55
221,RFC5
222,TIMELESS
223,CDCA3
224,ATN1
225,LPCAT3
226,NT5DC3
227,FBXO5
228,PPARD
229,MCM3
230,BAG2
231,PPP2R5D
232,VEGFA
233,TTK
234,FBRSL1
235,PAPD7
236,KIF20A
237,ARSB
238,DPYSL3
239,PFKFB4
240,HYAL1
241,ACVR2B
242,PLCH1
243,CENPA
244,ZNF142
245,TCEANC2
246,ARHGEF2
247,SRM
248,CRYZ
249,KIF21B
250,HMGCL
251,CDC20
252,TSPAN1
253,STMN1
254,MAN1C1
255,ARID1A
256,CENPF
257,RPA2
258,KIF14
259,NRP2
260,AKAP7
261,UBN1
262,CPSF3
263,WDR34
264,RAB14
265,PHF19
266,YLPM1
267,LTBP2
268,FAM98A
269,EPCAM
270,EXOSC8
271,EGR1
272,TMPO
273,SOCS2
274,DUSP4
275,SORBS3
276,LRAT
277,TMEM131L
278,MND1
279,ZNF549
280,LHX4
281,RNF2
282,GJA3
283,KHDRBS1
284,TMEM39B
285,LIAS
286,SV2C
287,DDX39A
288,ADGRE5
289,ZC3H13
290,CENPK
291,STIL
292,CKS2
293,PIGT
294,SNAI1
295,FASTKD3
296,AARS2
297,HIST1H1A
298,RPS10
299,RREB1
300,MT2A
301,GOT2
302,C17orf53
303,SLC25A19
304,PPDPF
305,SLC25A23
306,SNRPB
307,RRBP1
308,FAM110A
309,AGO3
310,AHDC1
311,ELK1
312,DLGAP5
313,AIF1L
314,ADGRE2
315,PKMYT1
316,SMARCA4
317,TICAM1
318,AAMP
319,GNG11
320,ZFP36
321,POM121L9P
322,CDC42EP1
323,RAC2
324,RIBC2
325,PODXL
326,OSGEPL1
327,SNRPN
328,PIMREG
329,FOXA1
330,MIS18BP1
331,DOCK6
332,ELOF1
333,RTN4IP1
334,STK33
335,FCHO1
336,MAP1S
337,LSP1
338,TAF4
339,ZC3H4
340,LRRC47
341,MED18
342,DNMT1
343,UBA1
344,AKAP12
345,HIGD1B
346,GINS2
347,RFTN1
348,TUBG1
349,ACLY
350,DIAPH1
351,TNS4
352,TOP2A
353,PIAS3
354,FAAP24
355,NUP210
356,PTPRE
357,RAP1GAP2
