,upgenes
0,DBNDD1
1,CFLAR
2,ARHGAP33
3,DVL2
4,THSD7A
5,FAM214B
6,CREBBP
7,TSPOAP1
8,KMT2E
9,PDK2
10,CRLF1
11,ALDH3B1
12,GTF2IRD1
13,ARSD
14,MARK4
15,RHBDF1
16,PIGQ
17,NADK
18,SPAG9
19,CELSR3
20,PKD1
21,CD9
22,NISCH
23,IDS
24,ABHD5
25,DCN
26,ZBTB32
27,CALCOCO1
28,MAN2B2
29,MVP
30,MAMLD1
31,RUFY3
32,ATP1A2
33,RB1CC1
34,BIRC3
35,RRAGD
36,TYMP
37,BTN3A1
38,TNFRSF1B
39,ARID4A
40,SH3YL1
41,TIMP2
42,FBXO42
43,MSR1
44,RIPOR1
45,BEST2
46,CTNS
47,TG
48,CUL7
49,GEMIN8
50,GPM6B
51,FAM214A
52,HDAC9
53,PER3
54,NEDD4L
55,ARHGEF5
56,LETMD1
57,FAM160A2
58,PRSS8
59,FOXN3
60,SYNE2
61,TAB2
62,PHF21B
63,TMCC3
64,ATP2B4
65,PIGV
66,ELMO2
67,HAGH
68,HIPK2
69,BORCS8-MEF2B
70,CTSA
71,ABCA7
72,CHI3L2
73,TAF11
74,ERBB3
75,MYLK
76,COL17A1
77,TLE2
78,FOXJ2
79,ATXN3
80,STAG3
81,MYO9A
82,CACNB1
83,PRKCZ
84,INPP5A
85,TTC7A
86,SIRT2
87,PYGM
88,CLEC2D
89,RORA
90,TGFBR3
91,
92,PLA2G10
93,FSTL3
94,DGCR2
95,MNT
96,ST6GALNAC2
97,TESK2
98,PTPN21
99,ARHGAP10
100,FAM3A
101,CYBRD1
102,SPEG
103,CRMP1
104,EVC
105,PANX2
106,ALPK1
107,LLGL2
108,ADAM11
109,DHRS9
110,CLASP1
111,CDHR2
112,MGLL
113,NTN4
114,FOSL2
115,SLC46A1
116,TRAF4
117,CAMSAP3
118,STXBP2
119,NFKB2
120,PAK3
121,GPR137B
122,FBLN1
123,MAP2
124,NEBL
125,TNRC6C
126,BRINP1
127,TP73
128,TOLLIP
129,CLDND1
130,ATP8B1
131,NFE2L1
132,ZCCHC6
133,ZNF416
134,COL16A1
135,NCOA1
136,HACE1
137,SH3BP2
138,TXNDC16
139,KLHL42
140,PHACTR3
141,EPB41L1
142,DOCK3
143,MAVS
144,KIZ
145,CFAP61
146,FXYD3
147,ANKRD24
148,LTBP4
149,YPEL3
150,P3H2
151,OSBPL8
152,DTX2
153,NLRP1
154,ZFHX4
155,ESR1
156,PPP2R3C
157,TINF2
158,CRAT
159,SH2D3C
160,PDE6C
161,SORBS1
162,BRPF3
163,EFHC1
164,ITPR3
165,IL12RB1
166,MAST3
167,CIRBP
168,CDHR5
169,GADD45B
170,PALM
171,MADCAM1
172,MED15
173,YPEL1
174,PRODH
175,TOP3B
176,HPS4
177,PIK3IP1
178,CYP2D6
179,LMF2
180,PACSIN2
181,TTLL1
182,HMOX1
183,CBX7
184,APOL1
185,IFT27
186,EP300
187,ABHD4
188,KHNYN
189,SDR39U1
190,VTI1B
191,TIMM9
192,SRSF5
193,PAPLN
194,ABHD12
195,SGK2
196,RNF24
197,RSPO4
198,CST3
199,APMAP
200,ZNF516
201,LPIN2
202,MYOM1
203,SMAD7
204,ANKRD12
205,POLI
206,RIOK3
207,TBL1X
208,WDR13
209,PLP2
210,ELF4
211,KCND1
212,ARMCX3
213,TNFSF13B
214,RGCC
215,DGKH
216,MSLN
217,TRADD
218,HSF4
219,N4BP1
220,HCFC1R1
221,RBL2
222,TGM5
223,BMF
224,DMXL2
225,SLC30A4
226,TRIM35
227,TRPA1
228,IL7
229,GSDMD
230,MAN2B1
231,NFKBIB
232,RELB
233,FCGRT
234,PPP1R13L
235,SF3A2
236,TBC1D17
237,IL27RA
238,VRK3
239,DYRK1B
240,CLC
241,PLD3
242,PRX
243,SLC1A5
244,TJP3
245,MEIS3
246,CYTH2
247,PLA2G4C
248,TNPO2
249,ARRDC2
250,CRTC1
251,ETV2
252,LSR
253,SMG9
254,BET1
255,SP4
256,LFNG
257,GRB10
258,CLDN15
259,ZNF862
260,PRKAG2
261,AEBP1
262,NMRK1
263,TLE4
264,TESK1
265,GLIS3
266,RAPGEF1
267,GATA3
268,HPS1
269,PHYH
270,CDH23
271,LZTS2
272,SFXN3
273,NEURL1
274,SH3PXD2A
275,TBC1D12
276,CDK5RAP3
277,GALK1
278,EZH1
279,DLX4
280,VAT1
281,HDAC5
282,MPP2
283,EFNB3
284,MANBA
285,MAPK10
286,TBC1D9
287,GAB1
288,LRP2BP
289,ZBTB16
290,DNAJC4
291,DTX4
292,HPX
293,TRIM3
294,ARHGEF17
295,CD5
296,MDK
297,SOX6
298,CHKA
299,PPM1H
300,CREBL2
301,CDKN1B
302,FZD10
303,ADGRD1
304,GNPTAB
305,ATN1
306,PTPN6
307,NT5DC3
308,PRKAB1
309,ST8SIA1
310,TPD52L1
311,RIPOR2
312,FANCE
313,SOD2
314,BACH2
315,PERP
316,PHF1
317,TFEB
318,BTN2A1
319,GHR
320,COL4A3BP
321,CLK4
322,IRX4
323,PCDH12
324,LIFR
325,C9
326,BCL6
327,AMOTL2
328,XRN1
329,KAT2B
330,CBLB
331,C3orf52
332,ROPN1B
333,SCAP
334,NEK11
335,KLHL24
336,ACTR1B
337,DNAJC27
338,FNDC4
339,CLIP4
340,TLX2
341,UNC50
342,IL1R1
343,IL18R1
344,STRN
345,SLC1A4
346,VAX2
347,EPHA4
348,PAPPA2
349,CHD5
350,ERRFI1
351,S100PBP
352,RHOU
353,C1orf21
354,SWT1
355,PRDM2
356,PLEKHM2
357,KMO
358,AKT3
359,GBP1
360,CDK18
361,HMGCL
362,RCAN3
363,SYF2
364,RSRP1
365,RCOR3
366,SLC5A9
367,ESYT2
368,KMT2A
369,C1orf54
370,CA14
371,FOXO3
372,PKD2
373,CCNI
374,PPL
375,HS1BP3
376,PIGZ
377,CCDC92
378,C1orf198
379,BBOF1
380,IRF2BPL
381,FLVCR2
382,GPR68
383,KLHL29
384,SLC17A5
385,PYROXD2
386,MOB3B
387,TNFSF11
388,WBP4
389,WASHC3
390,DUSP4
391,CLU
392,SORBS3
393,PTK2B
394,SCPEP1
395,FAM117A
396,ZNF549
397,CD80
398,CRY2
399,PTGFR
400,LRRC39
401,TWIST1
402,DNAI1
403,BHLHE41
404,NECAB1
405,ATP7B
406,OPTN
407,LRP1
408,PLP1
409,GPR83
410,INHA
411,SLC12A4
412,TOX2
413,CDH26
414,PPP4R1L
415,PAIP2B
416,KLHL31
417,CPNE5
418,RUNX2
419,AHNAK
420,BBS2
421,RAP2A
422,FAM193A
423,BARHL1
424,PPP1R12C
425,SLC2A4RG
426,SLC25A23
427,ALKBH7
428,TRIP10
429,BMP2
430,ZNF436
431,CHURC1-FNTB
432,MMP24
433,F10
434,THRA
435,NR1D1
436,RRAS
437,STAT5A
438,AHDC1
439,SLC10A3
440,EDN2
441,TSPAN8
442,KLF2
443,HIP1
444,ZFP36
445,KDR
446,ATF4
447,APOL3
448,TPST2
449,MPST
450,APOL2
451,CCDC136
452,IRF5
453,CGNL1
454,TTBK2
455,PALLD
456,PLD2
457,LRRC6
458,MTUS1
459,CDKN1C
460,IQCN
461,JUND
462,ZBTB46
463,PNPLA7
464,LAMA5
465,ASS1
466,ATG4D
467,MAP3K10
468,ZNF426
469,PLXNA3
470,CASZ1
471,HABP4
472,GSE1
473,NFATC1
474,RAB11FIP4
475,GALNT15
476,PPFIA1
477,PRKAB2
478,ITGB4
479,WBP2
480,KDM6B
481,VPS13B
482,REEP2
483,MTSS1L
484,TESMIN
485,OSER1
486,SLC14A2
487,FBXO44
488,ZMYM5
489,STARD13
490,TCEAL4
491,RARRES3
492,FAM83F
493,KRBA1
494,BTG1
495,SBF2
496,UNC79
497,PEBP4
498,CTIF
499,VAV3
500,WNT2B
501,SPIRE1
502,LPIN1
503,CRB1
504,SPX
505,AGO4
506,ZCCHC11
507,ADAMTS8
508,BICDL1
509,DMTF1
510,CCDC146
511,CEP162
512,PRR5L
513,PHF21A
514,PAN2
515,MAP7
516,MICAL1
517,GLUL
518,DNAJB2
519,TMEM127
520,ANKRD36
521,STAB2
522,SLC41A2
523,TNS3
524,GPNMB
525,ALPK3
526,CALCOCO2
527,TEX2
528,TMOD1
529,RNF38
530,CD72
531,GMPR
532,TMEM63B
533,IRF4
534,FHDC1
535,NUMA1
536,RAB30
537,MMP7
538,TRIM29
539,C11orf1
540,MAP2K5
541,MAPKBP1
542,PARP6
543,DUSP5
544,PLCE1
545,ADAMTS14
546,APH1B
547,ARHGAP24
548,FAM13A
549,KIAA1109
550,MAPK8IP3
551,TTLL8
552,GABARAPL1
553,FGD4
554,COL2A1
555,MARCH9
556,LNX2
557,N4BP2L1
558,LMBR1L
559,MORN3
560,REM2
561,CBLN3
562,RTN1
563,JDP2
564,FBLN5
565,SERPINA10
566,SLC12A6
567,BAHD1
568,CDAN1
569,SCAPER
570,NEIL1
571,CYP1A1
572,HAPLN3
573,ABHD2
574,DET1
575,MFGE8
576,RPL3L
577,TCF25
578,TOB1
579,BCAS3
580,MINK1
581,CBX4
582,GRB7
583,NFIC
584,ZFP14
585,COL6A1
586,SIK1
587,RNPEPL1
588,RERE
589,CELA2A
590,HSPG2
591,PTPRF
592,SYPL2
593,RRNAD1
594,LYPLAL1
595,RORC
596,CTSK
597,MINDY1
598,SEMA6C
599,ARNT
600,DUSP10
601,SLC39A1
602,HCN3
603,LYST
604,MBOAT2
605,WNT9A
606,ETNK2
607,PLEKHA6
608,ARL8A
609,RHOB
610,DQX1
611,NPHP1
612,KANSL1L
613,VGLL4
614,RETREG2
615,CTDSP1
616,IGSF11
617,BOC
618,UCN2
619,SNCA
620,CYP4V2
621,MARCH6
622,SRD5A1
623,PIK3R1
624,GABRA6
625,CPLX2
626,GFOD1
627,FAM193B
628,RNF44
629,RASGEF1C
630,SCUBE3
631,CYP39A1
632,PNRC1
