,0
0,
1,ACOT8
2,ACOT8
3,ACOT8
4,GNPDA1
5,PLA2G4B
6,GNE
7,PIGK
8,
9,SDR42E2
10,
11,SLC17A4
12,NT5C1B-RDH14
13,ABCC5
14,ABCC5
15,ABCB6
16,ABCC9
17,COL4A3BP
18,UST
19,ADA
20,NAMPT
21,AASS
22,CHST4
23,SLC25A13
24,SLC25A15
25,DHRS9
26,NME6
27,DHRS2
28,COQ7
29,SLC17A2
30,GLYAT
31,ABCC4
32,
33,CBSL
34,TCIRG1
35,TCIRG1
36,B3GALT5
37,B3GALT5
38,B3GALT5
39,B3GALT5
40,B3GALT5
41,AKR1A1
42,AKR1A1
43,B3GNT3
44,ABCA8
45,CDO1
46,BPNT1
47,CEPT1
48,ATP8A1
49,PEMT
50,PEMT
51,PEMT
52,ST3GAL6
53,CDS1
54,CDIPT
55,CDIPT
56,ACAA2
57,ECI2
58,ATP5H
59,ATP5H
60,SLC25A17
61,HTATIP2
62,AGPAT1
63,AGPAT2
64,SPTLC1
65,SLC35A1
66,SLC19A2
67,SLC34A2
68,CEL
69,TXNRD2
70,MTHFS
71,SLCO1B1
72,PAICS
73,ST6GALNAC2
74,ATP5L
75,PMVK
76,CES1
77,B3GNT2
78,B3GNT2
79,EBP
80,FUT9
81,CERS1
82,UGT2B11
83,SLC12A7
84,MGEA5
85,PTGES3
86,AHCYL1
87,AHCYL1
88,SLC17A3
89,MTHFD2
90,ADCY1
91,CFTR
92,NEU3
93,FAXDC2
94,ALDH1L1
95,FTCD
96,FTCD
97,PDE10A
98,CYP46A1
99,SLC26A1
100,SLC26A1
101,SLC26A1
102,SLC22A7
103,HCST
104,ME3
105,ADCY2
106,DHRS4
107,EHMT2
108,RALBP1
109,PRDX3
110,PRDX3
111,UGT2A1
112,STARD3
113,ACOT2
114,UQCR11
115,SLC38A3
116,SDS
117,SLC27A5
118,SLC27A4
119,ADCY3
120,SLC27A3
121,SLC27A2
122,CHAT
123,CHAT
124,CHAT
125,CHAT
126,B4GAT1
127,SLC35D2
128,AKR1C4
129,RPP14
130,HIBADH
131,SLC7A9
132,NUDT5
133,TREH
134,SLC2A6
135,CHIT1
136,CHKA
137,CHKA
138,ADCY5
139,CHKB
140,CHKB
141,PROSC
142,GALNT6
143,GALNT5
144,CA5B
145,SAT2
146,SLC6A14
147,RWDD2A
148,RDH13
149,CYP4F8
150,B4GALT7
151,ADCY6
152,ADCY6
153,PLCD3
154,SLCO2B1
155,CHST14
156,SLC46A1
157,SLC52A3
158,ACOT7
159,MGLL
160,MGLL
161,AZIN2
162,CYP2U1
163,SDSL
164,ADCY7
165,SLC2A13
166,SLC22A9
167,GALNT13
168,PTPMT1
169,ADCY8
170,SLC26A9
171,SLC26A9
172,SLC26A7
173,SLC26A7
174,SLC25A26
175,SLC25A26
176,SLC25A26
177,CKB
178,SLC5A11
179,TBCB
180,CKM
181,CKMT1B
182,ADCY9
183,SLC22A12
184,CKMT2
185,MOGAT1
186,ACSM1
187,SLC26A8
188,SLC26A8
189,SLC16A10
190,GALNT15
191,IP6K3
192,CLC
193,COMTD1
194,PNLIPRP3
195,TPP1
196,SLC36A4
197,CLPS
198,SDR9C7
199,TPH2
200,CMA1
201,AK7
202,PLD4
203,ADSSL1
204,ADSSL1
205,ACOT4
206,SLC24A4
207,SLC24A4
208,SLC24A4
209,SLC25A29
210,DEGS2
211,SLC51B
212,HYKK
213,PLA2G4E
214,ACSM2A
215,ABCC2
216,CANT1
217,CYB5D1
218,B4GALNT2
219,SLC43A2
220,GGT6
221,ADH1A
222,AFMID
223,SLC5A10
224,COX6B2
225,ACER1
226,ADH1B
227,CPT1C
228,NDUFA11
229,CYP4F22
230,B3GALT6
231,CNP
232,ADH1C
233,ATP6V1G3
234,ATP6V1G3
235,ADH4
236,PIGU
237,ADH5
238,CMPK2
239,MBOAT2
240,NEU4
241,ACMSD
242,SGPP2
243,MDH1B
244,ADH6
245,COMT
246,COMT
247,UROC1
248,ADH7
249,GLYCTK
250,GNPDA2
251,COX4I1
252,COX5B
253,ADK
254,ADK
255,ENPP6
256,COX6A1
257,COX6A2
258,COX6B1
259,ACOT12
260,COX6C
261,COX7A1
262,COX7A2
263,COX7B
264,COX7C
265,B3GAT2
266,COX8A
267,CP
268,CPA1
269,CPA2
270,CPOX
271,CPS1
272,CPS1
273,CPT1A
274,CPT1B
275,CPT1B
276,CPT1B
277,CPT1B
278,CPT2
279,ADHFE1
280,PXDNL
281,GPAT4
282,PIP5KL1
283,CRAT
284,CRAT
285,CRAT
286,PTPDC1
287,UPRT
288,AADAC
289,SLC32A1
290,GCNT7
291,NANP
292,SLC34A3
293,CS
294,CS
295,AMDHD1
296,SLC2A14
297,B3GLCT
298,RDH12
299,MDP1
300,MGAT5B
301,B3GNTL1
302,SLC47A2
303,SLC25A10
304,B3GALNT2
305,CTBP1
306,CTH
307,CTH
308,CTPS1
309,UPP2
310,MGAT4D
311,SLC36A2
312,CYC1
313,SLC2A12
314,MBOAT1
315,CYP1A1
316,CYP1A2
317,CYP1B1
318,CYP2A6
319,CYP2A7
320,SLC2A7
321,CYP3A7
322,CYP2A13
323,CYP2B6
324,CYP2C19
325,CYP2C8
326,CYP2C8
327,CYP2C9
328,CYP2C18
329,CYP2D6
330,CYP2E1
331,CYP2F1
332,CYP2J2
333,RDH10
334,CYP3A4
335,CYP3A5
336,CYP4A11
337,CYP4B1
338,
339,CYP7A1
340,CYP8B1
341,CYP11A1
342,CYP11B1
343,FAAH2
344,CYP11B2
345,CYP17A1
346,CYP19A1
347,CYP19A1
348,CYP21A2
349,ADSL
350,ADSL
351,CYP24A1
352,CYP27A1
353,CYP27B1
354,CYP51A1
355,SLC5A12
356,ADSS
357,AANAT
358,LDHAL6A
359,ALDH1L2
360,DGKA
361,SLC5A8
362,DGKB
363,DGKB
364,DGKH
365,DGKH
366,DGKG
367,DGKQ
368,DAO
369,DBH
370,DBI
371,NAGS
372,PHOSPHO1
373,DBT
374,ECI1
375,DCK
376,PLPPR5
377,DCTD
378,ACE
379,DCT
380,DDC
381,AKR1C1
382,AKR1C2
383,CHST13
384,DECR1
385,MMAA
386,SGMS2
387,GALNTL5
388,IDO2
389,FUT11
390,COX7B2
391,CLYBL
392,CLYBL
393,DGUOK
394,DGUOK
395,DGUOK
396,DGUOK
397,DGUOK
398,DHCR7
399,DHCR24
400,DHFR
401,DHODH
402,CYB5R3
403,NQO1
404,DIO1
405,DIO2
406,DIO3
407,DLAT
408,DLD
409,DLST
410,SARDH
411,AGA
412,AGL
413,AGL
414,AGL
415,AGL
416,AGL
417,AGL
418,DPEP1
419,DPYD
420,DPYS
421,DPYSL2
422,DPYSL3
423,SLC26A3
424,SLC26A2
425,DTYMK
426,DUT
427,TYMP
428,ECH1
429,ECHS1
430,AGXT
431,ABAT
432,ABAT
433,AHCY
434,B3GNT6
435,HIGD2A
436,SDR16C5
437,PLPP4
438,EHHADH
439,ADCY4
440,LDHD
441,LDHD
442,FUK
443,CYP4Z1
444,ABCA1
445,SLC5A9
446,PIKFYVE
447,PIKFYVE
448,PIKFYVE
449,ALG1L
450,SLC51A
451,PLD6
452,
453,HACD2
454,STT3B
455,ENO1
456,ENO2
457,ENO3
458,ENO3
459,SLC29A1
460,AK1
461,CERS3
462,AK2
463,AK2
464,AK2
465,EPHX2
466,AK4
467,AK4
468,AK4
469,SLC36A1
470,ESD
471,ETFA
472,ETFB
473,ETFB
474,ALAD
475,ALAD
476,ETFDH
477,ALAS1
478,ALAS1
479,ALAS2
480,EXT1
481,EXT2
482,EXT2
483,EXTL1
484,EXTL2
485,EXTL3
486,ABCD1
487,FABP4
488,FABP1
489,FABP2
490,ALDH1A1
491,FABP3
492,FABP5
493,FABP6
494,FABP7
495,ALDH2
496,ACSL1
497,ACSL3
498,ACSL3
499,ACSL4
500,ACSL4
501,FAH
502,ALDH3A1
503,FASN
504,ALDH1B1
505,ABCA3
506,LRTOMT
507,FBP1
508,ALDH1A3
509,CES5A
510,PRPS1L1
511,PRPS1L1
512,DAGLB
513,ALDH3B1
514,FDFT1
515,FDPS
516,HS3ST5
517,SLC29A4
518,ALDH3B2
519,FECH
520,FECH
521,ALDH9A1
522,ALDH3A2
523,ABCD2
524,ALDOA
525,ALDOA
526,ALDOA
527,FH
528,CHSY1
529,INPP5F
530,SACM1L
531,RPIA
532,NT5C2
533,ALDOB
534,PLCH1
535,NMNAT2
536,NMNAT2
537,SETD1B
538,ALDOC
539,SLC35D1
540,LPIN1
