,metabolites
0,
1,10fthf
2,10fthf5glu
3,10fthf6glu
4,10fthf7glu
5,11_cis_retfa
6,11docrtsl
7,11docrtstrn
8,12HPET
9,12dgr120
10,12dhchol
11,12harachd
12,12htacr
13,12ppd__R
14,12ppd__S
15,1331tacr
16,13_cis_oretn
17,13_cis_retn
18,13_cis_retnglc
19,13dampp
20,13dmt
21,13dpg
22,14hmdz
23,1513tacr
24,1531tacr
25,15HPET
26,15dmt
27,15kprostgf2
28,17ahprgnlone
29,17ahprgstrn
30,18harachd
31,1a2425thvitd2
32,1a25dhvitd2
33,1a25dhvitd3
34,1glyc_hs
35,1hibup__S
36,1hibupglu__S
37,1hmdgluc
38,1mncam
39,1ohmdz
40,1p3h5c
41,1pipdn2c
42,1pyr5c
43,20ahchsterol
44,21hprgnlone
45,23cump
46,23dh1i56dio
47,23doguln
48,23dpg
49,2425dhvitd2
50,2425dhvitd3
51,24nph
52,25aics
53,25hvitd2
54,25hvitd3
55,2amac
56,2aobut
57,2c23dh56dhoxin
58,2ddecdicoa
59,2decdicoa
60,2docohexecoa
61,2docopencoa
62,2dodtricoa
63,2dp6mep
64,2dp6mobq
65,2dp6mobq_me
66,2dpmhobq
67,2dr1p
68,2dr5p
69,2h3mv
70,2hatvacid
71,2hatvacidgluc
72,2hatvlac
73,2hatvlacgluc
74,2hb
75,2hexdtetcoa
76,2hexdtricoa
77,2hibup__R
78,2hibup__S
79,2hibupglu__S
80,2hiv
81,2hydog
82,2hyoxplac
83,2kmb
84,2m3hbu
85,2m3hvac
86,2m3ovac
87,2m3ovcoa
88,2maacoa
89,2mb2coa
90,2mbcoa
91,2mcit
92,2mop
93,2mp2coa
94,2mpdhl
95,2obut
96,2octdectecoa
97,2octpencoa
98,2oxoadp
99,2pg
100,31dmt
101,34dhmald
102,34dhoxmand
103,34dhoxpeg
104,34dhpac
105,34dhpe
106,34dhpha
107,34dhphe
108,34hpl
109,34hpp
110,35cgmp
111,35dhpvs
112,35diotyr
113,35dsmv
114,3aib
115,3aib__D
116,3bcrn
117,3ddcrn
118,3ddecdicoa
119,3deccrn
120,3decdicoa
121,3dhcdchol
122,3dhchol
123,3dhdchol
124,3dhguln
125,3dhlchol
126,3docopencoa
127,3dodtricoa
128,3dpdhb
129,3dpdhb_me
130,3dphb
131,3dsphgn
132,3h3mglt
133,3hadicoa
134,3hadpac
135,3hanthrn
136,3hbcoa
137,3hbcoa__R
138,3hdcoa
139,3hddcoa
140,3hdeccoa
141,3hdececrn
142,3hexdcoa
143,3hexdcrn
144,3hexdtetcoa
145,3hexdtricoa
146,3hglutcoa
147,3hibup__R
148,3hibup__S
149,3hibupglu__S
150,3hibutcoa
151,3hivac
152,3hlvst
153,3hlvstacid
154,3hmbcoa
155,3hmp
156,3hodcoa
157,3hpcoa
158,3hpp
159,3hpppn
160,3hpppnoh
161,3hpppnohgluc
162,3hpvs
163,3hpvscoa
164,3hpvstet
165,3hpvstetcoa
166,3hsmv
167,3hsmvacid
168,3htdcoa
169,3htmelys
170,3ispvs
171,3ityr__L
172,3ivcoa
173,3ivcrn
174,3m4hpga
175,3mb2coa
176,3meacmp
177,3mgcoa
178,3mglutac
179,3mglutr
180,3mhis
181,3mlda
182,3mldz
183,3mob
184,3mop
185,3mox4hoxm
186,3mox4hpac
187,3moxtyr
188,3mtp
189,3ocddcoa
190,3octdec2crn
191,3octdeccrn
192,3octdece1coa
193,3octdece1crn
194,3octdectecoa
195,3octpencoa
196,3odcoa
197,3oddcoa
198,3ohacmp
199,3ohdcoa
200,3ohglutac
201,3ohodcoa
202,3ohsebac
203,3ohsebcoa
204,3ohsubac
205,3ohsubcoa
206,3ohxccoa
207,3otdcoa
208,3pg
209,3php
210,3sala
211,3snpyr
212,3spyr
213,3tdcrn
214,3tetd7ecoa
215,3tetd7ecoacrn
216,3thexddcoa
217,3thexddcoacrn
218,3ttetddcoa
219,3ttetddcoacrn
220,3uib
221,3ump
222,42A3HP24DB
223,44mctr
224,44mzym
225,4aabutn
226,4abut
227,4abutn
228,4aphdob
229,4bhglz
230,4fumacac
231,4glu56dihdind
232,4h2oglt
233,4hatvacid
234,4hatvlac
235,4hbz
236,4hbzcoa
237,4hdebrisoquine
238,4hexdtetcoa
239,4hexdtricoa
240,4hglusa
241,4hmdgluc
242,4hoxpacd
243,4hphac
244,4hpro_LT
245,4izp
246,4mlacac
247,4mop
248,4mptnl
249,4mtob
250,4mtolbutamide
251,4mzym_int1
252,4mzym_int2
253,4nph
254,4nphsf
255,4ohbut
256,4ohmdz
257,4ppan
258,4ppcys
259,4pyrdx
260,4tmeabut
261,4tmeabutn
262,56dhpvs
263,56dihindlcrbxlt
264,56dthm
265,56dura
266,56eppvs
267,5HPET
268,5a2opntn
269,5adtststerone
270,5adtststeroneglc
271,5adtststerones
272,5aizc
273,5aop
274,5cysdopa
275,5cysgly34dhphe
276,5dhf
277,5dpmev
278,5eipenc
279,5eipencoa
280,5forthf
281,5fthf
282,5g2oxpt
283,5homeprazole
284,5hoxindact
285,5hoxindoa
286,5htrp
287,5mdr1p
288,5mdru1p
289,5mta
290,5mthf
291,5ohfvs
292,5ohfvsglu
293,5ohhexa
294,5oxpro
295,5pmev
296,5tedtricoa
297,5thf
298,6a2ohxnt
299,6ahglz
300,6bhglz
301,6bhglzglc
302,6csmv
303,6csmvacid
304,6dhf
305,6epvs
306,6hddopaqn
307,6hlvst
308,6hlvstacid
309,6hmsmv
310,6hmsmvacid
311,6hoxmelatn
312,6hsmv
313,6hsmvacid
314,6htststerone
315,6melvacid
316,6melvst
317,6msmv
318,6ohfvs
319,6ohfvsglu
320,6pgc
321,6pgl
322,6pthp
323,6thf
324,7ahglz
325,7bhglz
326,7bhglzglc
327,7dhcdchol
328,7dhchol
329,7dhchsterol
330,7dhf
331,7hpvs
332,7klitchol
333,7ohocata
334,7thf
335,9_cis_retfa
336,Asn_X_Ser_Thr
337,C01041
338,C01601
339,C01747
340,C02356
341,C02470
342,C02528
343,C02712
344,C03681
345,C04717
346,C04805
347,C04849
348,C05109
349,C05279
350,C05280
351,C05298
352,C05299
353,C05300
354,C05301
355,C05302
356,C05767
357,C05769
358,C05770
359,C05957
360,C06314
361,C06315
362,C07297
363,C08261
364,C09642
365,C10164
366,C11695
367,C11821
368,C13856
369,C14768
370,C14769
371,C14770
372,C14771
373,C14825
374,C14826
375,CE0074
376,CE0233
377,CE0347
378,CE0693
379,CE0713
380,CE0737
381,CE0785
382,CE0849
383,CE0955
384,CE1243
385,CE1261
386,CE1273
387,CE1297
388,CE1310
389,CE1352
390,CE1401
391,CE1447
392,CE1556
393,CE1562
394,CE1589
395,CE1617
396,CE1918
397,CE1925
398,CE1926
399,CE1935
400,CE1936
401,CE1939
402,CE1940
403,CE1943
