,metabolites
0,
1,10fthf
2,10fthf5glu
3,10fthf6glu
4,10fthf7glu
5,11-cis-retfa
6,11docrtsl
7,11docrtstrn
8,12HPET
9,12RHPET
10,12harachd
11,12ppd-R
12,12ppd-S
13,13-cis-oretn
14,13-cis-retn
15,13-cis-retnglc
16,13dampp
17,13dpg
18,15HPET
19,17ahprgnlone
20,17ahprgstrn
21,18harachd
22,1a2425thvitd2
23,1a2425thvitd3
24,1a25dhvitd2
25,1a25dhvitd3
26,1glyc_hs
27,1mncam
28,1mpyr
29,1p2cbxl
30,1p3h5c
31,1pipdn2c
32,1pyr5c
33,20ahchsterol
34,23doguln
35,23dpg
36,2425dhvitd2
37,2425dhvitd3
38,24nph
39,25aics
40,25hvitd2
41,25hvitd3
42,2amac
43,2ameph
44,2aobut
45,2c23dh56dhoxin
46,2coum
47,2dp6mep
48,2dp6mobq
49,2dp6mobq_me
50,2dpmhobq
51,2dr1p
52,2dr5p
53,2hb
54,2hyoxplac
55,2kmb
56,2maacoa
57,2mb2coa
58,2mbcoa
59,2mcacn
60,2mcit
61,2mop
62,2mp2coa
63,2obut
64,2oxoadp
65,2pg
66,2pglyc
67,34dhcinm
68,34dhmald
69,34dhoxmand
70,34dhoxpeg
71,34dhpac
72,34dhpha
73,34dhphe
74,34hpl
75,34hpp
76,35cgmp
77,35diotyr
78,3aib
79,3aib-D
80,3amp
81,3dhguln
82,3dpdhb
83,3dpdhb_me
84,3dphb
85,3dsphgn
86,3h26dm5coa
87,3hanthrn
88,3hbcoa
89,3hbcoa-R
90,3hibutcoa
91,3hmbcoa
92,3hmp
93,3hpcoa
94,3hpp
95,3htmelys
96,3hxkynam
97,3ityr-L
98,3m4hpga
99,3mb2coa
100,3mgcoa
101,3mlda
102,3mldz
103,3mob
104,3mop
105,3mox4hoxm
106,3mox4hpac
107,3moxtyr
108,3odcoa
109,3oddcoa
110,3ohdcoa
111,3ohodcoa
112,3ohxccoa
113,3otdcoa
114,3padsel
115,3pg
116,3php
117,3sala
118,3snpyr
119,3spyr
120,3uib
121,42A3HP24DB
122,44mctr
123,44mzym
124,46dhoxquin
125,48dhoxquin
126,4aabutn
127,4abut
128,4abutn
129,4aphdob
130,4fumacac
131,4h2oglt
132,4hbz
133,4hbzcoa
134,4hdebrisoquine
135,4hglusa
136,4hoxpacd
137,4hphac
138,4hpro-LT
139,4izp
140,4mlacac
141,4mop
142,4mptnl
143,4mtolbutamide
144,4mzym_int1
145,4mzym_int2
146,4nph
147,4nphsf
148,4ppan
149,4ppcys
150,4pyrdx
151,4tmeabut
152,4tmeabutn
153,56dihindlcrbxlt
154,56dthm
155,56dura
156,5HPET
157,5a2opntn
158,5adtststerone
159,5adtststeroneglc
160,5adtststerones
161,5aizc
162,5aop
163,5dhf
164,5dpmev
165,5forthf
166,5fthf
167,5g2oxpt
168,5homeprazole
169,5hoxindact
170,5hoxindoa
171,5hoxnfkyn
172,5htrp
173,5hxkyn
174,5hxkynam
175,5mdr1p
176,5mdru1p
177,5moxact
178,5mta
179,5mthf
180,5oxpro
181,5pmev
182,5thf
183,6a2ohxnt
184,6dhf
185,6hoxmelatn
186,6htststerone
187,6pgc
188,6pgl
189,6pthp
190,6thf
191,7dhchsterol
192,7dhf
193,7thf
194,9-cis-retfa
195,ACP
196,Asn-X-Ser/Thr
197,L-dpchrm
198,L2aadp
199,L2aadp6sa
200,Lcyst
201,Lcystin
202,Lfmkynr
203,Lkynr
204,Lpipecol
205,Nacasp
206,Naclys
207,Nacsertn
208,Ndmelys
209,Nglclys
210,Nmelys
211,Ntmelys
212,R1coa_hs
213,R2coa_hs
214,R3coa_hs
215,R4coa_hs
216,R5coa_hs
217,R6coa_hs
218,Rtotal
219,Rtotal2
220,Rtotal2coa
221,Rtotal2crn
222,Rtotal3
223,Rtotal3coa
224,Rtotal3crn
225,Rtotalcoa
226,Rtotalcrn
227,Ser-Gly/Ala-X-Gly
228,Ser/Thr
229,Sfglutth
230,Ssq23epx
231,T4hcinnm
232,T_antigen
233,Tn_antigen
234,Tyr-ggn
235,aacoa
236,aact
237,abt
238,ac
239,acACP
240,acac
241,acald
242,accoa
243,acetol
244,acetone
245,acg5p
246,acg5sa
247,acgagbside_hs
248,acgal
249,acgal1p
250,acgalfuc12gal14acglcgalgluside_hs
251,acgalfucgalacgalfuc12gal14acglcgalgluside_hs
252,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs
253,acgalfucgalacglcgal14acglcgalgluside_hs
254,acgalfucgalacglcgalgluside_hs
255,acgam
256,acgam1p
257,acgam6p
258,acgbgbside_hs
259,acglc13galacglcgal14acglcgalgluside_hs
260,acglcgal14acglcgalgluside_hs
261,acglcgalacglcgal14acglcgalgluside_hs
262,acglcgalgbside_hs
263,acglcgalgluside_hs
264,acglu
265,acgpail_hs
266,ach
267,acmana
268,acmanap
269,acn13acngalgbside_hs
270,acn23acngalgbside_hs
271,acnacngal14acglcgalgluside_hs
272,acnacngalgbside_hs
273,acnam
274,acnamp
275,acngal14acglcgalgluside_hs
276,acngalacglcgal14acglcgalgluside_hs
277,acngalacglcgalgluside_hs
278,acngalgbside_hs
279,acorn
280,acrn
281,ade
282,adhap_hs
283,adn
284,adocbl
285,adp
286,adpglc
287,adpman
288,adprbp
289,adprib
290,adrn
291,adrncoa
292,adrncrn
293,adrnl
294,adsel
295,aflatoxin
296,agm
297,ahandrostan
298,ahandrostanglc
299,ahcys
300,ahdt
301,aicar
302,air
303,ak2g_hs
304,ak2gchol_hs
305,ak2gp_hs
306,ak2gpe_hs
307,ak2lgchol_hs
308,akdhap_hs
309,akg
310,akgp_hs
311,ala-B
312,ala-D
313,ala-L
314,aldstrn
315,alkylR1oh
316,alpa_hs
317,alpam
318,alpro
319,am6sa
320,amet
321,ametam
322,amp
323,amuco
324,andrstandn
325,andrstndn
326,andrstrn
327,andrstrnglc
328,anth
329,antipyrene
330,ap4a
331,apnnox
332,apoC
333,apoC-Lys
334,apoC-Lys_btn
335,appnn
336,aprgstrn
337,aprut
338,aps
339,aqcobal
340,arab-L
341,arach
342,arachcoa
343,arachcrn
344,arachd
345,arachdcoa
346,arachdcrn
347,arg-D
348,arg-L
349,argsuc
350,ascb-L
351,asn-L
352,asp-D
353,asp-L
354,atp
355,avite1
356,avite2
357,b2coa
358,bamppald
359,bdg2hc
360,betald
361,bhb
362,bildglcur
363,bilglcur
364,bilirub
365,biliverd
366,biocyt
367,btamp
368,btcoa
369,btn
370,but
371,bvite
372,bz
373,c226coa
374,c226crn
375,c2m26dcoa
376,ca2
377,cala
378,camp
379,carn
380,caro
381,carveol
382,cbasp
383,cbl1
384,cbl2
385,cbp
386,cca_d3
387,cdp
388,cdpchol
389,cdpdag_hs
390,cdpea
391,cgly
