,metabolites
0,xol7a
1,biocyt
2,whhdca
3,k
4,Naclys
5,bilirub
6,ha_pre1
7,mgacpail_hs
8,phpyr
9,fmn
10,mev-R
11,galgluside_hs
12,k
13,lum3
14,gh
15,atp
16,nadh
17,nadph
18,amet
19,gthox
20,gthrd
21,nmn
22,accoa
23,ala-L
24,amp
25,arg-L
26,asn-L
27,asp-L
28,chsterol
29,clpn_hs
30,cmp
31,cys-L
32,dag_hs
33,damp
34,dcmp
35,dgmp
36,dtmp
37,gln-L
38,glu-L
39,gly
40,glygn1
41,gmp
42,h2o
43,his-L
44,ile-L
45,leu-L
46,lpchol_hs
47,lys-L
48,mag_hs
49,met-L
50,pa_hs
51,pail_hs
52,pchol_hs
53,pe_hs
54,phe-L
55,pro-L
56,ps_hs
57,ser-L
58,sphmyln_hs
59,tag_hs
60,thr-L
61,trp-L
62,tyr-L
63,ump
64,val-L
65,xolest_hs
