gene,P_rep1,P_rep2,P_rep3,7dCI_rep1,7dCI_rep2,7dCI_rep3,,,,,
PPL,6.777557092,20.90731824,87.71989257,6798.339943,4061.189179,4311.075305,,,,,
APOD,15.24950346,78.65134003,55.61326522,1320.08189,866.3398771,1249.374736,,,,,
FAM20A,37.276564,31.85877065,101.4798757,1631.699734,1633.669483,1136.365966,,,,,
NOG,399.8758684,502.7712242,517.7193659,21.26525969,22.98452735,24.41547503,,,,,
ID1,9158.17402,7044.770659,9359.081871,520.1809678,510.9637234,745.0207808,,,,,
C3,33.88778546,30.86318406,17.77331157,445.7525588,578.1492649,491.7974256,,,,,
ABCA1,542.2045673,349.4508905,251.6930251,5567.408565,5595.84839,3616.978229,,,,,
WISP2,0,10.95145241,25.22663577,279.7199544,388.9689244,385.7645054,,,,,
C10orf105,0,4.977932913,3.439995787,736.9230377,350.072032,535.7452806,,,,,
CDC25A,1341.956304,1123.021665,1010.212096,89.15051177,116.6906773,77.43193509,,,,,
CDON,174.5220951,138.386535,235.0663788,2202.590167,1753.896241,2791.735173,,,,,
ARHGAP28,44.0541211,95.57631194,56.75993048,805.6261843,1131.545962,868.493326,,,,,
SECTM1,111.829692,251.8834054,498.7993891,3584.014152,3253.194641,4965.410036,,,,,
KLHL24,184.6884308,164.2717861,171.9997893,2286.015416,1702.623065,2022.996502,,,,,
MCM10,1946.853275,1839.844005,1555.451428,116.9589283,304.1029773,126.2628851,,,,,
CDC45,1777.414347,1299.24049,1662.091298,129.2273473,263.4380443,110.2184301,,,,,
FBXO32,155.8838131,66.70430104,98.61321256,1369.155566,880.4842016,1117.531171,,,,,
GPR133,406.6534255,842.2662489,712.6524605,6359.948436,7254.27044,8389.854805,,,,,
MYPN,782.8078441,493.810945,677.1058374,35.98736255,130.8350018,36.27442004,,,,,
DLX2,230.4369411,227.9893274,184.0397746,6.543156827,8.840202828,16.74204002,,,,,
E2F1,2168.818269,2098.696516,2202.170636,212.6525969,373.0565593,166.7228152,,,,,
RSPO2,3.388778546,5.973519496,7.453324205,184.0262858,160.8916915,124.1701301,,,,,
TCP11L2,89.80263147,103.5410046,108.9331999,1023.186149,1128.009881,1201.938956,,,,,
HBEGF,494.7616677,497.7932913,583.0792859,42.53051938,38.89689244,53.71404506,,,,,
KISS1,59.30362455,55.75284863,96.89321466,0,1.768040566,0.697585001,,,,,
C5orf4,111.829692,129.4262557,128.999842,2798.835333,1631.901442,1966.492117,,,,,
MAN1C1,76.24751728,53.76167546,115.2398589,807.2619735,899.9326479,1126.599776,,,,,
TMEM26,28.80461764,8.960279244,13.75998315,613.4209525,314.7112207,575.5076257,,,,,
XPNPEP2,1.694389273,2.986759748,4.586661049,173.3936559,91.93810941,126.9604701,,,,,
APOL1,23.72144982,32.85435723,103.1998736,574.1620116,937.0614997,805.0130909,,,,,
MYBL1,4283.416082,4965.985874,3116.06285,422.0336154,838.0512281,307.6349853,,,,,
SEMA3B,155.8838131,219.0290482,244.8130335,1899.969164,1826.385904,2297.147408,,,,,
CDC6,3680.213501,3189.859411,3321.315932,347.6052064,731.9687941,281.8243403,,,,,
CCNA2,10700.06826,8775.10014,10908.79997,1186.76507,2003.189961,925.695296,,,,,
LTBP4,579.4811313,444.0316159,549.8259933,5506.06647,3472.431671,4291.542925,,,,,
ZNF367,2102.737088,2134.537633,1452.824887,201.2020724,429.6338574,116.4966951,,,,,
DTL,2587.33242,2682.110254,2497.436941,277.2662706,611.7420357,199.5093102,,,,,
KLF9,193.1603771,165.2673727,271.7596672,1755.201819,1787.489012,2366.208323,,,,,
RRM2,18453.59357,13470.28646,15874.43389,1899.151269,3461.823427,1299.600856,,,,,
ZWINT,4730.73485,4216.309178,5822.766202,558.6220141,1159.834611,449.2447405,,,,,
GINS2,1245.376116,1743.272106,1758.984512,132.4989257,420.7936546,149.9807752,,,,,
C1RL,493.0672784,399.2302196,468.9860923,4503.327686,3226.674032,3616.978229,,,,,
SAMD11,1562.22691,1529.220991,2487.690287,37.62315176,45.9690547,218.3441052,,,,,
ZNF423,37.276564,32.85435723,91.15988835,666.5841018,648.8708876,563.6486806,,,,,
ID3,6414.957787,7851.195791,9179.628757,565.1651709,608.2059545,1690.248457,,,,,
NCEH1,7616.279782,7027.845687,5334.860133,785.9967139,1490.458197,588.0641557,,,,,
ORC1,1131.852034,827.3324502,956.8921614,117.7768229,208.6287867,76.73435009,,,,,
FGF13,16.94389273,27.87642431,49.87993891,379.503096,263.4380443,435.9906255,,,,,
FOXP2,133.8567526,130.4218423,60.19992627,987.1987863,839.8192686,673.1695258,,,,,
MET,10649.23658,10906.65101,7675.777266,981.4735241,2190.602261,1082.651921,,,,,
SNED1,411.7365933,320.5788796,629.519229,7852.606087,6492.244957,4405.946865,,,,,
TRANK1,394.7927006,424.1198842,464.9727639,3415.527864,3635.091403,3351.198344,,,,,
THRB,174.5220951,399.2302196,221.3063956,2034.921773,2340.885709,2085.779152,,,,,
SDK1,86.41385292,108.5189375,186.9064378,1106.611398,1034.303731,1310.064631,,,,,
ITGB8,32.19339619,40.81904989,48.15994102,335.3367874,509.1956829,440.1761355,,,,,
YPEL2,164.3557595,182.1923446,133.5865031,1057.537722,1159.834611,1423.770987,,,,,
VWA5A,108.4409135,96.57189852,132.4398378,996.1956269,981.2625139,925.695296,,,,,
SERPINE1,95419.53191,138123.7001,104840.7516,8330.256536,19236.28135,21207.97919,,,,,
SHCBP1,5438.989566,6581.822898,7508.93747,799.0830275,1879.427121,727.5811558,,,,,
GALNTL1,55.91484601,136.3953618,143.3331578,1044.451409,1244.700558,862.912646,,,,,
IL17RD,223.659384,294.6936285,296.4129703,1836.991279,2629.076321,2180.650712,,,,,
