"","c7","c8","c11","c12","c14","c17","c18","c1","c2","c5","c6","c9","c10","c15","c13","c16"
"DDX11L1",0,2,0,5,0,6,0,0,0,0,0,4,4,4,5,0
"WASH7P",104,97,358,250,37,411,392,5,8,81,84,263,411,263,119,1458
"MIR6859-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR6859-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR6859-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR6859-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1302-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1302-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1302-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM138F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LOC729737",0,0,1,2,0,3,1,0,0,0,0,0,9,0,0,0
"LOC100133331_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100132062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100132287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F3_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F29_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F16_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR6723",0,1,13,15,0,3,3,0,0,0,3,5,9,5,0,1
"OR4F3_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F29_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F16_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100133331_dup2",2,4,5,1,0,6,26,0,0,7,6,7,11,7,3,6
"LOC100288069",7,2,57,40,3,41,73,12,2,2,15,53,89,53,11,13
"FAM87B",3,3,8,9,0,11,16,1,0,3,12,12,20,12,14,4
"LINC00115",14,20,37,34,0,16,28,5,8,10,12,23,45,23,7,28
"LINC01128",110,82,345,250,28,428,481,149,149,73,103,237,368,237,216,460
"FAM41C",0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0
"LOC100130417",33,53,79,80,11,158,175,150,39,22,52,78,122,78,64,459
"SAMD11",67,127,110,353,22,626,627,320,255,57,65,94,485,94,149,2551
"NOC2L",939,876,3148,2035,288,4984,3630,2196,2490,567,800,2011,3056,2011,1237,8472
"KLHL17",252,224,440,419,11,508,633,392,366,106,182,294,574,294,130,2433
"PLEKHN1",18,40,91,111,15,67,137,20,20,26,24,101,115,101,45,533
"PERM1",9,9,26,15,1,15,32,34,28,3,11,25,49,25,23,82
"HES4",145,136,325,586,25,778,548,64,225,101,129,235,808,235,206,3793
"ISG15",1553,1109,3183,3364,947,13898,5864,1046,1655,774,582,1991,3499,1991,4923,28108
"AGRN",8961,7460,32892,14000,857,35592,28480,10338,7383,5620,6382,17426,23187,17426,10010,189077
"RNF223",0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0
"C1orf159",138,146,459,355,22,675,552,291,225,110,168,317,486,317,180,3447
"LINC01342",0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0
"MIR200B",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"MIR200A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MIR429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"TTLL10",0,0,0,1,0,0,4,12,13,0,0,0,1,0,0,0
"TNFRSF18",10,0,25,6,0,18,15,14,24,0,2,14,22,14,6,199
"TNFRSF4",2,0,0,1,0,1,3,3,7,4,3,1,19,1,3,106
"SDF4",4208,3839,14353,7848,719,10881,12923,12677,11749,2646,3127,7549,10985,7549,4142,49432
"B3GALT6",607,542,1893,1175,121,2738,1907,1042,1110,429,480,1256,1811,1256,955,13106
"C1QTNF12",17,7,24,16,2,23,46,17,7,1,23,30,39,30,4,229
"UBE2J2",847,933,2755,1854,215,3480,2925,1595,1981,555,692,1358,2486,1358,1150,15242
"SCNN1D",201,192,332,299,19,204,291,241,207,99,228,251,490,251,80,1389
"ACAP3",1140,1177,2859,2367,98,2943,3539,3364,3186,525,1200,2026,3568,2026,687,17926
"MIR6726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORD167",25,19,37,45,2,21,37,35,13,21,53,42,61,42,4,118
"PUSL1",279,294,732,621,30,1192,1141,413,489,168,213,363,895,363,285,5516
"INTS11",1012,1027,2960,2084,150,4249,3717,3466,2430,655,927,1614,2879,1614,989,10044
"MIR6727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPTP",484,377,1649,911,41,2093,1529,1277,657,346,319,669,1321,669,427,12812
"TAS1R3",53,65,145,141,4,135,254,148,117,44,85,173,337,173,50,1581
"DVL1",1464,1273,4098,2485,184,5901,4566,5120,5999,937,1120,2388,3926,2388,1426,25077
"MIR6808",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"MXRA8",9258,8730,29396,20397,1185,42688,40639,26214,20430,6478,7064,15402,27972,15402,10650,176998
"AURKAIP1",805,614,2268,1901,353,2555,2519,1259,1765,503,505,1299,2550,1299,962,8516
"CCNL2",3919,3908,6485,6656,267,3820,7211,3122,6056,2226,4233,5098,8785,5098,1413,16210
"LOC148413",270,209,643,454,50,795,546,567,744,240,238,625,779,625,226,1015
"MRPL20",533,437,1370,1143,164,1783,2036,1070,1500,419,385,720,1485,720,652,1509
"ANKRD65",7,14,30,26,2,37,26,43,77,7,2,9,22,9,14,110
"TMEM88B",0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0
"LINC01770",2,0,2,2,0,0,0,18,1,0,1,0,9,0,0,0
"VWA1",203,172,593,322,18,717,822,617,509,125,126,360,503,360,209,4970
"ATAD3C",6,2,12,9,0,11,10,21,17,8,4,4,6,4,8,2
"ATAD3B",392,459,878,1023,89,1310,1285,297,431,236,434,786,1429,786,392,3217
"ATAD3A",301,334,1122,884,81,1763,1226,360,493,206,285,676,1259,676,406,8099
"TMEM240",43,42,131,79,18,138,131,140,188,33,30,93,105,93,47,510
"SSU72",779,712,2334,1585,218,2270,2202,1388,1719,497,541,1213,1927,1213,1021,10323
"FNDC10",115,128,480,228,24,454,497,208,45,117,74,146,270,146,135,2242
"MIB2",1455,1295,4237,2696,114,4075,3977,2522,3404,695,1147,2795,3952,2795,969,33377
"MMP23B",0,2,2,0,0,0,4,8,4,0,0,1,3,1,0,19
"MMP23A_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11B",114,93,323,268,28,255,283,103,106,69,110,181,391,181,116,724
"SLC35E2B",1562,1134,4261,2655,281,4741,4620,2329,1307,979,1303,2415,3830,2415,1841,8451
"MMP23A_dup2",5,4,11,3,0,4,6,0,0,1,3,7,4,7,0,129
"CDK11A",66,58,232,160,14,132,187,61,66,62,85,151,237,151,47,327
"SLC35E2",1286,1010,3744,2135,306,3806,3967,493,308,931,1078,2176,3176,2176,1521,2466
"NADK",1224,1031,3319,1940,162,4724,3527,2291,1571,716,866,1785,2596,1785,1379,9254
"GNB1",4244,3822,9566,5738,1521,22596,11590,4991,4212,2977,3386,5103,7760,5103,8498,16500
"CALML6",16,9,27,23,0,11,13,29,54,5,34,24,40,24,6,11
"TMEM52",7,0,13,22,3,16,18,19,13,2,2,8,8,8,4,50
"CFAP74",0,0,0,1,0,0,0,9,11,0,2,0,5,0,0,0
"GABRD",0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0
"LOC105378591",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"PRKCZ",21,28,52,37,1,57,66,124,123,27,9,27,68,27,29,157
"FAAP20",388,336,854,679,66,1458,1216,1243,1549,239,294,558,1016,558,343,8928
"SKI",448,477,1565,1253,203,2250,2053,939,695,249,320,928,1706,928,1286,11126
"MORN1",138,90,285,258,19,254,249,158,131,73,106,280,332,280,115,1381
"LOC100129534",21,12,53,28,0,28,30,50,36,12,19,22,47,22,14,120
"RER1",2859,2204,7367,4501,571,8681,8288,4104,3906,2017,1996,3857,6227,3857,3181,21257
"PEX10",301,267,907,565,57,1361,1097,898,1047,216,265,490,859,490,388,4197
"PLCH2",15,6,20,16,2,10,18,56,46,4,28,24,77,24,17,171
"PANK4",357,304,859,696,46,1194,984,840,824,236,316,553,861,553,379,2967
"HES5",0,0,0,6,0,6,4,12,7,1,0,0,3,0,0,22
"LOC115110",17,4,52,22,0,13,17,27,12,10,11,34,33,34,9,66
"TNFRSF14",469,474,1267,968,44,965,1271,820,783,293,338,694,1224,694,274,4243
"LOC100996583",2,0,4,1,0,3,3,0,24,3,4,16,14,16,7,4
"FAM213B",351,318,1105,647,74,1483,1182,711,318,267,246,675,928,675,442,3170
"MMEL1",5,2,2,9,0,2,5,17,16,3,3,3,4,3,3,14
"TTC34",0,2,6,0,2,1,1,8,2,3,0,14,6,14,0,0
"ACTRT2",0,0,0,0,0,0,0,4,3,0,0,0,2,0,0,0
