,dwgenes
0,MIR6728
1,SYTL1
2,MIR6732
3,SLFNL1-AS1
4,PPIH
5,FAM183A
6,SNORD38B
7,UROD
8,CCDC17
9,TSPAN1
10,HSPB11
11,JUN
12,RABGGTB
13,RPF1
14,CYR61
15,PLPPR5
16,PFN1P2
17,C1orf54
18,ADAMTSL4-AS1
19,S100A13
20,EFNA1
21,RIT1
22,KIRREL-IT1
23,MGST3
24,MPC2
25,MYOC
26,PTGS2
27,PPP1R15B
28,MDM4
29,LOC101930114
30,NLRP3
31,ADI1
32,LOC100505716
33,PKDCC
34,CHAC2
35,EML6
36,SNRPG
37,POLE4
38,DUSP2
39,CCNT2
40,NR4A2
41,ATP5G3
42,MIR3128
43,FRZB
44,FSIP2
45,SNORD11
46,PDE6D
47,KCNJ13
48,BHLHE40-AS1
49,BRK1
50,C3orf20
51,PP2D1
52,ZNF385D
53,UBE2E1
54,ZCWPW2
55,CCK
56,EXOSC7
57,LINC00696
58,FLNB-AS1
59,SIDT1
60,DZIP1L
61,IQCJ-SCHIP1-AS1
62,PDCD10
63,PARL
64,MIR548AQ
65,RPL39L
66,OSTN
67,LOC105374546
68,KLB
69,OCIAD2
70,CHIC2
71,FAM13A-AS1
72,RPL34
73,TRAM1L1
74,LINC01061
75,GK3P
76,WWC2-AS1
77,MIR4636
78,SNORD170
79,VCAN-AS1
80,ARRDC3-AS1
81,CAMK4
82,C5orf63
83,CDKL3
84,UBE2B
85,EGR1
86,LRRTM2
87,PCDHB4
88,PCDHGC4
89,SPRY4-IT1
90,ATP6V0E1
91,C6orf52
92,EDN1
93,LOC100130357
94,ID4
95,MIR4640
96,FOXP4-AS1
97,TOMM6
98,LOC401261
99,RPS16P5
100,SNORD156
101,COX7A2
102,SNHG5
103,LOC101928140
104,RPS12
105,MIR4466
106,SYNJ2-IT1
107,LOC100129518
108,MIR4656
109,RPA3
110,NDUFA4
111,POLR2J4
112,SRI
113,LAMTOR4
114,STAG3L5P
115,LINC01004
116,MIR29A
117,LINC-PINT_dup1
118,CLCN1
119,EPHA1
120,MIR320A
121,BIN3-IT1
122,LOC100507156
123,VDAC3
124,RPS20
125,CHCHD7
126,LOC101929415
127,LINC01111
128,DECR1
129,POLR2K
130,NDUFB9
131,LY6K
132,RPL8
133,CDKN2B-AS1
134,CCL27
135,PHF24
136,TOMM5
137,LOC102725126
138,LOC100132781
139,TRMO
140,MRPL50
141,FSD1L
142,TXN
143,MUSK
144,MIR181A2
145,SNORD36B
146,LOC105376382
147,PRPF18
148,ACBD7
149,EPC1
150,EGR2
151,JMJD1C-AS1
152,POU5F1P5
153,ANAPC16
154,CHCHD1
155,RPS24
156,ADIRF
157,ENTPD1-AS1
158,SLIT1
159,BLOC1S2
160,NDUFB8
161,DPCD
162,GSTO1
163,ADRA2A
164,SNORA19
165,EDRF1-AS1
166,FAM196A
167,POLR2L
168,HBE1
169,RPS13
170,LOC100126784
171,RAG1
172,PYGM
173,TALAM1
174,MPZL3
175,BLID
176,TMEM218
177,ETS1
178,LOC399975
179,PARP11
180,TAS2R50
181,LOC100506314
182,DENND5B-AS1
183,YAF2
184,LOC100335030
185,ATG101
186,OR7E47P
187,PFDN5
188,PCBP2-OT1
189,PMEL
190,DDIT3
191,RPSAP52
192,LOC100129940
193,PTPRR
194,CCDC59
195,STAB2
196,LOC100506551
197,PSPC1
198,USPL1
199,N4BP2L2-IT2
200,MED4
201,MIR17HG
202,TGDS
203,GPR183
204,DHRS4L2
205,NEDD8
206,FOXG1
207,SLC10A1
208,FOS
209,ITPK1-AS1
210,TMEM251
211,SNORD114-6
212,FAM189A1
213,RYR3
214,CSNK1A1P1
215,EHD4-AS1
216,RSL24D1
217,HSP90AB4P
218,HEXA-AS1
219,LOC102723640
220,ST20
221,ZFAND6
222,LINC01578
223,BICDL2
224,LOC100128770
225,GLIS2-AS1
226,TVP23A
227,LOC653786
228,C16orf87
229,MIR6772
230,CARMIL2
231,VAC14-AS1
232,HYDIN
233,MARVELD3
234,LOC100506281
235,LOC100129617
236,KDM6B
237,EVI2A
238,KRT10
239,KRTAP2-3
240,KRTAP4-11
241,MRPL27
242,MRPS23
243,SUPT4H1
244,LOC101927855
245,H3F3B
246,ST6GALNAC2
247,JMJD6
248,CEP295NL
249,TGIF1
250,DLGAP1-AS2
251,LOC105372071
252,HAUS1
253,DCC
254,LOC100505549
255,GADD45B
256,LOC100128568
257,ZNF833P
258,ASNA1
259,IER2
260,LOC284454
261,MIR23A
262,SMIM7
263,SNORA118
264,MIR3189
265,ZNF829
266,GGN
267,EIF3K
268,SERTAD1
269,SERTAD3
270,RPS19
271,PSG6
272,PSG7
273,MIR8085
274,FOSB
275,PPP1R15A
276,RPS11
277,BCL2L12
278,SPACA6P-AS
279,HAS1
280,FAM71E2
281,SNORD157
282,SDCBP2-AS1
283,SNRPB2
284,SYNDIG1
285,DNMT3B
286,PLCG1-AS1
287,SRSF6
288,OSER1
289,LOC100131496
290,UBE2V1
291,PFDN4
292,RPS21
293,SRMS
294,ATP5J
295,LINC01697
296,LINC00161
297,ZNF295-AS1
298,YBEY
299,MIR6819
300,MAFF
301,PHF5A
302,LOC730668
303,KLHL15
304,MIR222
305,RGAG4
306,MIR545
307,COX7B
308,DIAPH2-AS1
309,NXF3
310,TMSB15B
311,RNF128
312,TMEM255A
