,dwgenes
0,LOC148413
1,ARHGEF16
2,C1orf158
3,PARS2
4,TACSTD2
5,SYPL2
6,UBL4B
7,LINC01356
8,PDE4DIP
9,NBPF12
10,BNIPL
11,HCN3
12,MSTO2P_dup2
13,TNFSF18
14,KCNT2
15,CD34
16,C1orf74
17,LOC101927478
18,CAPN9
19,KMO
20,PLD5
21,NT5C1B
22,WDCP
23,LOC100507006
24,CCDC142
25,ARHGEF4
26,LINC01920
27,LOC101927027
28,TTN-AS1
29,VIL1
30,ABCB6
31,COPS7B
32,ITPR1
33,MKRN2OS
34,ZNF445
35,ZNF501
36,ALS2CL
37,HYAL1
38,LRRIQ4
39,VWA5B2
40,CEP19
41,SH3TC1
42,PCDH7
43,CCDC158
44,LOC109864269
45,PCDH18
46,MGARP
47,LOC729870
48,FAM218A
49,LINC02112
50,LOC100132356
51,ISL1
52,PCDHA4
53,PCDHB18P
54,PCDHGA9
55,PPP2R2B
56,SH3TC2
57,ATP6V0CP3
58,TMEM151B
59,TCTE1
60,LCA5
61,CASP8AP2
62,COX19
63,CARD11
64,ZNF815P
65,ARL4A
66,HOXA13
67,GCK
68,GTF2IP23
69,BAZ1B
70,SAMD9L
71,PCOLCE-AS1
72,UFSP1
73,SPDYE6
74,LAMB4
75,LRRN3
76,ANKRD7
77,TSPAN12
78,GPR37
79,LOC100130705
80,MIR335
81,ZC3HAV1L
82,SSPO
83,ATP6V0E2-AS1
84,ACTR3C
85,PNMA2
86,BRF2
87,LOC101929897
88,SNAI2
89,RDH10-AS1
90,LINC01607
91,ZNF572
92,LINC00824
93,ZNF623
94,MFSD3
95,MIR491
96,IFT74-AS1
97,RGP1
98,ZNF658
99,C9orf170
100,LOC100132077
101,C9orf3
102,LOC100507346
103,ZNF510
104,FOXE1
105,SMC2-AS1
106,DEC1
107,PSMD5-AS1
108,SH2D3C
109,CYSRT1
110,AGAP4
111,SYT15
112,HNRNPA1P33
113,SNORD172
114,DCLRE1A
115,ANO9
116,MIR210
117,FANCF
118,MIR6745
119,DTX4
120,ZBTB3
121,KCTD21
122,USP28
123,TTC36
124,ACRV1
125,ANO2
126,PKP2
127,MUC19
128,ZNF641
129,KRT87P
130,ZC3H10
131,SDR9C7
132,PPM1H
133,CASC18
134,LOC728739
135,IFT81
136,FLJ37505
137,BRCA2
138,OLFM4
139,GPR180
140,KLHL33
141,KHNYN
142,TTC6
143,LOC101928143
144,EXOC3L4
145,RHOV
146,MYZAP
147,LOC101929586
148,LOC106660606
149,MMP25-AS1
150,ZNF213-AS1
151,CASP16P
152,TNFRSF17
153,TMC5
154,POLR3E
155,ZNF747
156,ZNF843
157,CHD9
158,AGRP
159,LOC101928557
160,LOC101928737
161,CENPBD1
162,RAP1GAP2
163,ZNF594
164,SLC16A11
165,SLC35G6
166,ZNF624
167,RNF112
168,FBXO47
169,MIR6781
170,NAGS
171,LOC105371795
172,LRRC37A
173,WNT9B
174,HOXB13
175,CACNA1G
176,MYO5B
177,C2CD4C
178,ZNF555
179,SLC25A41
180,S1PR5
181,ZNF563
182,ANKLE1
183,BISPR
184,FCHO1
185,LOC641367
186,LOC100134317
187,ZNF230
188,LOC100379224
189,PGLYRP1
190,LOC105447645
191,HRC
192,ZNF137P
193,TMEM150B
194,NLRP9
195,ZNF470
196,ZNF550
197,ZSCAN22
198,ZNF132
199,ZNF324B
200,LINC00654
201,FERMT1
202,KCNK15-AS1
203,ZSWIM3
204,IGSF5
205,DSCAM
206,LOC642852
207,ASPHD2
208,ODF3B
209,GYG2
210,CNKSR2
211,SHROOM4
212,GSPT2
213,FAM120C
214,ZCCHC5
215,STK26
216,ZNF449
