,upgenes
0,ICA1
1,CASP10
2,ITGA3
3,CRLF1
4,ARSD
5,RPS20
6,IDS
7,HFE
8,SYT7
9,TYMP
10,MAP2K3
11,PARP3
12,GEMIN8
13,H6PD
14,HEBP2
15,GNA15
16,ZNF112
17,RPL18
18,CHI3L2
19,NDUFB4
20,ELAVL1
21,FUNDC1
22,RPL31
23,ACADVL
24,NDE1
25,TMEM38A
26,SRI
27,CST7
28,MKNK1
29,CACNA1S
30,AACS
31,WDR70
32,RNF13
33,RPS5
34,HAL
35,GSTP1
36,IGSF9
37,KIF9
38,ICAM1
39,GNPTG
40,SEMA6A
41,BLNK
42,PALMD
43,NDUFB7
44,YPEL1
45,LGALS1
46,SLC5A1
47,TXN2
48,SDR39U1
49,SPTLC2
50,SLC8A3
51,PPP1R16B
52,PBDC1
53,CENPT
54,ZNF821
55,NME3
56,SMPD3
57,ELOB
58,SGK3
59,DECR1
60,NDRG1
61,PPP2CB
62,PLEKHJ1
63,CCDC130
64,C19orf53
65,RPS16
66,RPS19
67,NOP53
68,CDC37
69,RABAC1
70,MEIS3
71,CAPS
72,SERPINE1
73,MRPL32
74,SEC61B
75,SHB
76,RPL28
77,RPL19
78,FBXL20
79,GALK1
80,NDUFC1
81,RPL34
82,SLC1A2
83,RPS13
84,CLEC2B
85,PPM1H
86,VPS29
87,COX6A1
88,BTN3A3
89,VNN 1.00
90,RPS12
91,TRIM38
92,PERP
93,DNPH1
94,COX7A2
95,SKP1
96,C5orf15
97,ATP6V0E1
98,CLDN16
99,FAM162A
100,RPL24
101,IQCG
102,PLCH1
103,SPCS1
104,EEF1B2
105,ACTR1B
106,SF3B6
107,RPS15
108,AUP1
109,RPL22
110,LAMTOR2
111,RGS2
112,CD58
113,TMEM9
114,CTBS
115,GBP1
116,RAB29
117,PTCH2
118,AKR1A1
119,CD3EAP
120,RPS25
121,SGIP1
122,CCND2
123,IFI27L2
124,SLIRP
125,KBTBD7
126,RPL21
127,WIPF3
128,WDR83
129,SMUG1
130,PMS2P5
131,OBSL1
