,dwgenes
0,CROT
1,SLC6A7
2,TRPC7
3,HES2
4,TRHDE
5,SCARF1
6,SPAG6
7,KCNK2
8,ITPKC
9,CMTM6
10,MARCH2
11,RIMS4
12,TLDC2
13,FLT1
14,LACTB
15,TYRP1
16,MAPK10
17,SLC1A2
18,SLC16A10
19,C9
20,EPHA4
21,NID1
22,MREG
23,PROX2
24,C10orf95
25,CSTA
26,PLAU
27,SMUG1
28,KCNS1
29,COL21A1
30,PZP
31,RGS13
32,AJUBA
33,ANGPTL6
34,EPS8L1
35,ANO1
36,MTUS2
37,ERG28
38,EMP1
39,SLC31A1
40,MAPKBP1
41,PPP3CA
42,TSSK4
43,MYLK3
44,DOPEY2
45,TMEFF2
46,MEGF10
47,DNAJC5B
48,TMC2
49,ADGRF4
50,RAB6B
51,TRIM74
52,SPAG17
53,SORCS3
54,NMNAT2
55,CD1D
56,POM121L2
57,CCDC17
58,CACFD1
59,TBC1D24
60,MEGF6
61,PIGR
62,ANKRD30BL
63,SYNPR
64,EMCN
65,HTR4
66,C7orf57
67,FAM86FP
68,JCAD
69,TBC1D21
70,MYO5B
71,SERTAD3
72,GLYCTK
73,FILIP1L
74,SLC16A4
75,NPNT
76,TM4SF20
77,FPR2
78,ALK
79,C5orf34
80,SNTG2
81,PDE3A
82,ADH6
83,SAA1
84,CNBD1
85,CSTF2T
86,RPS12P23
87,MEIOC
88,ATP5F1EP2
89,ZNF594
90,ARSJ
91,MUC16
92,SLC9A9
93,KCNIP1
94,RPSAP19
95,AC005037.1
96,SLC35F3
97,MIXL1
98,NRBP2
99,SV2B
100,MIR22HG
101,MITF
102,GFRAL
103,PLA2G2A
104,FSIP2
105,SPOCK3
106,CGB7
107,NOL4L
108,ZNF790
109,PLPP4
110,TXNDC8
111,AC004980.1
112,AC108134.1
113,MIR328
114,PIGCP1
115,EIF1P7
116,KCTD11
117,RPS4XP3
118,NPEPL1
119,TTC34
120,AL136968.2
121,RNASEK
122,AC008277.1
123,RPS24P8
124,AL391361.2
125,AC007362.1
126,AC025188.1
127,NCBP2-AS1
128,BMS1P11
129,TERF1P5
130,
131,LINC01535
132,IL9RP3
133,LINC01630
134,IL21-AS1
135,AC124861.1
136,AL031316.1
137,AC016730.1
138,AC010967.1
139,AL590226.1
140,PROB1
141,AL356479.1
142,LINC00242
143,PPP1R12BP1
144,AL359636.1
145,EIF4EP2
146,AP000695.1
147,HCG4P7
148,AL450326.1
149,KLF3-AS1
150,AC007099.1
151,CFAP58-AS1
152,AL357375.1
153,LINC01873
154,AC079465.1
155,DDX3P1
156,ERVH48-1
157,CNOT7P1
158,
159,AL158212.2
160,CYP2T1P
161,AC016907.2
162,ZNF736
163,HMGA1P4
164,TSPY26P
165,LURAP1L-AS1
166,LINC00298
167,MORC2-AS1
168,AL603882.1
169,LINC01376
170,MYO16-AS1
171,AC008080.4
172,STARD13-AS
173,AL157714.2
174,S100A11P1
175,AC069549.1
176,LINC02008
177,AC002310.2
178,ARHGDIG
179,AC073861.1
180,AC009228.1
181,AC005062.1
182,AC068633.1
183,RN7SL8P
184,AC117386.2
185,AC009720.1
186,FAM13A-AS1
187,ADH1C
188,NPHP3-AS1
189,AC106772.1
190,LINC02147
191,AP002884.1
192,LINC00989
193,AP002784.1
194,AP001363.1
195,AC005355.1
196,LINC01843
197,AC104123.1
198,AC100821.1
199,
200,AP001208.2
201,AC091564.2
202,
203,AP001318.1
204,AP001189.4
205,BCAS2P1
206,AL354813.1
207,IFNG-AS1
208,AC024901.1
209,AC024909.1
210,AC089984.1
211,ATXN2-AS
212,AL133304.3
213,LINC02303
214,AC008575.1
215,AL136295.2
216,AC015712.2
217,AC104041.1
218,SH3RF3-AS1
219,AL845331.2
220,AC008074.3
221,AQP4-AS1
222,AL133355.1
223,AC023043.1
224,AC025917.1
225,AC009034.1
226,ANKRD26P1
227,ATP2C2-AS1
228,
229,AL157394.1
230,AC104151.1
231,CORO7
232,RYKP1
233,AC004231.3
234,MIR1260B
235,AC018697.1
236,AP005264.1
237,AC004223.3
238,AL121761.2
239,AL049840.2
240,AL353811.1
241,MIR222HG
242,AC010997.3
243,AL050403.2
244,TPTE2P2
245,AL596094.1
246,C1QTNF3-AMACR
247,AC004877.1
248,INO80B-WBP1
249,AL035661.1
250,LINC02334
251,MIR6087
252,RF01880
253,AC093152.1
254,AC244093.5
255,AL356585.2
256,FP236241.2
257,AC114546.3
258,AP002800.1
259,CU634019.7
260,AC024941.2
261,Z83818.2
