,dwgenes
0,ARHGAP33
1,MPO
2,LRRC23
3,HFE
4,FYN
5,MRC2
6,MARCO
7,TYMP
8,TG
9,FAM114A2
10,PRDM1
11,LZTS1
12,CDH3
13,DLX3
14,CHI3L2
15,PPP2R5B
16,MNT
17,CHAT
18,ACAP1
19,TNS1
20,IGSF9B
21,LRP2
22,AACS
23,IGSF9
24,TMPRSS11E
25,MMP2
26,HEPH
27,P3H2
28,VNN 3.00
29,GABRP
30,PTGS1
31,MYO3A
32,SEPT3
33,REC8
34,PTK6
35,RASSF2
36,ST8SIA5
37,KCND1
38,SLC30A4
39,CA2
40,NDRG1
41,TNFRSF10A
42,ICAM5
43,UPK1A
44,LSR
45,ZNF85
46,PTPRZ1
47,CA9
48,RASSF4
49,ZMIZ1
50,SMOC2
51,RASGRF2
52,IL4
53,C9
54,PFKFB4
55,UPK1B
56,SDC1
57,NID1
58,RIMS3
59,FAAH
60,ABCD4
61,LRAT
62,FAM213A
63,DNAI1
64,LRP1
65,WFDC3
66,SERPINB6
67,TREM1
68,SOX4
69,SOX9
70,RTN2
71,MMP24
72,FRMD8
73,CDKN1C
74,CRB3
75,THEMIS2
76,ANGPTL6
77,FCRLA
78,SPINK5
79,LOXL2
80,CAMK1
81,EMP1
82,ANKRD6
83,MYO1G
84,MYO7A
85,POU2F3
86,ADAMTS14
87,HECW2
88,MNS1
89,ITGB7
90,DUOXA2
91,TMC6
92,HUNK
93,LMTK3
94,PADI1
95,MYOM3
96,AZIN2
97,SEMA6C
98,S100A7
99,PPFIA4
100,ACKR3
101,IL17RD
102,CPLX2
103,IGFBP3
104,BIN3
105,DPYS
106,FAM135B
107,VLDLR
108,HTR7
109,SESN3
110,CCDC83
111,IL18
112,C2orf50
113,ITPR1
114,GABRA2
115,CCDC175
116,LGI4
117,ABCA9
118,FAM126B
119,SPAG17
120,ZFHX2-AS1
121,LAD1
122,STC1
123,C1R
124,KALRN
125,CACFD1
126,CYP3A4
127,IER2
128,MXRA8
129,ADGRL4
130,IGSF8
131,SPATA17
132,NBPF20
133,IVL
134,SPRR2D
135,S100A9
136,CD200R1
137,DNASE1L3
138,CRELD1
139,C5orf63
140,TMC1
141,GJB2
142,DEPP1
143,NELL1
144,ASPG
145,RAG1
146,A2ML1
147,KIF7
148,SERTAD3
149,TEKT1
150,VPS37C
151,HR
152,WFDC12
153,NPNT
154,VAMP5
155,PLA2G4F
156,AFAP1L2
157,ADPRM
158,RBMXL2
159,DCDC1
160,CDC42BPG
161,KRT15
162,ANGPTL7
163,FBXL14
164,SYNPO2
165,DNAJB7
166,SNTG2
167,OVOL1
168,MYEOV
169,RXFP4
170,MMRN2
171,OLR1
172,C2orf70
173,ADGRF3
174,GPRC6A
175,SPDYE2B
176,CD164L2
177,TP53I11
178,CST6
179,PRIMA1
180,TMEM187
181,ODF3B
182,ALS2CL
183,CD28
184,THBD
185,EXOC3L1
186,IGSF22
187,MRGPRX3
188,LYNX1
189,EXOC5P1
190,HLA-V
191,HEPHL1
192,USH1G
193,ZNF708
194,CACNB4
195,CCNYL2
196,ARHGEF37
197,RPSAP19
198,AC005037.1
199,AC009365.1
200,TNFAIP8L3
201,ANKRD45
202,MAP7D2
203,LPAR5
204,PDE4B
205,NELL2
206,RALYL
207,SEMA4B
208,ADSSL1
209,FAM43A
210,LINC00482
211,KRT6B
212,AHNAK2
213,KRT16
214,HEATR4
215,ANGPTL5
216,KRTDAP
217,CFAP54
218,ZNF136
219,ZNF429
220,SLC25A29
221,FAM177B
222,S100A10
223,DLGAP2
224,ZNF607
225,ANKRD35
226,ITGBL1
227,RYR2
228,ZNF525
229,LINC00862
230,RAET1G
231,SPRN
232,KPRP
233,C1orf137
234,FOXO6
235,AP000911.1
236,PSORS1C1
237,FAM153C
238,PCDHGA1
239,MT1A
240,DPF3
241,C16orf96
242,ONECUT3
243,ZDHHC11B
244,KCTD11
245,LTB4R
246,SEPHS1P6
247,PRCD
248,TUBBP2
249,KRT16P3
250,NPEPL1
251,C20orf202
252,BTBD19
253,UHRF2P1
254,EEF1A1P24
255,AC069213.1
256,SIRPB3P
257,AC068657.1
258,LINC01527
259,LINC00393
260,ST13P6
261,AL136980.1
262,CYP4A22-AS1
263,TMEM191A
264,AL121899.1
265,ENTPD1-AS1
266,AC007966.1
267,AC005828.1
268,AC104170.1
269,AC009963.1
270,KRT16P2
271,CCDC148-AS1
272,AC004771.1
273,LINC01483
274,SLC2A1-AS1
275,Z94721.1
276,AL033504.1
277,AL590135.1
278,LINC02048
279,AC112518.1
280,AL513550.1
281,AL355483.2
282,AL450992.1
283,AC009495.1
284,LINC00858
285,AC080129.1
286,FAM133DP
287,AC074011.1
288,AL035588.1
289,AC013448.1
290,AL365356.4
291,AC005224.1
292,CHODL-AS1
293,KRT17P3
294,TMEM253
295,AC107214.1
296,LINC01271
297,RASA4DP
298,B4GALT1-AS1
299,AC092017.2
300,GAPDHP22
301,AL603840.1
302,HMGN1P30
303,Z84478.1
304,MSC-AS1
305,POU5F1P3
306,LINC00298
307,LINC00607
308,PRADC1P1
309,AC097662.1
310,AL034550.1
311,RGL2
312,AC090192.1
313,LINC00649
314,LINC02257
315,AL355574.1
316,AL133417.1
317,RPSAP4
318,RPL3P9
319,AC093019.2
320,YAE1D1
321,ADAMTS9-AS1
322,RPSAP52
323,AL365356.5
324,GK-AS1
325,PALM2
326,AMY2A
327,RPS4XP6
328,FLNB-AS1
329,AC055758.2
330,MTHFD2P1
331,CXXC4-AS1
332,AC009720.1
333,GPRC5D-AS1
334,CPEB2-AS1
335,AL160313.1
336,LUCAT1
337,ABHD14A
338,LINC02437
339,OTX2-AS1
340,AC093895.1
341,AC034223.1
342,ENPP7P10
343,LINC01843
344,RAB5CP2
345,AC145285.2
346,LINC01094
347,LINC02241
348,RNU6-850P
349,LINC01605
350,AC083841.1
351,AC120193.1
352,AC090197.1
353,AC009902.2
354,AP000873.3
355,AP003068.2
356,AC108136.1
357,SMILR
358,RAB44
359,AC090673.2
360,AC027290.1
361,DND1
362,ZNF350
363,RRN3P3
364,PGAM1P5
365,AC121761.1
366,AC007298.2
367,AC027288.3
368,AC005871.2
369,AC078778.2
370,LRP1-AS
371,ANKRD34C-AS1
372,AC011921.1
373,AC079203.2
374,AL117209.1
375,AC021739.4
376,AC020687.1
377,
378,ST20-AS1
379,AC092078.2
380,MIR762HG
381,AC012414.5
382,LMF1-AS1
383,AC069224.1
384,AC138305.1
385,HNRNPA3P11
386,AL049555.1
387,AC026470.2
388,AC002310.5
389,AC010531.3
390,AC027228.2
391,ISY1-RAB43
392,AC025627.1
393,AC025682.1
394,AC004231.3
395,SRP68P1
396,AC138645.1
397,LINC01841
398,AP005264.1
399,
400,AC011481.2
401,AC138150.2
402,AC005702.1
403,AC008738.3
404,AC023855.1
405,AC016229.2
406,ERVK-28
407,AC024592.3
408,MIR3188
409,AC011483.2
410,MEI4
411,AL162742.2
412,AC104819.3
413,PFN1P2
414,NBPF10
415,MMP28
416,LIX1L
417,NBPF25P
418,LINC02018
419,AC107983.2
420,AL022328.4
421,AC009283.1
422,RF02195
423,AL354821.1
424,AC125257.2
425,AC090241.3
426,AL109804.1
427,AC009133.4
428,AC243829.2
429,AC243773.1
430,AL133216.2
431,HYDIN2
432,AL445670.1
433,AL109976.1
434,AC134878.2
435,FP236241.2
436,AC114546.3
437,LINC01126
438,AL138831.3
439,CU634019.7
440,
441,AL691447.3
