,dwgenes
0,DPM1
1,SYN1
2,SYT7
3,ACPP
4,PRDM11
5,SERPINB1
6,SLC7A9
7,SLAMF7
8,RPL26L1
9,RAB27B
10,USE1
11,GINM1
12,MYLK
13,FGFR3
14,MBD3
15,NDE1
16,STXBP2
17,MYH7B
18,UBE2D4
19,SLC27A5
20,ZNF324
21,MGST2
22,SNX10
23,DNMT3B
24,DYNLL1
25,MRPS33
26,TMEM101
27,NDUFB7
28,PRODH
29,TXN2
30,FKBP3
31,ATP6V1D
32,ASB2
33,PCK2
34,PTK6
35,MYOM1
36,TIMP1
37,MPG
38,MTHFSD
39,XYLT1
40,CA2
41,NFKBIB
42,TNNT1
43,VRK3
44,STEAP1B
45,ANKRD7
46,PTPRZ1
47,RPA3
48,AGR2
49,SEC61B
50,NPM3
51,PNPO
52,MED31
53,NMU
54,RPL34
55,POU2AF1
56,CLEC2B
57,GPRC5D
58,NEDD9
59,GABRG2
60,IQCG
61,C3orf52
62,SPCS1
63,STAM2
64,PCSK4
65,PROC
66,OSCP1
67,NENF
68,TREH
69,ALDH8A1
70,RARRES1
71,DNAH7
72,FLVCR2
73,GPR68
74,DNAJC15
75,PDLIM2
76,CSTA
77,CSMD2
78,TRIR
79,STIL
80,RAB38
81,ENKD1
82,CEACAM8
83,SNRPD2
84,EDN2
85,COX7C
86,PTPRB
87,DYRK2
88,PIN1
89,ADGRE2
90,APOL2
91,HEATR5A
92,EAPP
93,CBFA2T3
94,COX7B
95,F12
96,SPATA6
97,SLC6A11
98,SEC61G
99,POMP
100,RNF128
101,SPINK5
102,TMEM258
103,ADAMTS8
104,NREP
105,PRADC1
106,DOCK10
107,ITM2C
108,ATP6V1G1
109,HINT2
110,SLC22A23
111,CASP1
112,RPL7P9
113,RPS24
114,COX17
115,PRICKLE1
116,CSAD
117,SCAPER
118,SEC11A
119,CMTM3
120,NDUFB10
121,GAS8
122,AC008764.1
123,CYP4B1
124,GABPB2
125,RPS27A
126,SNRPG
127,THSD7B
128,PTH2R
129,CSRNP1
130,ANK2
131,MYLK4
132,FGD2
133,PSPH
134,TMEM47
135,ZNF711
136,RPL7
137,SIGMAR1
138,GLB1L2
139,TAGLN
140,TIMM8B
141,ZNF385D
142,RBM46
143,GRID2
144,CARHSP1
145,BMP6
146,MERTK
147,LINC00467
148,ELOC
149,PDE1C
150,APCDD1
151,GTF3C6
152,SLC24A2
153,ART3
154,SLC28A1
155,ATP5MPL
156,UQCRB
157,MED19
158,PHKG2
159,SSBP3
160,GATAD1
161,NRG2
162,CPA5
163,POM121L2
164,B3GALT2
165,CADM3
166,SLC9C2
167,VSNL1
168,H3F3A
169,C1QTNF7
170,IWS1
171,BOLA3
172,SPRR2D
173,FZD5
174,LINC01116
175,STK36
176,C3orf67
177,ZNF513
178,PLB1
179,SPDYA
180,RPL39L
181,ADGRV1
182,CCDC112
183,TIGD6
184,EBF1
185,SBSPON
186,COX6C
187,TMEM246
188,TAF10
189,CYB5R2
190,CENPN
191,BEX3
192,TRAPPC2L
193,KLK13
194,POLR2G
195,TTC21A
196,COPS6
197,HR
198,NPNT
199,NSMCE1
200,HINT1
201,BOLA2B
202,TRIM56
203,SDR9C7
204,KRT75
205,LSM 3.00
206,FPR1
207,MRPL36
208,DSCAM
209,RPS7
210,MBOAT1
211,ARNT2
212,COPS9
213,CHCHD1
214,CYSLTR1
215,GMPPB
216,UQCRH
217,GNG5
218,LINGO2
219,WFDC5
220,CSRP2
221,ARL 10.00
222,SUGCT
223,LRRN1
224,MBLAC2
225,AQP7P4
226,GATD1
227,FZD8
228,PGBD5
229,RPS27
230,ASB8
231,RPS3AP5
232,APOLD1
233,C1orf194
234,AC140134.1
235,EXOC5P1
236,HEPHL1
237,RNF135
238,NOP10
239,MRPL41
240,C1S
241,IGIP
242,RPS17
243,ZNF320
244,AL109615.1
245,DGCR6
246,UPP1
247,ANKRD45
248,UTY
249,THAP7
250,ZBTB7C
251,PTRHD1
252,SIVA1
253,TCEAL9
254,LMNTD2
255,KDM4D
256,GOLGA8R
257,PRR5
258,BAGE2
259,HS6ST1P1
260,KLHL17
261,NWD1
262,PRKAR1B
263,COMMD6
264,C3orf62
265,RPL10AP2
266,NDUFA4
267,S100A4
268,AC005154.1
269,SPTSSB
270,ZNF846
271,SPRR2B
272,NOP9
273,SERPINA1
274,MRPL21
275,BNIP3P1
276,ZNF786
277,SLC28A3
278,AL359955.1
279,IRAK4
280,HMGN2
281,OSTC
282,MTND4LP30
283,RN7SKP255
284,RNA5SP242
285,VTRNA1-3
286,POLH-AS1
287,LIPK
288,NXPE2
289,POU5F1
290,RPS26P8
291,LGALS7
292,CYP2D7
293,GMNC
294,SERPINB11
295,HLA-H
296,AC117402.1
297,RNVU1-7
298,SNORA10B
299,RNU6-2
300,EEF1B2P6
301,HNRNPA3P6
302,AL096829.1
303,RPL17P50
304,KCTD11
305,LTB4R
306,AC004980.2
307,FIS1
308,RPS19P1
309,RPL21P1
310,EEF1A1P29
311,MYL5
312,RPL21P119
313,RPL21P16
314,BTBD19
315,FAM185A
316,DCDC2B
317,CLDN10-AS1
318,DAZAP2P1
319,OSER1-AS1
320,AL355388.1
321,FP700111.1
322,SVIL-AS1
323,NPIPA3
324,PCOLCE-AS1
325,LINC01703
326,MTND2P28
327,PGAM1P2
328,MTND1P23
329,AC244107.1
330,AL158055.1
331,FTH1P20
332,
333,AC092164.1
334,CEP164P1
335,AL133346.1
336,ELL2P1
337,AL031985.2
338,SLC2A1-AS1
339,AC072062.1
340,THAP12P3
341,AC010967.1
342,MT-ATP8
343,LYPLA2P1
344,MACC1-AS1
345,UBAC2-AS1
346,AC099788.1
347,AC092162.2
348,AL136454.1
349,AC073342.1
350,IMPDH1P10
351,SEC1P
352,DDX3P1
353,LINC00342
354,LINC00460
355,AC108047.1
356,LINC01503
357,AL359715.1
358,RPSAP9
359,AC114730.2
360,AC114755.5
361,NFAM1
362,LDHAP2
363,AC078777.1
364,AC234783.1
365,AC092687.2
366,INTS6-AS1
367,BCYRN1
368,RPL12P12
369,AC008267.5
370,AL365295.1
371,AL034379.1
372,AC010099.4
373,LINC02257
374,AC068196.1
375,BX470102.1
376,AC108022.1
377,AC020917.1
378,AC063952.1
379,LINC00886
380,RPSAP52
381,ZBTB20-AS5
382,C3orf67-AS1
383,DECR2
384,AC073842.2
385,AC113398.1
386,AC107032.1
387,AC114400.1
388,C4orf48
389,HLA-L
390,RPL23AP65
391,SPRR2F
392,GATA2-AS1
393,AC098583.1
394,EEF1A1P4
395,AC096564.1
396,AP003352.1
397,ZBED5-AS1
398,INSL3
399,AC107398.2
400,SRP14-AS1
401,LINC02118
402,AC126768.2
403,AC008771.1
