,dwgenes
0,DNAH9
1,IL32
2,DCN
3,CLCA4
4,ATP1A2
5,TMCC3
6,ARSF
7,TGFBR3
8,ATP1B3
9,FCGR2B
10,NEBL
11,NFE2L1
12,RPH3A
13,TGM1
14,PALMD
15,APOL1
16,ABHD4
17,PAPLN
18,GPR50
19,MSLN
20,LACTB
21,BMF
22,CABP5
23,UPK1A
24,CYP3A5
25,UNC5B
26,CDR2L
27,LRP2BP
28,SOX6
29,OPRM1
30,C6orf118
31,LOX
32,C9
33,CLDN16
34,COL7A1
35,TLX2
36,IGFBP5
37,RND3
38,EPHA4
39,C1orf21
40,OLFML3
41,NID1
42,ATP10B
43,KLF9
44,ARR3
45,CSTA
46,SLPI
47,PTGER2
48,C3
49,RTN2
50,RRAS
51,PZP
52,PALLD
53,CDKN1C
54,MATN3
55,PPP1R3D
56,MTUS2
57,STARD13
58,RNF128
59,NREP
60,OASL
61,CCDC146
62,CD36
63,TMBIM1
64,MYO1G
65,IL36G
66,TRPC6
67,MMP7
68,BTG4
69,DUOX1
70,SEMA6D
71,CYP11A1
72,NECTIN4
73,CRABP2
74,SELENBP1
75,BOC
76,SLC22A3
77,IGFBP3
78,DNAJC5B
79,LCN2
80,CNDP1
81,PIH1D2
82,PTPN14
83,SLC16A12
84,APCDD1
85,TRIM74
86,RAET1L
87,FBXO32
88,KCNB1
89,KALRN
90,CACFD1
91,CYP3A4
92,GRIN2C
93,MXRA8
94,TTC14
95,MIOS
96,GPR146
97,TMC1
98,CACNB2
99,SERTAD3
100,IL1RAPL1
101,RASSF6
102,SLN
103,KRT78
104,SGCD
105,ALK
106,KRT15
107,MCC
108,DSEL
109,SYNPO2
110,OLR1
111,SAA1
112,NABP1
113,CNBD1
114,RNF152
115,TTTY14
116,PXMP2
117,SIX5
118,PRSS36
119,ERBB4
120,MAF
121,EFCAB13
122,PLD5
123,MB21D2
124,ZNF594
125,SLC9A9
126,UBA7
127,C1S
128,ZNF804B
129,NCF1B
130,Z97985.1
131,GPR1
132,EMILIN3
133,NRBP2
134,ROR1
135,MUC1
136,PRKG1
137,SRL
138,FFAR4
139,CCDC30
140,FCAR
141,BCDIN3D
142,MITF
143,PCDHB13
144,LUZP2
145,TPRG1
146,AC026412.1
147,NCCRP1
148,FSIP2
149,AC099489.1
150,MAOA
151,AC005154.1
152,ZKSCAN7
153,AJAP1
154,PPTC7
155,KANK2
156,C5orf56
157,SERPINB13
158,DEFB107B
159,EGFL6
160,CD247
161,RN7SKP36
162,RAET1G
163,KPRP
164,EFCAB7
165,HLA-DRA
166,SP5
167,HLA-J
168,AP000812.1
169,C21orf62
170,SERPINB11
171,IGHV3-49
172,ASIC3
173,AC239799.1
174,GBP7
175,PIGCP1
176,KCTD11
177,AL034370.1
178,RPS3AP36
179,KRT16P3
180,NPEPL1
181,
182,ACTBP8
183,LINC01615
184,AC098828.2
185,LINC01527
186,PRKAR2A-AS1
187,ZNF812P
188,AF064860.1
189,AL356289.1
190,RPL41P1
191,IL21-AS1
192,AKR1B15
193,AC004771.1
194,AL162742.1
195,AC008440.1
196,AC079779.2
197,WEE2-AS1
198,AL139161.1
199,AL139383.1
200,VN1R108P
201,AL929472.2
202,AL590399.3
203,SGO1-AS1
204,ARL4AP4
205,
206,LINC01698
207,LINC01598
208,AC079781.3
209,LINC02518
210,TNF
211,MIR3936HG
212,CYP2T1P
213,AC004231.1
214,LINC02154
215,LURAP1L-AS1
216,LINC01372
217,LINC01564
218,AL138737.1
219,LINC01376
220,AL391704.2
221,STARD13-AS
222,AL034550.1
223,RAI1-AS1
224,
225,AC010980.1
226,AL773545.3
227,CLRN1-AS1
228,AC244205.1
229,AC128685.1
230,SKINT1L
231,AC073861.1
232,PSG4
233,KCNK15-AS1
234,MTHFD2P1
235,STARD4-AS1
236,AC068446.2
237,LINC02102
238,EPPIN-WFDC6
239,UGDH-AS1
240,AC008467.1
241,AC005699.1
242,CCDC74BP1
243,AC020659.2
244,AACSP1
245,AP001363.1
246,SELENOP
247,AC010255.3
248,AC098851.1
249,LINC00923
250,AC096711.2
251,MALAT1
252,AC083841.1
253,AC090193.1
254,AC011363.1
255,
256,AP001318.1
257,ATP5PBP5
258,SAA2-SAA4
259,AP001266.2
260,AC092471.2
261,AC026333.3
262,MGAM
263,AC104035.1
264,AL132800.1
265,LINC02296
266,AL162311.3
267,LINC00648
268,AC021231.1
269,LINC01491
270,AC092078.2
271,AC012414.5
272,AC022166.1
273,AC026461.3
274,AC006288.1
275,
276,AL845331.3
277,AC074050.3
278,ISY1-RAB43
279,AL353708.2
280,AC108134.4
281,AC119396.1
282,AC110597.3
283,AC025682.1
284,AC011474.1
285,AC091588.2
286,AP006565.1
287,TXNIP
288,AC005703.4
289,TCF4-AS1
290,AC010980.2
291,AC245748.1
292,AC009271.1
293,AC120049.1
294,AC023855.1
295,LINC01081
296,AC010336.6
297,
298,AC104819.3
299,HCG17
300,AL357054.2
301,LINC01215
302,AC005618.1
303,AC008972.2
304,CD24
305,AL391121.1
306,AC055764.2
307,AC009283.1
308,RF02195
309,AC106782.5
310,AC241952.1
311,AL162731.1
312,AL139385.1
313,AC245041.2
314,AC097641.2
315,RF01880
316,BX539320.1
317,AC114546.3
318,AC134981.1
319,AC119427.1
