,dwgenes
0,SLC7A2
1,PDK2
2,CRLF1
3,SPATA20
4,ALDH3B1
5,GTF2IRD1
6,ARSD
7,RHBDF1
8,CACNA2D2
9,PIGQ
10,MYLIP
11,MMP25
12,IL32
13,PKD1
14,IYD
15,IDS
16,ABHD5
17,CALCOCO1
18,SLC7A14
19,MVP
20,RWDD2A
21,CLK1
22,SLC11A1
23,ATP1A2
24,PHLDB1
25,PRDM11
26,RRAGD
27,TYMP
28,KCNG1
29,POU2F2
30,GAB2
31,USP2
32,MRI1
33,DNAH5
34,BEST2
35,PARP3
36,TG
37,GEMIN8
38,LMO3
39,H6PD
40,PPP1R3F
41,HERPUD1
42,ENTPD2
43,SYNE2
44,ATP2B4
45,PRDM6
46,AHRR
47,ABCA7
48,HMG20B
49,MYLK
50,TLE2
51,FGFR2
52,METTL22
53,PRKCZ
54,TTC7A
55,SIRT2
56,TGFBR3
57,FSTL3
58,ST6GALNAC2
59,TESK2
60,FAM50A
61,CYBRD1
62,ACAP1
63,LLGL2
64,CDHR2
65,CA12
66,SCARF1
67,CELSR1
68,WNT8B
69,FOSL2
70,SEC31B
71,FBLN1
72,AMPH
73,NEBL
74,TP73
75,PAFAH1B3
76,STX7
77,IGSF9B
78,NFE2L1
79,TRPM3
80,ZCCHC6
81,RRAGB
82,COL16A1
83,ZNF213
84,HSD17B2
85,PPP1R15A
86,SH3BP2
87,RFX2
88,EDEM2
89,LZTS3
90,CFAP61
91,IGBP1
92,BLVRB
93,YPEL3
94,ICAM1
95,LAMB1
96,ESR1
97,CCDC80
98,SLC7A8
99,SNAP23
100,COL9A3
101,MFSD11
102,VNN 3.00
103,HDAC6
104,HOOK2
105,WHRN
106,EFHC1
107,DSP
108,RASSF7
109,PALM
110,PRODH
111,PIK3IP1
112,LMF2
113,TTLL1
114,TOM1
115,RASD2
116,CBX7
117,APOL1
118,KCTD17
119,PMM1
120,ABHD4
121,GSTZ1
122,PAPLN
123,ISM1
124,WFDC2
125,ACOT8
126,LPIN2
127,MYOM1
128,POLI
129,RIOK3
