,dwgenes
0,ST7
1,ETV1
2,NFIX
3,BAZ1B
4,METTL13
5,BRCA1
6,TACC3
7,ZDHHC6
8,NUP160
9,DEPDC1B
10,RAI14
11,PHLPP2
12,ZIC2
13,MPHOSPH9
14,MRTO4
15,NOP58
16,NDC1
17,SNRNP40
18,SPHK2
19,ST3GAL6
20,TAF11
21,ASPM
22,EML1
23,DNTTIP2
24,RASSF1
25,PRR11
26,HDHD5
27,CFAP20
28,TCOF1
29,RAD18
30,ING3
31,TRIP13
32,SMC1A
33,NDE1
34,MCM2
35,HACD3
36,NUP37
37,WDR62
38,MCM6
39,UBE2T
40,ACER3
41,SYNJ2
42,SENP1
43,PAFAH1B3
44,RBL1
45,DLG3
46,WBP11
47,AK6
48,SEPHS1
49,L2HGDH
50,AURKA
51,DDX18
52,TPX2
53,PDRG1
54,TFAP4
55,ORC6
56,OSGEP
57,SEC22C
58,XYLB
59,CDC6
60,WAC
61,HNRNPH3
62,MFNG
63,PATZ1
64,POLDIP3
65,MCM5
66,EP300
67,POLR3H
68,PRMT5
69,POLE2
70,NIN
71,CEP128
72,MTHFD1
73,PNN
74,GINS1
75,MRGBP
76,E2F1
77,CEP192
78,POLA1
79,STK24
80,NUP93
81,CTCF
82,GGA2
83,OCA2
84,OIP5
85,SH2D4A
86,C19orf44
87,ILVBL
88,CCNE1
89,DNAH11
90,EPHB6
91,NRF1
92,EZH2
93,NUFIP2
94,PMP22
95,GRPEL1
96,AADAT
97,CCDC34
98,PTGES3
99,FOXM1
100,RAD51AP1
101,RFC5
102,CAND1
103,NUP107
104,CPSF6
105,CLEC4A
106,PAK1IP1
107,MCM9
108,SRSF3
109,MCM3
110,BAG2
111,TTK
112,DROSHA
113,LMNB1
114,ECT2
115,NRBP1
116,PLCD4
117,CNPPD1
118,SRSF7
119,MARK1
120,CACYBP
121,IVNS1ABP
122,MTR
123,AKT3
124,CDC20
125,NSL1
126,CENPF
127,MESD
128,RCN2
129,KIF14
130,CASP8AP2
131,RXYLT1
132,CNTRL
133,PHF19
134,HELLS
135,MASTL
136,EGR1
137,NCAPH
138,MND1
139,PDS5A
140,ZRANB3
141,MRM2
142,ZWINT
143,CIT
144,CDKN2C
145,NLN
146,CENPK
147,STIL
148,EXOSC9
149,AGO2
150,DEK
151,NUP85
152,GTF3C4
153,OPRL1
154,GTF2F1
155,STK35
156,MCM8
157,TUBGCP3
158,GLIS2
159,TIMM8A
160,GNG11
161,SGCE
162,STRIP2
163,KNSTRN
164,DUT
165,MAP7D3
166,TMEM8A
167,DNMT1
168,DKC1
169,NFATC1
170,HAUS8
171,RPA1
172,UNK
173,NXT1
174,NASP
175,RFC3
176,SRRM1
177,SLC2A11
178,PSRC1
179,TMEM106C
180,RBM17
181,TMEM241
182,COL4A2
183,C9orf40
184,ORC3
185,AGAP2
186,CDK4
187,TROAP
188,ESPL1
189,RAB11FIP5
190,KCNK1
191,USP37
192,BORA
193,MED4
194,NUDT15
195,RAPGEF5
196,BZW2
197,TRA2B
198,ODF2
199,PRPF4
200,TCF19
201,MDC 1.00
202,BUD13
203,CTDSPL2
204,KIF23
205,UACA
206,KIF11
207,CALHM2
208,DBR1
209,DNA2
210,BARD1
211,ABI2
212,GPAT3
213,BRCA2
214,NLRC5
215,LRRC46
216,AFG3L2
217,PELP1
218,SAMD1
219,DUS3L
220,MYOM3
221,IL22RA1
222,KIF2C
223,POGK
224,POU2F1
225,MRPL9
226,DTL
227,INTS7
228,HCN3
229,LBR
230,ATP6V1C2
231,DLX1
232,FANCD2
233,CNOT9
234,ENOPH1
235,SPATA5
236,CCNA2
237,SKP2
238,SLC30A5
239,PRIM2
240,PHIP
241,MMS22L
242,CDCA5
243,TMEM209
244,ZNF41
245,PRPS1
246,NSD3
247,SLC39A4
248,INIP
249,POLE3
250,INPP5E
251,RPP30
252,MKI67
253,TAF5
254,PPRC1
255,CPSF7
256,CHEK1
257,PLCB3
258,HIRIP3
259,SAP18
260,NCAPD3
261,PDK1
262,HNRNPDL
263,KCTD15
264,NRGN
265,SH3RF1
266,TMEM237
267,ELMO1
268,ADAMTSL3
269,RWDD2B
270,BUB1B
271,NRG1
272,PAXIP1
273,FANCC
274,HIST1H2BD
275,CHAF1B
276,HLCS
277,THEM4
278,TCHH
279,CALM3
280,CCDC28B
281,CCDC58
282,WDR4
283,U2AF1
284,RRP1
285,ICOSLG
286,C21orf58
287,BDH1
288,ALDH16A1
289,DBF4B
290,LEXM
291,PDPN
292,USP1
293,GMPS
294,PCOLCE2
295,RFC4
296,CDC25A
297,HMGB2
298,ABCE1
299,RHOBTB3
300,DCBLD1
301,CDCA7L
302,RAD21
303,PSIP1
304,MELK
305,ZMYND19
306,E2F7
307,LEO1
308,PLK1
309,SCG5
310,DIS3L
311,MAP1A
312,RRM1
313,CDT1
314,CHAF1A
315,TSR1
316,MIS12
317,SPINDOC
318,SCARA3
319,SCARA5
320,NUDT16L1
321,UBTD2
322,MLKL
