,dwgenes
0,LAP3
1,AOC1
2,KLHL13
3,FKBP4
4,CIAPIN1
5,TMEM98
6,CCDC124
7,RHOBTB2
8,LYPLA2
9,LARS2
10,ANLN
11,SEMA3B
12,SLC25A39
13,POLR3B
14,TACC3
15,VSIG2
16,AQR
17,DEPDC1
18,TFB1M
19,NUP160
20,EIPR1
21,ABCF2
22,SLC4A7
23,PEX3
24,RPL26L1
25,VCAN
26,STAU2
27,PSMA4
28,TDP1
29,ZIC2
30,JKAMP
31,PIK3CB
32,AKR7A2
33,USE1
34,NRIP2
35,ANAPC4
36,RELT
37,RIOK2
38,U2AF2
39,TM7SF3
40,PMS1
41,MCM10
42,TRMT11
43,POLR1A
44,SRBD1
45,HDHD5
46,ST6GALNAC1
47,ASNS
48,AP3M2
49,EIF2B3
50,BUD23
51,RDH11
52,MPP5
53,HMMR
54,MCM2
55,ST6GAL1
56,NUP37
57,SEMA3A
58,ADD2
59,EXOSC7
60,REXO2
61,UNG
62,TOP2B
63,UBE2T
64,CAPN6
65,EXOSC5
66,ACER3
67,UBE2K
68,TIGAR
69,VDAC3
70,FKBP7
71,SLC1A3
72,SLC35C2
73,NDC80
74,HSPB11
75,KCNK2
76,MRPL22
77,PDS5B
78,OXCT1
79,ZMPSTE24
80,CAD
81,RAD54L
82,B4GALT1
83,EPDR1
84,MRPL28
85,FAT2
86,TMED2
87,ZW10
88,L2HGDH
89,ERGIC2
90,SNX5
91,SLC23A2
92,FUS
93,NDUFB2
94,DLL3
95,TGM1
96,WDR76
97,CLSPN
98,CDC45
99,PALMD
100,NDUFB7
101,SUSD2
102,CARD10
103,SLC25A1
104,HIRA
105,CENPM
106,AP1B1
107,TTLL12
108,PHF5A
109,TRMU
110,DESI1
111,FKBP3
112,POLE2
113,PSMC6
114,CDKN3
115,TELO2
116,VRK1
117,GINS1
118,MYBL2
119,C20orf24
120,RAE1
121,TCFL5
122,C20orf27
123,TLDC2
124,SAMHD1
125,NOP56
126,E2F1
127,FAM83D
128,USP14
129,SMCHD1
130,LAMA1
131,RBBP8
132,STS
133,POLA1
134,MID1
135,ATP11C
136,SMARCA1
137,ASB9
138,FMR1
139,EEA1
140,SRPX2
141,SYTL4
142,DRP2
143,PBDC1
144,VWA8
145,NUP93
146,CMC2
147,SLC7A5
148,HMOX2
149,RPGRIP1L
150,IGDCC4
151,TMEM87A
152,CEP152
153,EIF3J
154,OIP5
155,CA2
156,IMPAD1
157,SFRP1
158,POP1
159,PLAT
160,JPH1
161,PYCR3
162,INTS10
163,TUSC3
164,ASF1B
165,GPI
166,MRPL4
167,CD33
168,CDK6
169,MPP6
170,CHN2
171,PTPRZ1
172,LSM 5.00
173,EZH2
174,CHCHD3
175,POLD2
176,FKTN
177,ENG
178,RLN1
179,PLGRKT
180,NCS1
181,FUBP3
182,LHX3
183,TRDMT1
184,LIPA
185,TWNK
186,GTPBP4
187,EDRF1
188,SMC3
189,PEX12
190,AC130689.1
191,NMU
192,INPP4B
193,GAR1
194,SLC2A9
195,GLRB
196,MTCH2
197,HSPA8
198,CCND1
199,GALNT18
200,DDX6
201,KIAA1549L
202,NDUFS8
203,MAGOHB
204,FOXM1
205,RAD51AP1
206,TIMELESS
207,KRR1
208,FRK
209,RNGTT
210,FBXO5
211,MRPL18
212,MDN1
213,PTP4A1
214,PEX7
215,PDE10A
216,DNPH1
217,COX7A2
218,LAMA4
219,MAN2A1
220,KIF20A
221,ARSB
222,LMNB1
223,ST8SIA4
224,SKP1
225,WWC1
226,TCERG1
227,ARL 6.00
228,PCCB
229,PODXL2
230,MRPL3
231,SPCS1
232,SF3B6
233,NDUFS7
234,GRB14
235,EHBP1
236,MOB4
237,FARSB
238,MECR
239,SRM
240,PLA2G4A
241,CD58
242,TTF2
243,SDHB
244,SSX2IP
245,ID3
246,EBNA1BP2
247,CDC20
248,TSPAN1
249,STMN1
250,NEK2
251,CENPF
252,PPP1R8
253,TXNDC12
254,CD3EAP
255,MESD
256,STAG1
257,MREG
258,NRP2
259,SPP1
260,OTUD4P1
261,NDUFB3
262,HEATR1
263,NEK6
264,MLH3
265,SLIRP
266,FAM98A
267,EPCAM
268,IFIT3
269,SMNDC1
270,HELLS
271,C10orf95
272,ACAT2
273,ENY2
274,EXOSC8
275,PLS1
276,UTP20
277,LYPLA1
278,LRAT
279,MND1
280,CSTA
281,TMEM156
282,GTDC1
283,FAM213A
284,SPATA1
285,SEPT7
286,TAF1L
287,SRGN
288,CISD1
289,ZWINT
290,CIT
291,PRDX4
292,GIPC1
293,NLN
294,CENPK
295,TSFM
296,AMD 1.00
297,METTL8
298,C4BPA
299,CKS2
300,DAW1
301,HIST1H1A
302,ABCC4
303,MRPS7
304,NT5C
305,SNRPB2
306,ID1
307,CAPNS1
308,PDCD2L
309,BCL2L12
310,DNAJC8
311,DLGAP5
312,OMG
313,BCL11B
314,COX7C
315,AUNIP
316,PKMYT1
317,TUBBP1
318,PAICS
319,CDHR3
320,MRPS12
321,MYO1B
322,IVD
323,SPCS3
324,TXNDC17
325,AP1M2
326,DAD1
327,GNL3L
328,THEM6
329,BST2
330,ARPC1B
331,FCHO1
332,LSM 4.00
333,H19
334,COX7B
335,F12
336,TUBG1
337,PSME3
338,ACLY
339,CHSY1
340,NUP210
341,RRP8
342,MRPL35
343,TERF2
344,ATP8A2
345,POMP
346,WASF3
347,SCO1
348,SLF1
349,ACTR3B
350,ATP13A3
351,ARNTL
352,TTC9
353,EMC7
354,LAMTOR5
355,TIMM17A
356,CCNH
357,RERG
358,LRP4
359,RNF138
360,DZIP1
361,WDR36
362,EHF
363,TROAP
364,ESPL1
365,KRT87P
366,KRT7
367,URB2
368,DOCK10
369,CKAP2
370,BORA
371,LRCH1
372,LMO7
373,IL6
374,MRPL47
375,BLK
376,GARNL3
377,DSCC1
378,DMAC1
379,PPIL1
380,TCF19
381,GGH
382,SULF1
383,PPP2R1B
384,NUSAP1
385,NDUFAF1
386,KNL1
387,ARHGAP29
388,SELENOI
389,ADCY3
390,PNPT1
391,THUMPD2
392,PREB
393,STAMBPL1
394,CH25H
395,KIF20B
396,RPS24
397,FASTKD1
398,COX17
399,ZGRF1
400,HNRNPD
401,FGF5
402,FRAS1
403,PPA2
404,CENPE
405,PPP3CA
406,FBN2
407,RGS3
408,PIK3C2G
409,PHLDA1
410,TDG
411,FAM222A
412,BRCA2
413,HNRNPA1L2
414,DIAPH3
415,FRMD6
416,SORD
417,SLC27A2
418,PIF1
419,FANCI
420,GCSH
421,GREB1L
422,TP53
423,SLC16A3
424,NT5C3B
425,TXNL4A
426,URB1
427,CBLC
428,PIGK
429,ILDR2
430,NR1I3
431,MRPL24
432,TAF1A
433,C1orf131
434,TTC13
435,SCCPDH
436,OSR1
437,CAMKMT
438,CHAC2
439,WDPCP
440,SNRPG
441,ST6GAL2
442,THSD7B
443,CDCA7
444,GMPPA
445,COL8A1
446,ABHD10
447,SPATA5
448,NDUFS6
449,C1QTNF2
450,G3BP1
451,MMS22L
452,TMEM181
453,C7orf50
454,TMEM209
455,NCAPG2
456,NLGN4X
457,PRPS1
458,MFHAS1
459,ST18
460,SYBU
461,POLR2K
462,UTP23
463,SLC39A4
464,CBWD5
465,MFSD14B
466,ZNF462
467,POLE3
468,PTGES2
469,MIGA2
470,PTGES
471,RPP30
472,FUOM
473,LIN7C
474,APIP
475,TENM4
476,NCAM1
477,MPZL2
478,EEF1AKMT1
479,FAM173B
480,DLAT
481,C12orf45
482,BTBD11
483,EIF4E
484,ADAMTS12
485,NEK7
486,PTPRO
487,NCAPD3
488,CENPU
489,BICD1
490,GABRA2
491,PABPC3
492,FBXO4
493,AP1S3
494,HAUS1
495,ATG10
496,XRCC4
497,SUV39H2
498,GPD1L
499,GPR180
500,PLOD2
501,ANAPC1
502,SCOC
503,FRMD1
504,LPCAT1
505,RPIA
506,MCOLN2
507,LRRK1
508,NEIL2
509,FAM69A
510,ATP5MC3
511,ATP5PF
512,SKA1
513,DKK 2.00
514,OTUD6B
515,NUP205
516,PPARGC1B
517,RASA2
518,RAET1L
519,VBP1
520,CARNMT1
521,DCK
522,N6AMT1
523,ATP5MPL
524,UQCRB
525,UNC5D
526,GLYATL2
527,ZNF689
528,PAXIP1
529,CCNB2
530,PALM2-AKAP2
531,C12orf43
532,FAM86C1
533,CDA
