,upgenes
0,NIPAL3
1,CFLAR
2,PDK4
3,CROT
4,FYN
5,DCN
6,TMEM159
7,SEMA3B
8,ABCC2
9,FAS
10,SLAMF7
11,SNX1
12,ANK1
13,DAPK2
14,TUBG2
15,CDH1
16,CTNS
17,CDH10
18,SPATA7
19,RRM2B
20,SNX29
21,ADAMTS6
22,FOXN3
23,LAMA3
24,HHAT
25,CYFIP2
26,TM7SF3
27,HIPK2
28,DGKA
29,PRKCZ
30,SYT1
31,HES2
32,RPS6KA2
33,MYO3B
34,PLXNA2
35,MAP2
36,FAP
37,TIGAR
38,EDN1
39,SESN1
40,FYB1
41,CYLD
42,CD59
43,BAX
44,MMP2
45,ASAP3
46,C3orf18
47,TMEM40
48,GMIP
49,LAG3
50,PCBP4
51,YPEL3
52,CATSPERG
53,TTLL1
54,ARSA
55,ARFGAP1
56,CST3
57,MAP1LC3A
58,LAMA1
59,RENBP
60,KLF8
61,RHOV
62,SERPINE1
63,SPATA6L
64,TLE4
65,APBA1
66,ACTA2
67,DHX58
68,COL1A1
69,WSB1
70,SULT1E1
71,AREG
72,VWA5A
73,ACCS
74,SLC22A18
75,VNN 1.00
76,FAM46A
77,CCNG1
78,CPEB4
79,KAT2B
80,IL1A
81,KCNIP3
82,ST3GAL5
83,EPHA4
84,RGS2
85,RPE65
86,RIMS3
87,KDM5B
88,KIF17
89,PIK3R3
90,TNFSF4
91,RSRP1
92,CCND2
93,FLVCR2
94,YPEL5
95,PLEKHG1
96,KIAA1217
97,OPTN
98,MMP19
99,PSG8
100,CDKN1A
101,IL1B
102,TNFSF9
103,CD70
104,GPCPD1
105,EDN2
106,VPREB3
107,A4GALT
108,LIF
109,APOBEC3A
110,CALML4
111,AJUBA
112,CDO1
113,FGF13
114,GAMT
115,SAT1
116,STK33
117,GDF15
118,EDA2R
119,SH3BGRL
120,SLC34A1
121,GALNT15
122,SPATA6
123,EMILIN2
124,TRIM5
125,TRIM22
126,CARD6
127,GUCY2D
128,LPIN3
129,WNT2B
130,CRB1
131,DDB2
132,ZCCHC11
133,NREP
134,CPM
135,MDM2
136,KIAA0513
137,ITM2B
138,ADAMTS7
139,RALGPS1
140,TMEM63B
141,ANKRD42
142,CCDC90B
143,SYTL2
144,BTBD16
145,CCNG2
146,C1RL
147,ITGB7
148,SKAP1
149,SLC25A52
150,TMC6
151,MAPK4
152,FAM71E1
153,KIAA0319L
154,NECTIN4
155,RGL1
156,SEMA6C
157,SYT14
158,KCNH1
159,ABCA12
160,PLK2
161,TENM2
162,FBXO10
163,STOM
164,GSN
165,ASTN2
166,HMCN2
167,PLCH2
168,JPH2
169,
170,LYPD6B
171,SPATA4
172,ZNF827
173,ZNF385D
174,LMNTD1
175,ADGRF1
176,ADGRF4
177,LURAP1L
178,ANKRD29
179,XPC
180,PROM2
181,PTPRN2
182,PI4K2A
183,SAMSN1
184,ZKSCAN2
185,CLIC2
186,KIF5A
187,NMNAT2
188,SLC38A10
189,TNFRSF14
190,PAFAH2
191,GRHL3
192,XDH
193,BTG2
194,CCDC107
195,CHRNB2
196,LRRC71
197,PLCD3
198,LAPTM5
199,WDR63
200,HFM1
201,VANGL2
202,C1orf74
203,SPATA18
204,ANTXR2
205,PRICKLE2
206,LIPH
207,ARHGEF3
208,TMEM144
209,FAM198B
210,SLC35A1
211,CSMD3
212,C8orf34
213,METTL27
214,C9orf84
215,CRYL1
216,TMEM63C
217,NDRG2
218,SALL2
219,ARHGAP42
220,GPR176
221,SCN3B
222,PLEKHF1
223,RAG1
224,WDR72
225,PLD4
226,TRIM66
227,CDH16
228,SLFN5
229,NYAP1
230,GOLGA2
231,FAM129C
232,PLIN4
233,KCTD6
234,LRRC28
235,INPP5D
236,ZBTB43
237,TAS1R3
238,FRMPD2
239,ACYP2
240,POLH
241,CEL
242,ZNF561
243,PIK3CD
244,ENC1
245,MLLT3
246,ZNF554
247,FGGY
248,ZMAT3
249,TMEM217
250,CES4A
251,CES2
252,ADCK5
253,TNFRSF10D
254,MST1
255,TNFRSF10C
256,AP000769.1
257,PLK3
258,CTSF
259,PMS2P6
260,SEZ6L2
261,CHST2
262,SUGCT
263,TOM1L2
264,AL445665.1
265,PHLDB3
266,ACER2
267,EPS8L2
268,PIDD1
269,DNAJC28
270,ALS2CL
271,SLC25A20
272,MAF
273,CATSPERE
274,ARL 14.00
275,PLD5
276,CUEDC1
277,SLC25A42
278,F2R
279,MUC16
280,RAP2B
281,AL591379.1
282,TP53TG1
283,CLN8
284,PAPPA
285,SMDT1
286,PTTG1IP
287,RIPK4
288,ANKRD45
289,ZNF730
290,SCN5A
291,MAP7D2
292,PROS1
293,RPS27L
294,ANO9
295,MAPK11
296,METTL7A
297,SH3BGR
298,ROR1
299,AHNAK2
300,ADARB2
301,CYP4F2
302,CCDC84
303,LCE1E
304,MST1P2
305,CCDC30
306,TRDN
307,CYP4F3
308,THSD4
309,DNAH17
310,PEAR1
311,LINC00319
312,TEKT4P2
313,NOXA1
314,SPRED3
315,SP6
316,ZKSCAN3
317,KIAA0895L
318,S100A4
319,GREB1
