,upgenes
0,REX1BD
1,FYN
2,SERPINB1
3,ABCC2
4,SLAMF7
5,ANK1
6,TBC1D23
7,CDH1
8,CDH10
9,HDAC9
10,RRM2B
11,NEXMIF
12,TM7SF3
13,MYLK
14,CTNNA2
15,ATXN3
16,HES2
17,SPTB
18,GRAMD4
19,SLC46A1
20,MAP2
21,FAP
22,TIGAR
23,FKBP7
24,PTPRH
25,BCKDHB
26,FAM234B
27,EPDR1
28,GNAO1
29,SULT2B1
30,KIZ
31,FXYD3
32,PCBP4
33,YPEL3
34,BLNK
35,TREM2
36,ZNF184
37,HSD17B7P2
38,PRODH
39,ARSA
40,VTI1B
41,PAPLN
42,PLCB4
43,CST3
44,LAMA1
45,MOSPD1
46,DMXL2
47,CALB1
48,MYH14
49,MEIS3
50,PRUNE2
51,RLN1
52,TRPV4
53,TRIM38
54,PRSS16
55,CPEB4
56,HEMK1
57,VIPR1
58,STEAP3
59,FN1
60,IGFBP2
61,IL1R1
62,ST6GALNAC5
63,FAAH
64,SLC5A9
65,CCND2
66,PGF
67,FLVCR2
68,DNMT3A
69,MXI1
70,PLEKHG1
71,RAB9A
72,INHA
73,SLC12A4
74,SDC4
75,KCNK15
76,NEURL2
77,CDKN1A
78,GRK4
79,TNFSF9
80,CD70
81,LRRN4
82,CCR7
83,ATP13A4
84,WDR24
85,PMS2P3
86,KDR
87,LIF
88,FGF13
89,CDKN1C
90,SAT1
91,LSM 7.00
92,PXDN
93,SH3BGRL
94,TRIM5
95,RAP1GAP2
96,VSTM2L
97,SERINC3
98,RNF128
99,SORT1
100,RSAD2
101,DDB2
102,DSG3
103,DTNA
104,OASL
105,TSPAN31
106,CPM
107,MDM2
108,THSD1
109,LMO7
110,MTHFS
111,ADAMTS7
112,USP20
113,GABBR2
114,SYTL2
115,STRA6
116,GIPC2
117,IFI44
118,SLC44A5
119,ADAMTS14
120,MYPN
121,SENP7
122,B4GALNT3
123,AEBP2
124,PPFIA2
125,SDSL
126,HAPLN3
127,KSR1
128,PRPSAP2
129,TMC6
130,RAB40B
131,MAPK4
132,MGST3
133,NECTIN4
134,KCNH1
135,ABCA12
136,PLK2
137,ZNF300
138,CSGALNACT1
139,RGS20
140,ASTN2
141,NOTCH1
142,BTBD10
143,SESN3
144,FADS1
145,PLCH2
146,SIDT2
147,CD226
148,DCP1B
149,SLC2A13
150,CCL28
151,PSTPIP2
152,MR1
153,GTF2E1
154,ABCA5
155,LY96
156,CEP170P1
157,CHODL
158,PPP2R2B
159,RPUSD3
160,CACNA2D3
161,SPPL3
162,DRC1
163,RHPN1
164,DYNC1I1
165,NIT1
166,CYB5R1
167,BTG2
168,AZGP1
169,SLC45A1
170,WDR63
171,IER5
172,CAPN13
173,SPATA18
174,HDAC11
175,ABHD6
176,DNASE1L3
177,IL17RC
178,LIPH
179,S100P
180,INTU
181,FAM198B
182,ITGA2
183,ANKRD33B
184,GJB7
185,C7orf57
186,CSMD3
187,METTL27
188,CRYL1
189,PKNOX2
190,TAF3
191,CCDC186
192,SCN3B
193,PLEKHF1
194,SLFN5
195,MTMR10
196,SAMD14
197,MYO5B
198,ZNF226
199,TMC4
200,PSCA
201,LY6D
202,CYB5D2
203,TMEM68
204,TRANK1
205,INPP5D
206,SPRY3
207,CSNK1G1
208,MN1
209,PTAFR
210,TRIM56
211,TM4SF1
212,USP50
213,FAM161A
214,FRMPD2
215,POLH
216,GPR37
217,ZNF440
218,KRT15
219,ZNF561
220,DRC3
221,SERF1A
222,CERS6
223,SPTLC3
224,FUT10
225,TMEM217
226,CES2
227,NADSYN1
228,NBEA
229,DAB1
230,CSPG4
231,NABP1
232,NMNAT1
233,ZNF791
234,TLR1
235,PHLDA3
236,PMS2P6
237,ALG10B
238,SUGCT
239,AL445665.1
240,ZBTB8OS
241,HSD11B2
242,SLCO3A1
243,TCERG1L
244,AL358781.1
245,MTHFR
246,ACER2
247,EPS8L2
248,PIDD1
249,CENPBD1
250,ALS2CL
251,ZNF552
252,SMIM10L2A
253,TRIML2
254,ZFPM1
255,ZBTB42
256,RRH
257,MEIOC
258,MUC16
259,TMEM45A
260,CLDN7
261,AL591379.1
262,ATP6AP2
263,FBXL6
264,YBEY
265,TSHZ2
266,GPR1
267,MACC1
268,KCTD16
269,AMYH02020865.1
270,ZFP90
271,RPS27L
272,ANO9
273,SP140L
274,SHC4
275,ADARB2
276,NRG3
277,LCE1E
278,CYP4F3
279,ESPN
280,NCCRP1
281,FSIP2
282,LRRK2
283,HACD4
284,CLDN4
285,DPY19L2P1
286,BLOC1S2
287,PLEKHG4
288,LCOR
289,DAPK1
290,GM2A
291,NOL4L
292,CYSRT1
293,PELI1
294,MYO5A
295,SERPINB13
296,GOLGA6L9
297,LEKR1
298,TMEM229B
299,FAM19A2
300,SMOC1
301,SHISA4
302,RNA5SP141
303,AL022323.1
304,RF00017
305,AC009163.1
306,CAPN8
307,FANK1
308,C6orf10
309,PJVK
310,SERF1B
311,MUC19
312,AP001043.1
313,ITSN1
314,RNU1-28P
315,MIR27A
316,MIR23A
317,SCART1
318,ZSWIM7
319,ZNF962P
320,AL139100.1
321,UMAD1
322,ZNF880
323,MYBPHL
324,AC079305.1
325,C10orf55
326,AL109659.1
327,AC015987.1
328,AL591684.1
329,LINC02262
330,LINC01703
331,AC021028.1
332,AC092167.1
333,LMCD1-AS1
334,AC017074.1
335,AL121983.2
336,AL592301.1
337,ALG1L8P
338,AC072062.1
339,
340,TSTD3
341,MIR34AHG
342,MYOSLID
343,STEAP3-AS1
344,MIR181A1HG
345,AL357556.1
346,AL162231.2
347,AL139383.1
348,AL445426.1
349,ZSWIM5P2
350,TMA7
351,EEF1B2P3
352,CYP1B1-AS1
353,AC018742.1
354,LINC01722
355,HOTAIRM1
356,AC093732.1
357,ZNF37BP
358,KAZN-AS1
359,LINC01934
360,TSPY26P
361,AC006159.1
362,LINC01376
363,AL391704.2
364,AC092573.2
365,LINC01134
366,HNRNPA3P5
367,SHISA9
368,FLG-AS1
369,KCNMB2-AS1
370,RPS10P16
371,AL450384.2
372,AC114401.1
373,OR7E66P
374,DUBR
375,AC004917.1
376,AC093591.1
377,IFITM10
378,PTCHD4
379,EEF1A1P4
380,FAM198B-AS1
381,FMN1
382,AC131254.1
383,SEMA6A-AS2
384,AC025183.2
385,AC139720.1
386,AC136777.1
387,NREP-AS1
388,LINC01336
389,AC005355.1
390,AC104126.1
391,AC097478.1
392,AC008676.2
393,FAM160A1-DT
394,RF00554
395,LINC02099
396,AC100810.1
397,AP000942.2
398,AC131934.1
399,AC087276.3
400,MTRNR2L8
401,AP000943.3
402,AP000763.2
403,C17orf100
404,AC025423.4
405,AC068305.2
406,LINC02354
407,AC078929.1
408,LINC02298
409,AL121790.1
410,PPIAP6
411,LINC02296
412,AC013356.2
413,AC087286.2
414,AL355596.1
415,AC010333.2
416,AC007728.1
417,AC008669.1
418,AC009063.2
419,AL158206.1
420,AL133297.2
421,LINC02256
422,AC142086.5
423,AL845331.3
424,AC092134.1
425,AC007342.4
426,AC007342.5
427,AC123768.3
428,AC005722.3
429,SEC22B
430,AC090912.1
431,GTF2IP6
432,AC007785.1
433,AC008040.5
434,FO681491.1
435,IGFL2-AS1
436,AL591806.3
437,
438,NF1P1
439,AC016355.1
440,NBPF19
441,AC019131.2
442,AC107983.2
443,CDC37L1-AS1
444,AC008957.2
445,AL023803.2
446,
447,AL161431.1
448,AL355001.2
449,AC002401.4
450,AC007325.2
451,AL109976.1
452,PKD1L3
453,AL627230.7
454,SNX18P12
455,AC007342.8
456,AC129778.1
457,AC007342.9
458,LINC01242
459,AC016588.2
