,min_18_GSE122927_P_p21_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,Sharma_21_EGF_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
accoa,0.002541387588820965,0.0,0.0,0.002227336636465242,0.0,0.0,0.0,0.0,0.0,0.0018200480300351858,0.0,0.0,0.0,0.0,0.0,0.0,0.0003660518185636667,0.0,0.0,5.621137130916616e-06,0.00133661342713796,0.0,0.0,0.0,0.0,5.5609415070641177e-05,0.0,0.0,2.0362633523015856e-05,0.0
ala-L,0.0,0.0025640907884873047,0.00041021260541045627,0.008834895425241584,0.00016613145623766047,0.0,0.0,0.021912343369899424,0.001110530527869706,0.0,1.2745084440819592e-05,0.01220682986339561,0.0,1.990984043636675e-05,0.0,0.001463827159651783,0.0,0.0,0.0,0.0003229196595790476,0.021823373460669128,0.0,0.0,0.00025699102997414733,0.0,0.0,0.00023618923335580057,0.0,0.0,0.008961670915144503
amet,0.0,0.0,0.0008126015828023597,0.0,0.0,0.0,0.0,0.0,0.0001269897253820003,0.0,0.0,0.00907954218954599,0.0,0.0009074428615407385,0.0014891993284970593,0.0014653802307453272,0.0,0.0046100886974979015,0.0,0.0,0.0,0.0026897726927272367,0.0,6.397232275182272e-05,0.0,0.0,9.819825074610928e-06,0.00012064259946464588,0.0,0.009408769501999956
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg-L,0.0,0.0,0.0,0.00623966867116077,0.0,0.0002643000883867557,0.0009422770276160978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008009558550999742,0.0,0.0,0.0,0.0,1.858559580800051e-05,0.0,0.0,0.0,5.245818422120817e-05,0.0
asn-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019365401097359822,0.0,0.00015935009068393895,0.0,0.0,0.0
asp-L,0.0006757847632621094,0.0,0.0,0.0,0.0002554515364027978,0.0,0.0,0.0036535355917886947,0.0,0.022684423015869894,5.815137447464308e-06,0.0,0.0,0.0,0.0,0.0,0.040563925135943306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004487151436192512,0.0,0.0,0.0,0.0,0.000441883772231181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000996812523934932,0.0,0.0,0.0,0.0
chsterol,0.0,0.0012620364986509823,1.147909815311696e-06,0.0007065043317107812,0.0,0.0,0.0008709784346319252,0.0019087564890739892,1.721884226684481e-06,5.796788807545529e-05,0.0,0.001333603705323591,0.00011074834623747915,2.2117646691455052e-06,0.0007127185099436714,0.0004299498119168671,0.00031732081816917277,0.000982380916288866,0.0,5.156653516443319e-06,0.000797773316832417,0.001387156509323827,0.0007264449187773588,0.00021196740625645027,0.0003546448642902695,0.00020821014474744178,1.5711392538208617e-07,0.0,5.908826849580136e-07,0.000649202099958313
clpn_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.946272898544652e-05,0.0
