,min_18_GSE122927_P_p21_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,Sharma_21_EGF_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
met-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7364867726119065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asn-L,0.00016155312828429244,0.0,0.0,0.0,1.567252203103858e-05,0.0,0.00011624539121647085,0.001740632743206397,0.0,0.0,5.6569092839054674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001146757355617906,0.0,0.0,0.00019365401097359847,0.0,0.00015678752681217494,0.0,0.0,0.0
gthrd,0.0,0.0024123566831857047,0.00020138827189956286,0.005098882277255394,0.0,0.0,0.002446032248516257,0.00375336481962552,0.0,0.0036355616959340563,0.0,0.0,0.0,4.5255772676364675e-06,0.00038608088347812086,0.0,0.0023617147350040134,0.0,0.0,0.00016316088614553933,0.0021453119137051883,0.0003101857874316837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000756050628350206,0.0,0.0,0.0,0.0,0.00039099959242996213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016638648638787645,0.0,0.0,0.0,0.0
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phe-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpchol_hs,0.0006461516369672834,0.0,0.0,0.0,0.0,1.4071296923270711e-05,0.0,0.000589345266832048,0.0002547904670548985,0.0,1.879686758967228e-05,0.0006258513047103767,0.00011585978734120542,4.461295633418797e-05,0.0,1.707588689192206e-05,0.00033135818822165904,0.0,0.0,0.0,0.0,0.0006150712608449464,0.0,0.0,0.0,0.0010344756980949763,2.260150347276599e-05,1.0352746791030762e-05,0.00014691609765829456,0.0007613131750335412
pchol_hs,0.002694203159841602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437448984531051e-06,0.0,0.0,0.0,0.0006527327420952864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8425752209972764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2089065086892604e-06,0.0,0.0,5.206899866456163e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gh,0.0,0.0,2.9227889300702636e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0226160873968199e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.450839140308629e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.0,0.0,0.0,0.0002470829341837326,0.0,0.0,0.00015165481593923985,0.0,0.0,0.0051901093951361955,0.0,0.0,0.0008523925722202434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002955013332575006,0.009316356131455344,0.0,0.0003607117425910872,0.0,0.0
glygn1,0.0,0.0,7.925248529992724e-05,0.0,0.0,3.840540599002434e-06,9.847142652738578e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.2584236587119855e-06,5.7068400074683805e-06,0.0,0.0,1.9383807024862877e-08,0.0,2.3046590807527236e-05,0.0,6.524562533301572e-05,0.0,0.0,0.0,0.0,7.178618451562666e-07,0.0,8.648406887255159e-05,0.0
ps_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002986539403911028,0.0,0.0,0.0,0.0,3.394383995057299e-07,3.688093112073257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023206979998977473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.0,0.0,4.271626766330402e-05,0.0,0.0,0.0,0.0020133383514910016,0.020224674594154196,0.0,0.0,8.431205483321084e-05,0.0032239552104563196,0.0,0.0006541375825099943,0.0,0.00014919082946188538,0.0,0.0003024096192807917,0.0,0.0,0.0,0.00626902867695569,0.0,0.0,0.0002426627171803241,0.0,3.912203134200981e-05,0.0,0.0,0.014357047707637316
tyr-L,0.002005789654498054,0.0037301320047209755,0.0,0.011158812815763534,0.000210335657958984,0.0,0.00040185516637359254,0.0085980123538282,0.0018553329665899386,0.025784574376112944,0.0,0.008561691758684034,0.00012896848501584902,0.0,0.0002988880728501852,0.00039382959691831426,0.004740129420858216,0.0013521838660123127,0.0,0.0009830155061385081,0.009860295024082238,0.0,0.0,0.0007482741701769925,0.0013445904364272475,0.0,0.00019767690446665417,0.0,0.00012222204964996143,0.0
ump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005574551124703371,0.0,0.0,0.0,0.0,0.0,0.0,3.829279600534442e-05,0.0,0.0,0.0
thr-L,0.0,0.0,0.0,0.0,8.507702841084823e-06,0.0,0.0,0.0,0.0,0.007122404254657846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000706345668548697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gly,0.003788971209729663,0.0012610324933701486,0.0,0.0,0.0,0.0,0.0036778254995129696,0.0035917801672823843,0.0034390718987839172,0.0,6.4709724121026e-06,0.009344105997076557,0.0,0.0,0.007683040235869077,0.0012159556250674456,0.0,0.006239976901447437,0.0,0.0,0.0,0.008087367974967268,0.008224296592384479,0.001074390573205065,0.0016747957518140086,0.0,0.0,0.0,0.0,0.003092774239239847
h2o,0.0007750150600270519,0.018177208631003312,0.0,0.020481323461401055,0.0,0.0,0.0007106209194203698,0.0,0.0,0.008082561360809199,0.0,0.0,0.0028200419301537367,0.0,0.0,0.0,0.01917751985014097,0.0,0.0,0.0013050900844822316,0.005779405191357055,0.004663001784460672,0.0,0.0,0.0,0.0,0.0,0.0,0.00011861360420568715,0.0
nmn,0.0,0.0024819224836393223,0.0007180397209196046,0.0,2.4987019761176392e-05,0.0,0.002276653067542102,0.0,0.0019329046909019989,0.0,0.0,0.017484301913138562,0.0011992178778496242,0.0009206183412616121,0.0008087683320841632,0.0025052174796779065,0.0,0.014391319127677743,0.0,0.00040407123830339307,0.0,0.0,0.0,0.0008649083106377527,2.9109984439172347e-05,0.00491858802766962,0.0009688163541224513,0.0,0.0,0.013047963491736321
mag_hs,0.0002961565240359264,0.0,0.0,0.0,0.0,1.8073373747270845e-05,0.0,0.0,0.0,0.0,4.695377853367219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001487696718433798,0.0,0.0,3.423609286150422e-05,0.0005211776355602122,0.005834027760943125,0.0,0.000576983395825602,6.540536849816715e-05,0.0,0.00035234401469906454,0.0,0.0,0.0,0.001973904647134811,0.002394394704683873,0.0,0.0,0.008224719421192602,0.0,0.0,0.0,0.0
