,2C_to_32cell_embryo4_5_k0.1_r0.01,1C_to_2cell_embryo11_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split2_k0.1_r0.01,1C_to_2cell_embryo12_2_split2_k0.1_r0.01,1C_to_2cell_embryo5_1_split2_k0.1_r0.01,1C_to_2cell_embryo3_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split2_k0.1_r0.01,2C_to_32cell_embryo1_4_split1_k0.1_r0.01,2C_to_32cell_embryo2_5_split1_k0.1_r0.01,1C_to_2cell_embryo4_1_split1_k0.1_r0.01,2C_to_32cell_embryo3_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_12_k0.1_r0.01,1C_to_2cell_embryo10_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_18_k0.1_r0.01,1C_to_2cell_embryo4_2_split2_k0.1_r0.01,1C_to_2cell_embryo11_2_split2_k0.1_r0.01,1C_to_2cell_embryo12_1_split1_k0.1_r0.01,2C_to_32cell_embryo5_5_k0.1_r0.01,2C_to_32cell_embryo1_3_split1_k0.1_r0.01,2C_to_32cell_embryo1_6_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_6_k0.1_r0.01,2C_to_32cell_embryo4_3_k0.1_r0.01,2C_to_32cell_embryo1_5_split2_k0.1_r0.01,1C_to_2cell_embryo9_1_split2_k0.1_r0.01,2C_to_32cell_embryo1_5_split1_k0.1_r0.01,2C_to_32cell_embryo1_3_split2_k0.1_r0.01,1C_to_2cell_embryo6_1_split2_k0.1_r0.01,2C_to_32cell_embryo4_1_k0.1_r0.01,1C_to_2cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryo2_9_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split2_k0.1_r0.01,2C_to_32cell_embryo2_5_split2_k0.1_r0.01,2C_to_32cell_embryo1_8_split1_k0.1_r0.01,1C_to_2cell_embryo8_1_split1_k0.1_r0.01,1C_to_2cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo6_4_k0.1_r0.01,2C_to_32cell_embryoMixed_15_k0.1_r0.01,1C_to_2cell_embryo6_1_split1_k0.1_r0.01,1C_to_2cell_embryo7_1_split2_k0.1_r0.01,2C_to_32cell_embryo1_7_split2_k0.1_r0.01,1C_to_2cell_embryo2_1_split2_k0.1_r0.01,1C_to_2cell_embryo11_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_13_k0.1_r0.01,2C_to_32cell_embryo1_8_split2_k0.1_r0.01,1C_to_2cell_embryo11_1_split2_k0.1_r0.01,1C_to_2cell_embryo9_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_24_k0.1_r0.01,2C_to_32cell_embryo2_10_split2_k0.1_r0.01,1C_to_2cell_embryo6_2_split2_k0.1_r0.01,2C_to_32cell_embryo2_1_split2_k0.1_r0.01,1C_to_2cell_embryo5_2_split1_k0.1_r0.01,2C_to_32cell_embryo6_1_k0.1_r0.01,1C_to_2cell_embryo1_1_split1_k0.1_r0.01,1C_to_2cell_embryo7_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_22_k0.1_r0.01,1C_to_2cell_embryo3_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split1_k0.1_r0.01,1C_to_2cell_embryo10_1_split2_k0.1_r0.01,2C_to_32cell_embryo4_2_k0.1_r0.01,2C_to_32cell_embryo1_7_split1_k0.1_r0.01,2C_to_32cell_embryo6_8_k0.1_r0.01,1C_to_2cell_embryo8_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_9_k0.1_r0.01,2C_to_32cell_embryo6_3_k0.1_r0.01,1C_to_2cell_embryo4_1_split2_k0.1_r0.01,1C_to_2cell_embryo10_2_split2_k0.1_r0.01,2C_to_32cell_embryo6_6_k0.1_r0.01,1C_to_2cell_embryo9_1_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryo1_4_split2_k0.1_r0.01,2C_to_32cell_embryo2_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_9_split2_k0.1_r0.01,2C_to_32cell_embryo2_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_10_k0.1_r0.01,2C_to_32cell_embryo2_8_split1_k0.1_r0.01,1C_to_2cell_embryo3_1_split2_k0.1_r0.01,2C_to_32cell_embryo5_3_k0.1_r0.01,2C_to_32cell_embryo1_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split1_k0.1_r0.01,1C_to_2cell_embryo8_2_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_2_k0.1_r0.01,2C_to_32cell_embryoMixed_7_k0.1_r0.01,1C_to_2cell_embryo7_1_split1_k0.1_r0.01,1C_to_2cell_embryo2_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_10_split1_k0.1_r0.01,2C_to_32cell_embryo6_7_k0.1_r0.01,1C_to_2cell_embryo8_2_split1_k0.1_r0.01,2C_to_32cell_embryo6_5_k0.1_r0.01,2C_to_32cell_embryo4_4_k0.1_r0.01,1C_to_2cell_embryo6_2_split1_k0.1_r0.01,1C_to_2cell_embryo4_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_8_k0.1_r0.01,2C_to_32cell_embryoMixed_16_k0.1_r0.01,2C_to_32cell_embryo5_4_k0.1_r0.01,1C_to_2cell_embryo2_2_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_20_k0.1_r0.01,2C_to_32cell_embryoMixed_21_k0.1_r0.01,2C_to_32cell_embryo3_4_split2_k0.1_r0.01,1C_to_2cell_embryo10_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_5_k0.1_r0.01,2C_to_32cell_embryo1_6_split1_k0.1_r0.01,2C_to_32cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_11_k0.1_r0.01,1C_to_2cell_embryo1_2_split2_k0.1_r0.01,1C_to_2cell_embryo2_1_split1_k0.1_r0.01,1C_to_2cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_4_k0.1_r0.01,1C_to_2cell_embryo12_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_1_k0.1_r0.01,2C_to_32cell_embryo6_2_k0.1_r0.01,1C_to_2cell_embryo5_2_split2_k0.1_r0.01,1C_to_2cell_embryo9_2_split2_k0.1_r0.01,1C_to_2cell_embryo5_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_23_k0.1_r0.01,2C_to_32cell_embryoMixed_3_k0.1_r0.01,1C_to_2cell_embryo7_2_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_14_k0.1_r0.01,1C_to_2cell_embryo12_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_19_k0.1_r0.01,2C_to_32cell_embryoMixed_17_k0.1_r0.01
lpchol_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7808325766982e-05,0.0,0.00021131493225912094,1.8352893623961297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003838596635675106,0.00015351421438015338,0.0,0.0,0.0,0.0,0.0,0.0006512546490164652,0.0,0.0,0.0,0.0,0.0,0.0,0.00032852604636382716,0.0,0.0,0.0,0.0,2.2999718610344463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011760207569484645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006638433905839881,0.0,0.0006491665911856944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013482133209457596,0.0,0.0,0.0009295232080606834,0.00044399799148421424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007938967515436315,0.0,0.0,0.0,0.0,0.0,0.0,0.0006566024291230944,0.0,0.0,0.0001323248709455262,0.0,0.0,0.0,0.0004225383060543392,0.0009260853371946486,0.0,0.0,0.0,0.0,0.0
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9654251420534845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1488300764377636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001189076227479678,2.6486361729388908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010273850112207411,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0004773852305591074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003998159085741429,0.00011662359778452178,0.0,0.0,0.0,0.0008288746773272815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006189055022788279,0.0,0.0,0.0,0.0
leu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008039902084833012,0.0,0.0,0.0,0.0,0.0,0.00023362978703176523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0008689432048418743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.476752019568252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012384729607154824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028179078515501525,0.0,0.0,0.00033003627574274414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011547670645375829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016382243622153412,0.0011637730370399897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013404227071150702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022044635677972903,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019336609386930324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833695838857196,0.0,0.0,0.0,0.0,0.0,0.003970809493134247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008988031219999145,0.0,0.0010358128619790065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008813038440249069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001788596180168312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0007404185745222152,0.0,0.0,0.0,0.0,0.0,0.0,0.0007001080275904346,9.459988083106841e-05,0.0,0.0,0.0,0.0,0.0007215417614147704,0.0,0.0,0.0,0.0008147277174054469,0.0,0.0007807043577292762,0.0,0.0,0.0006444231526710151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5194128626862e-06,0.0,0.0008244166201476538,0.0,0.0,0.0,0.0,0.0,0.0,0.0008986792669824214,0.0,0.0,0.0003870101093688451,0.0,0.0,0.0,0.0,0.0008042515967610303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008343504338564253,0.0,0.0,0.0,0.0,0.0003270476548975006,0.0,0.0,0.0,0.0,0.0,0.0009313837546556509,0.0,0.0008026509495813988,0.0,0.000759045360719642,0.0,0.000739882587004889,0.0,0.0,0.0,0.0006787170241063247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.317010209630572e-05,0.0,0.0,0.0,0.0,0.0007681020528376669,0.0,0.0,0.0004200015286030837,0.0002110296839608097,0.0,0.0,0.0,0.0,0.0,0.0,0.00026041238142473746,0.0,0.0,0.0007296418199323098,0.0009719245705852794,0.0,0.0,0.0,3.206525063095168e-05,0.0,0.0,0.0,0.0007199614710688459,0.0
