,2C_to_32cell_embryo4_5_k0.1_r0.01,1C_to_2cell_embryo11_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split2_k0.1_r0.01,1C_to_2cell_embryo12_2_split2_k0.1_r0.01,1C_to_2cell_embryo5_1_split2_k0.1_r0.01,1C_to_2cell_embryo3_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split2_k0.1_r0.01,2C_to_32cell_embryo1_4_split1_k0.1_r0.01,2C_to_32cell_embryo2_5_split1_k0.1_r0.01,1C_to_2cell_embryo4_1_split1_k0.1_r0.01,2C_to_32cell_embryo3_4_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_12_k0.1_r0.01,1C_to_2cell_embryo10_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_18_k0.1_r0.01,1C_to_2cell_embryo4_2_split2_k0.1_r0.01,1C_to_2cell_embryo11_2_split2_k0.1_r0.01,1C_to_2cell_embryo12_1_split1_k0.1_r0.01,2C_to_32cell_embryo5_5_k0.1_r0.01,2C_to_32cell_embryo1_3_split1_k0.1_r0.01,2C_to_32cell_embryo1_6_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_6_k0.1_r0.01,2C_to_32cell_embryo4_3_k0.1_r0.01,2C_to_32cell_embryo1_5_split2_k0.1_r0.01,1C_to_2cell_embryo9_1_split2_k0.1_r0.01,2C_to_32cell_embryo1_5_split1_k0.1_r0.01,2C_to_32cell_embryo1_3_split2_k0.1_r0.01,1C_to_2cell_embryo6_1_split2_k0.1_r0.01,2C_to_32cell_embryo4_1_k0.1_r0.01,1C_to_2cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryo2_9_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split2_k0.1_r0.01,2C_to_32cell_embryo2_5_split2_k0.1_r0.01,2C_to_32cell_embryo1_8_split1_k0.1_r0.01,1C_to_2cell_embryo8_1_split1_k0.1_r0.01,1C_to_2cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo6_4_k0.1_r0.01,2C_to_32cell_embryoMixed_15_k0.1_r0.01,1C_to_2cell_embryo6_1_split1_k0.1_r0.01,1C_to_2cell_embryo7_1_split2_k0.1_r0.01,2C_to_32cell_embryo1_7_split2_k0.1_r0.01,1C_to_2cell_embryo2_1_split2_k0.1_r0.01,1C_to_2cell_embryo11_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_13_k0.1_r0.01,2C_to_32cell_embryo1_8_split2_k0.1_r0.01,1C_to_2cell_embryo11_1_split2_k0.1_r0.01,1C_to_2cell_embryo9_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_24_k0.1_r0.01,2C_to_32cell_embryo2_10_split2_k0.1_r0.01,1C_to_2cell_embryo6_2_split2_k0.1_r0.01,2C_to_32cell_embryo2_1_split2_k0.1_r0.01,1C_to_2cell_embryo5_2_split1_k0.1_r0.01,2C_to_32cell_embryo6_1_k0.1_r0.01,1C_to_2cell_embryo1_1_split1_k0.1_r0.01,1C_to_2cell_embryo7_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_22_k0.1_r0.01,1C_to_2cell_embryo3_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_7_split1_k0.1_r0.01,1C_to_2cell_embryo10_1_split2_k0.1_r0.01,2C_to_32cell_embryo4_2_k0.1_r0.01,2C_to_32cell_embryo1_7_split1_k0.1_r0.01,2C_to_32cell_embryo6_8_k0.1_r0.01,1C_to_2cell_embryo8_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_9_k0.1_r0.01,2C_to_32cell_embryo6_3_k0.1_r0.01,1C_to_2cell_embryo4_1_split2_k0.1_r0.01,1C_to_2cell_embryo10_2_split2_k0.1_r0.01,2C_to_32cell_embryo6_6_k0.1_r0.01,1C_to_2cell_embryo9_1_split1_k0.1_r0.01,2C_to_32cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryo1_4_split2_k0.1_r0.01,2C_to_32cell_embryo2_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_9_split2_k0.1_r0.01,2C_to_32cell_embryo2_8_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_10_k0.1_r0.01,2C_to_32cell_embryo2_8_split1_k0.1_r0.01,1C_to_2cell_embryo3_1_split2_k0.1_r0.01,2C_to_32cell_embryo5_3_k0.1_r0.01,2C_to_32cell_embryo1_1_split1_k0.1_r0.01,2C_to_32cell_embryo2_4_split1_k0.1_r0.01,1C_to_2cell_embryo8_2_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_2_k0.1_r0.01,2C_to_32cell_embryoMixed_7_k0.1_r0.01,1C_to_2cell_embryo7_1_split1_k0.1_r0.01,1C_to_2cell_embryo2_2_split1_k0.1_r0.01,2C_to_32cell_embryo2_10_split1_k0.1_r0.01,2C_to_32cell_embryo6_7_k0.1_r0.01,1C_to_2cell_embryo8_2_split1_k0.1_r0.01,2C_to_32cell_embryo6_5_k0.1_r0.01,2C_to_32cell_embryo4_4_k0.1_r0.01,1C_to_2cell_embryo6_2_split1_k0.1_r0.01,1C_to_2cell_embryo4_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_8_k0.1_r0.01,2C_to_32cell_embryoMixed_16_k0.1_r0.01,2C_to_32cell_embryo5_4_k0.1_r0.01,1C_to_2cell_embryo2_2_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_20_k0.1_r0.01,2C_to_32cell_embryoMixed_21_k0.1_r0.01,2C_to_32cell_embryo3_4_split2_k0.1_r0.01,1C_to_2cell_embryo10_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_5_k0.1_r0.01,2C_to_32cell_embryo1_6_split1_k0.1_r0.01,2C_to_32cell_embryo3_2_split2_k0.1_r0.01,2C_to_32cell_embryo1_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_11_k0.1_r0.01,1C_to_2cell_embryo1_2_split2_k0.1_r0.01,1C_to_2cell_embryo2_1_split1_k0.1_r0.01,1C_to_2cell_embryo1_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_4_k0.1_r0.01,1C_to_2cell_embryo12_2_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_1_k0.1_r0.01,2C_to_32cell_embryo6_2_k0.1_r0.01,1C_to_2cell_embryo5_2_split2_k0.1_r0.01,1C_to_2cell_embryo9_2_split2_k0.1_r0.01,1C_to_2cell_embryo5_1_split1_k0.1_r0.01,2C_to_32cell_embryoMixed_23_k0.1_r0.01,2C_to_32cell_embryoMixed_3_k0.1_r0.01,1C_to_2cell_embryo7_2_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_14_k0.1_r0.01,1C_to_2cell_embryo12_1_split2_k0.1_r0.01,2C_to_32cell_embryoMixed_19_k0.1_r0.01,2C_to_32cell_embryoMixed_17_k0.1_r0.01
lpchol_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1022867770679925e-06,0.0,0.00010874800552628354,5.202964850894666e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002552059014278278,1.6601067992696525e-05,0.0,0.0,0.0,0.0,0.0,0.0005722353431946391,0.0,0.0,0.0,0.0,0.0,0.0,0.00017908051527641694,0.0,0.0,0.0,0.0,8.590963103058634e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001070284430182033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008282518673785801,0.0,0.0003136827621115295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010158497861881882,0.0,0.0,0.0007756901609940765,0.0004781369991063891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008727190634737121,0.0,0.0,0.0,0.0,0.0,0.0,0.00048682287794405674,0.0,0.0,6.168244942552526e-05,0.0,0.0,0.0,0.0003281128051715577,0.000741012491278756,0.0,0.0,0.0,0.0,0.0
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.613894035571738e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.609310517366185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010965847136018736,2.5007503832883793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0002859739165999754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000355484300132468,0.00010205183449175553,0.0,0.0,0.0,0.0009266376883284983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023872403307505238,0.0,0.0,0.0,0.0
leu-L,0.0,0.0,0.0024499408467974835,0.0,0.0,0.0,0.0023781268212673466,0.0,0.0,0.0,0.0,0.001109525138739004,0.0,0.0,0.005436199054435725,0.0,0.0,0.0,0.0038177479675634467,0.0,0.0,0.0,0.0,0.0,0.00114759018311592,0.005644257299248122,0.0,0.0026252626006520513,0.0,0.0017283713704951472,0.0,0.004779568553202766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.733291987858994e-05,0.0,0.0,0.0,0.0,0.0025209664111326335,0.0,0.0,0.0,0.0,0.0005764928797129828,0.0,0.0012668089592692414,0.0,0.0,0.0,0.000964481601922237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760255898398491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011313910454733922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009380766183436502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003277806504619291,0.0,0.00165689522941031
nadh,0.000764293960400592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3501611100850021e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017579712926988236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010638151071188102,0.0,0.0,0.0007107747286313616,0.0,0.0,0.0,0.0,0.0,0.0,0.0006989239926304108,0.0,0.0,0.0,0.0,0.0015273717915147682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017444910385708847,0.001294845951552211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012437359556279003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023192479618612083,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508222104992833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011845680758194898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021100430185755333,0.0,0.0,0.0,0.0,0.0,0.0037600040470563206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006899318463038637,0.0,0.0004797243746440919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035538571110251287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0006846194202490593,0.0,0.0,0.0,0.0,0.0,0.0,0.0006641521580686024,9.054238786359541e-05,0.0,0.0,0.0,0.0,0.0006785434622103208,0.0,0.0,0.0,0.0007434064852447704,0.0,0.0007239137501112241,0.0,0.0,0.0005856988959967619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3033520328971166e-05,0.0,0.0007810862760243853,0.0,0.0,0.0,0.0,0.0,0.0,0.0008017940298019101,0.0,0.0,0.0003692301855672092,0.0,0.0,0.0,0.0,0.0007412555011301963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000795981455798916,0.0,0.0,0.0,0.0,0.0003243408289815345,0.0,0.0,0.0,0.0,0.0,0.0008519263314600166,0.0,0.0007199057799926488,0.0,0.0007098956133374146,0.0,0.0006797005947825088,0.0,0.0,0.0,0.0006390655729445122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.238256004724138e-05,0.0,0.0,0.0,0.0,0.0007214915995190264,0.0,0.0,0.0003314207805797662,0.00011677590982634745,0.0,0.0,0.0,0.0,0.0,0.0,0.00029859523623254977,0.0,0.0,0.0006974744897619826,0.0008793226549260422,0.0,0.0,0.0,7.530396460636284e-05,0.0,0.0,0.0,0.0006808523630904317,0.0
