,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
met-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leu-L,0.004240835437945096,0.0,0.0,0.008393913420474202,0.002512361290673979,0.0,0.0,0.0,0.0,0.0007416243729700088,0.0,0.0,0.0,0.0,0.0,0.0,0.00046057019324945755,0.0,0.0,0.0,0.006603953316876533,0.00738594528204552,0.0,0.0,0.005271438399489188,0.0,0.0,0.02089719685332227,0.0,0.0
glygn1,7.241845804711503e-05,9.025324527082193e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.452534605592985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6283978601538117e-06,8.15757695054523e-05,3.6728221485627603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007516674418763898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2o,0.002110259917830653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01952589499772857,0.0013888295333309957,0.0,0.0,0.0,0.0,0.022292008521895192,0.0,0.0,0.0,0.0,0.0,0.007230159311960495,0.019936866222037504,0.0030433503359622947,0.0060928473160764,0.0,0.0,0.0,0.028565105739142813,0.0,0.0
mag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8560956034194744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005932235122392625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017397681586098758,0.0,0.0,0.0,0.0
ile-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000765827307203342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gln-L,0.0,0.0,0.0,0.0,0.0,3.922457672112324e-05,0.0,0.0,0.024291355983007863,0.001305658830691541,0.0,0.0,0.0,0.0,0.05650605209322902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243089951770567,0.0,0.0,0.0,0.015083097306761918,0.0,0.0
