,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
met-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leu-L,0.0043115746069595905,0.0,0.0,0.004552097632399116,0.0005667189670526098,0.0,0.0,0.0,0.0,0.0005582283347920478,0.0,0.0,0.0,0.0,0.0,0.0,0.00044201031679373616,0.0,0.0,0.0,0.004520260438430986,0.007093199890731672,0.0,0.0,0.002199531949554983,0.0,0.0,0.020546175503637472,0.0,0.0
glygn1,7.137914740437652e-06,8.275958467493942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.253680127886089e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6215065719562837e-06,7.884182778446733e-05,3.198295404005615e-06,8.323442126622238e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005657878566148797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.465646965023399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2o,0.002945601899022176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02006358297143638,0.0010453863518489447,0.0,0.0,0.0,0.0,0.02432007322347685,0.0,0.0,0.0,0.0,0.0,0.0053367448768954235,0.019239691458951696,0.0038791649231782145,0.006065513308493314,0.0,0.0,0.0,0.02802631841075756,0.0,0.0
mag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2112920690616476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044652547228272576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001665559629050403,0.0,0.0,0.0,0.0
ile-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005764461336759329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gln-L,0.0,0.0,0.0,0.0,0.0,3.7185691676567866e-05,0.0,0.0,0.024366384605875067,0.001172589232315144,0.0,0.0,0.0,0.0,0.052322329741607686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02403724995802557,0.0,0.0,0.0,0.014780544159043906,0.0,0.0
