sample,A_biomass_flux,B_biomass_flux,diff(A-B)
Sharma_21_EGF,0.0,0.0,0.0
Sharma_21_H89-EGF,0.0,0.0,0.0
Sharma_21_H89-TPA,0.0,0.0,0.0
Sharma_21_P_EGF,0.0,0.0,0.0
Sharma_21_P_H89-EGF,0.0,0.0,0.0
Sharma_21_P_H89-TPA,0.0,0.0,0.0
Sharma_21_P_TPA,0.0,0.0,0.0
Sharma_21_TPA,0.0,0.0,0.0
johnson_18_GSE117444,0.0,0.0,0.0
johnson_18_GSE117444_P,0.0,0.0,0.0
min_18_GSE122927_CDK46i_2E2,0.0,0.0,0.0
min_18_GSE122927_CDK46i_3B6,0.0,0.0,0.0
min_18_GSE122927_ContactIn_2E2,0.0,0.0,0.0
min_18_GSE122927_ContactIn_3B6,0.0,0.0,0.0
min_18_GSE122927_Meki_2E2,0.0,0.0,0.0
min_18_GSE122927_Meki_3B6,0.0,0.0,0.0
min_18_GSE122927_P_CDK46i_2E2,0.0,0.0,0.0
min_18_GSE122927_P_CDK46i_3B6,0.0,0.0,0.0
min_18_GSE122927_P_ContactIn_2E2,0.0,0.0,0.0
min_18_GSE122927_P_ContactIn_3B6,0.0,0.0,0.0
min_18_GSE122927_P_Meki_2E2,0.0,0.0,0.0
min_18_GSE122927_P_Meki_3B6,0.0,0.0,0.0
min_18_GSE122927_P_SerumStarvation_2E2,0.0,0.0,0.0
min_18_GSE122927_P_SerumStarvation_3B6,0.0,0.0,0.0
min_18_GSE122927_P_p21_2E2,0.0,0.0,0.0
min_18_GSE122927_P_p21_3B6,0.0,0.0,0.0
min_18_GSE122927_SerumStarvation_2E2,0.0,0.0,0.0
min_18_GSE122927_SerumStarvation_3B6,0.0,0.0,0.0
min_18_GSE122927_p21_2E2,0.0,0.0,0.0
min_18_GSE122927_p21_3B6,0.0,0.0,0.0
