file_a,file_b,sample_key,max_abs_diff,rmse,n_diff_rows(>1e-9),n_common_rows,n_only_a,n_only_b
[May1920230406]CFR_ct11_obj1_data10_metadata.json,[Nov2020252131]CFR_ct1_obj1_data10_metadata.json,obj1_data10,0.0126938775536065,0.000573670493195517,8,3917,0,0
[May1920230406]CFR_ct11_obj1_data11_metadata.json,[Nov2020252131]CFR_ct1_obj1_data11_metadata.json,obj1_data11,9.80118763926896e-17,3.928032009061307e-18,0,3917,0,0
[May1920230406]CFR_ct11_obj1_data12_metadata.json,[Nov2020252131]CFR_ct1_obj1_data12_metadata.json,obj1_data12,0.555900000113252,0.015384697017410869,18,3917,0,0
[May1920230406]CFR_ct11_obj1_data13_metadata.json,[Nov2020252131]CFR_ct1_obj1_data13_metadata.json,obj1_data13,0.000166666666700621,3.7660576321783617e-06,2,3917,0,0
[May1920230406]CFR_ct11_obj1_data14_metadata.json,[Nov2020252131]CFR_ct1_obj1_data14_metadata.json,obj1_data14,0.0040000000008149,0.00013726387614115723,32,3917,0,0
[May1920230406]CFR_ct11_obj1_data15_metadata.json,[Nov2020252131]CFR_ct1_obj1_data15_metadata.json,obj1_data15,0.0,0.0,0,3917,0,0
[May1920230406]CFR_ct11_obj1_data16_metadata.json,[Nov2020252131]CFR_ct1_obj1_data16_metadata.json,obj1_data16,0.110516666689182,0.0030638484404724568,29,3917,0,0
[May1920230406]CFR_ct11_obj1_data17_metadata.json,[Nov2020252131]CFR_ct1_obj1_data17_metadata.json,obj1_data17,0.0446238744624931,0.0012350066347306026,8,3917,0,0
[May1920230406]CFR_ct11_obj1_data18_metadata.json,[Nov2020252131]CFR_ct1_obj1_data18_metadata.json,obj1_data18,0.00219403846198544,7.799051858993971e-05,15,3917,0,0
[May1920230406]CFR_ct11_obj1_data19_metadata.json,[Nov2020252131]CFR_ct1_obj1_data19_metadata.json,obj1_data19,0.0360977510650855,0.0009989965473269455,6,3917,0,0
[May1920230406]CFR_ct11_obj1_data1_metadata.json,[Nov2020252131]CFR_ct1_obj1_data1_metadata.json,obj1_data1,0.009833319860788937,0.0005297212585910912,206,3917,0,0
[May1920230406]CFR_ct11_obj1_data20_metadata.json,[Nov2020252131]CFR_ct1_obj1_data20_metadata.json,obj1_data20,0.009500000001935408,0.000632831180978984,35,3917,0,0
[May1920230406]CFR_ct11_obj1_data21_metadata.json,[Nov2020252131]CFR_ct1_obj1_data21_metadata.json,obj1_data21,0.046000000009371475,0.0012761712927100571,44,3917,0,0
[May1920230406]CFR_ct11_obj1_data22_metadata.json,[Nov2020252131]CFR_ct1_obj1_data22_metadata.json,obj1_data22,0.0334699324392886,0.0009304370454121019,24,3917,0,0
[May1920230406]CFR_ct11_obj1_data23_metadata.json,[Nov2020252132]CFR_ct1_obj1_data23_metadata.json,obj1_data23,0.07981266668139138,0.002209258565176983,14,3917,0,0
[May1920230406]CFR_ct11_obj1_data24_metadata.json,[Nov2020252132]CFR_ct1_obj1_data24_metadata.json,obj1_data24,0.0527278048887909,0.0017176319768022856,27,3917,0,0
[May1920230406]CFR_ct11_obj1_data25_metadata.json,[Nov2020252132]CFR_ct1_obj1_data25_metadata.json,obj1_data25,0.0544205764618937,0.0015060763173612157,6,3917,0,0
[May1920230406]CFR_ct11_obj1_data26_metadata.json,[Nov2020252132]CFR_ct1_obj1_data26_metadata.json,obj1_data26,0.0017645092142758202,5.949947768097044e-05,13,3917,0,0
[May1920230406]CFR_ct11_obj1_data27_metadata.json,[Nov2020252132]CFR_ct1_obj1_data27_metadata.json,obj1_data27,0.0657812500134013,0.0019576929343761646,31,3917,0,0
[May1920230406]CFR_ct11_obj1_data28_metadata.json,[Nov2020252132]CFR_ct1_obj1_data28_metadata.json,obj1_data28,0.03000000000611211,0.0009586817604190843,4,3917,0,0
[May1920230406]CFR_ct11_obj1_data29_metadata.json,[Nov2020252132]CFR_ct1_obj1_data29_metadata.json,obj1_data29,0.0210463386009346,0.0007254440967170046,131,3917,0,0
[May1920230406]CFR_ct11_obj1_data2_metadata.json,[Nov2020252131]CFR_ct1_obj1_data2_metadata.json,obj1_data2,0.0180000000036671,0.001067997259504605,275,3917,0,0
[May1920230406]CFR_ct11_obj1_data30_metadata.json,[Nov2020252132]CFR_ct1_obj1_data30_metadata.json,obj1_data30,0.0020000000004074,0.00010480653932874409,115,3917,0,0
[May1920230406]CFR_ct11_obj1_data3_metadata.json,[Nov2020252131]CFR_ct1_obj1_data3_metadata.json,obj1_data3,0.010367724869837,0.0007050821648707094,154,3917,0,0
[May1920230406]CFR_ct11_obj1_data4_metadata.json,[Nov2020252131]CFR_ct1_obj1_data4_metadata.json,obj1_data4,0.0098311770036475,0.0005289632733462471,205,3917,0,0
[May1920230406]CFR_ct11_obj1_data5_metadata.json,[Nov2020252131]CFR_ct1_obj1_data5_metadata.json,obj1_data5,0.0180000000036671,0.0010506718170568445,282,3917,0,0
[May1920230406]CFR_ct11_obj1_data6_metadata.json,[Nov2020252131]CFR_ct1_obj1_data6_metadata.json,obj1_data6,0.010367724869837,0.0007021795357835284,156,3917,0,0
[May1920230406]CFR_ct11_obj1_data7_metadata.json,[Nov2020252131]CFR_ct1_obj1_data7_metadata.json,obj1_data7,0.0622825789344327,0.002685894162236944,420,3917,0,0
[May1920230406]CFR_ct11_obj1_data8_metadata.json,[Nov2020252131]CFR_ct1_obj1_data8_metadata.json,obj1_data8,0.0622883249459429,0.0026412121095863825,425,3917,0,0
[May1920230406]CFR_ct11_obj1_data9_metadata.json,[Nov2020252131]CFR_ct1_obj1_data9_metadata.json,obj1_data9,0.0298333333394112,0.0019163058867451939,36,3917,0,0
