A_key,B_key,up_equal,up_nA,up_nB,up_inter,up_onlyA,up_onlyB,dw_equal,dw_nA,dw_nB,dw_inter,dw_onlyA,dw_onlyB
Sharma_21_EGF,Sharma_21_P_EGF,True,350,350,350,0,0,True,155,155,155,0,0
Sharma_21_H89-EGF,Sharma_21_P_H89-EGF,True,646,646,646,0,0,True,158,158,158,0,0
Sharma_21_H89-TPA,Sharma_21_P_H89-TPA,True,313,313,313,0,0,True,217,217,217,0,0
Sharma_21_P_EGF,Sharma_21_EGF,True,155,155,155,0,0,True,350,350,350,0,0
Sharma_21_P_H89-EGF,Sharma_21_H89-EGF,True,158,158,158,0,0,True,646,646,646,0,0
Sharma_21_P_H89-TPA,Sharma_21_H89-TPA,True,217,217,217,0,0,True,313,313,313,0,0
Sharma_21_P_TPA,Sharma_21_TPA,True,726,726,726,0,0,True,421,421,421,0,0
Sharma_21_TPA,Sharma_21_P_TPA,True,421,421,421,0,0,True,726,726,726,0,0
johnson_18_GSE117444,johnson_18_GSE117444,True,2403,2403,2403,0,0,True,2661,2661,2661,0,0
johnson_18_GSE117444_P,johnson_18_GSE117444_P,True,2661,2661,2661,0,0,True,2403,2403,2403,0,0
min_18_GSE122927_CDK46i_2E2,min_18_GSE122927_CDK46i_2E2,True,262,262,262,0,0,True,1087,1087,1087,0,0
min_18_GSE122927_CDK46i_3B6,min_18_GSE122927_CDK46i_3B6,True,744,744,744,0,0,True,588,588,588,0,0
min_18_GSE122927_ContactIn_2E2,min_18_GSE122927_ContactIn_2E2,True,442,442,442,0,0,True,832,832,832,0,0
min_18_GSE122927_ContactIn_3B6,min_18_GSE122927_ContactIn_3B6,True,492,492,492,0,0,True,354,354,354,0,0
min_18_GSE122927_Meki_2E2,min_18_GSE122927_Meki_2E2,True,320,320,320,0,0,True,2574,2574,2574,0,0
min_18_GSE122927_Meki_3B6,min_18_GSE122927_Meki_3B6,True,768,768,768,0,0,True,1136,1136,1136,0,0
min_18_GSE122927_P_CDK46i_2E2,min_18_GSE122927_P_CDK46i_2E2,True,1087,1087,1087,0,0,True,262,262,262,0,0
min_18_GSE122927_P_CDK46i_3B6,min_18_GSE122927_P_CDK46i_3B6,True,588,588,588,0,0,True,744,744,744,0,0
min_18_GSE122927_P_ContactIn_2E2,min_18_GSE122927_P_ContactIn_2E2,True,832,832,832,0,0,True,442,442,442,0,0
min_18_GSE122927_P_ContactIn_3B6,min_18_GSE122927_P_ContactIn_3B6,True,354,354,354,0,0,True,492,492,492,0,0
min_18_GSE122927_P_Meki_2E2,min_18_GSE122927_P_Meki_2E2,True,2574,2574,2574,0,0,True,320,320,320,0,0
min_18_GSE122927_P_Meki_3B6,min_18_GSE122927_P_Meki_3B6,True,1136,1136,1136,0,0,True,768,768,768,0,0
min_18_GSE122927_P_SerumStarvation_2E2,min_18_GSE122927_P_SerumStarvation_2E2,True,1198,1198,1198,0,0,True,1751,1751,1751,0,0
min_18_GSE122927_P_SerumStarvation_3B6,min_18_GSE122927_P_SerumStarvation_3B6,True,1321,1321,1321,0,0,True,1159,1159,1159,0,0
min_18_GSE122927_P_p21_2E2,min_18_GSE122927_P_p21_2E2,True,522,522,522,0,0,True,1142,1142,1142,0,0
min_18_GSE122927_P_p21_3B6,min_18_GSE122927_P_p21_3B6,True,460,460,460,0,0,True,501,501,501,0,0
min_18_GSE122927_SerumStarvation_2E2,min_18_GSE122927_SerumStarvation_2E2,True,1751,1751,1751,0,0,True,1198,1198,1198,0,0
min_18_GSE122927_SerumStarvation_3B6,min_18_GSE122927_SerumStarvation_3B6,True,1159,1159,1159,0,0,True,1321,1321,1321,0,0
min_18_GSE122927_p21_2E2,min_18_GSE122927_p21_2E2,True,1142,1142,1142,0,0,True,522,522,522,0,0
min_18_GSE122927_p21_3B6,min_18_GSE122927_p21_3B6,True,501,501,501,0,0,True,460,460,460,0,0
