,dwgenes
0,PHF13
1,ERRFI1
2,MIR6728
3,PIK3CD-AS1
4,GPR3
5,YRDC
6,PLK3
7,HPDL
8,RAD54L
9,ORC1
10,JUN
11,BCL10
12,CYR61
13,GBP1
14,OVGP1
15,MIR4256
16,MCL1
17,CDC42SE1
18,PIP5K1A
19,TUFT1
20,MIR554
21,UBE2Q1-AS1
22,MIR6738
23,UAP1
24,CCDC190
25,RGS4
26,SLC19A2
27,ABL2
28,IER5
29,PTGS2
30,ZNF281
31,PPP1R15B
32,ATF3
33,SDE2
34,URB2
35,ZNF670
36,ZNF669
37,MIR3681HG
38,RHOB
39,LINC01914
40,LOC102723824
41,ASB3
42,MIR3682
43,B3GNT2
44,PELI1
45,PNO1
46,HK2
47,KDM3A
48,ZAP70
49,LIPT1
50,SOWAHC
51,NIFK
52,MYO7B
53,TEX41
54,DLX2
55,HOXD4
56,COQ10B
57,ALS2CR12
58,NOP58
59,EGOT
60,EAF1
61,LOC105376975
62,ZNF860
63,CSRNP1
64,ZNF35
65,ZNF502
66,CISH
67,SNORD19
68,LOC105377102
69,FLNB-AS1
70,KCTD6
71,ADAMTS9-AS1
72,KBTBD8
73,TRMT10C
74,ARHGAP31-AS1
75,ALG1L
76,ALG1L2
77,AMOTL2
78,MRPS22
79,MBNL1-AS1
80,LEKR1
81,CCNL1
82,MYNN
83,MIR3138
84,CNGA1
85,HPSE
86,COL25A1
87,RAB33B
88,CDKN2AIP
89,CASP3
90,BRIX1
91,GDNF
92,GDNF-AS1
93,PTGER4
94,HMGCR
95,HOMER1
96,ZNF474
97,IRF1
98,EGR1
99,HBEGF
100,VTRNA1-3
101,RELL2
102,MED7
103,DUSP1
104,PRR7-AS1
105,LOC101928445
106,LINC01962
107,NEDD9
108,EDN1
109,ID4
110,ZSCAN9
111,APOM
112,MIR3934
113,MIR6835
114,MIR7111
115,LOC101929555
116,SRF
117,FAM83B
118,TBX18-AS1
119,AMD1
120,LOC103352541
121,SYNJ2-IT1
122,PRKN
123,LFNG
124,PMS2CL
125,KBTBD2
126,LOC100506725
127,LOC730338
128,ZNF138
129,LOC101927420
130,SERPINE1
131,MIR4653
132,VGF
133,PUS7
134,LINC01393
135,ANKRD7
136,HYAL4
137,JHDM1D-AS1
138,EPHA1
139,CRYGN
140,INSIG1
141,LOC101929237
142,LOC101929470
143,MAK16
144,LINC00968
145,LINC01592
146,PDP1
147,KLF10
148,MED30
149,TRIB1
150,MYC
151,CD274
152,IL33
153,TOPORS
154,ALDH1B1
155,ABHD17B
156,LOC101927502
157,NFIL3
158,LOC100128361
159,MIRLET7D
160,TGFBR1
161,NR4A3
162,STX17-AS1
163,SLC31A2
164,WDR38
165,SLC25A25
166,MIR199B
167,COL5A1-AS1
168,C9orf163
169,IDI2
170,IDI2-AS1
171,IDI1
172,ARL5B
173,PDSS1
174,MAP3K8
175,PRKG1-AS1
176,PHYHIPL
177,EGR2
178,JMJD1C-AS1
179,SLC25A16
180,NUDT13
181,MYOZ1
182,LOC101927278
183,MIR146B
184,SFXN2
185,ITPRIP
186,DUSP5
187,LOC101927692
188,LOC399815
189,PRAP1
190,SYCE1
191,TIMM10B
192,SPTY2D1
193,CCDC73
194,MIR1343
195,ZNF408
196,LOC101928943
197,LOC101927495
198,MIR6748
199,BATF2
200,TALAM1
201,MIR548K
202,RELT
203,THRSP
204,BCO2
205,LOC100652768
206,PCSK7
207,LOC101929340
208,LOC399975
209,SLC2A3
210,YAF2
211,C1QL4
212,NR4A1
213,OR7E47P
214,SLC26A10
215,LOC728084
216,DUSP6
217,RSRC2
218,LINC00543
219,ALOX5AP
220,SPG20-AS1
221,RGCC
222,LINC01068
223,SPRY2
224,MIR17HG
225,TEX30
226,MCF2L
227,LOC101926933
228,ATP5S
229,FERMT2
230,CGRRF1
231,LOC101927780
232,ZBTB1
233,HSPA2
234,RDH12
235,MIR370
236,SNORD114-5
237,MIR380
238,MIR376C
239,MIR300
240,MIR1185-2
241,MIR134
242,MIR668
243,SKOR1
244,PRKXP1
245,HBQ1
246,LOC105371046
247,ZNF200
248,TIGD7
249,MPV17L
250,SLC5A11
251,FUS
252,ZNF267
253,ELMO3
254,LINC00304
255,MIR22HG
256,MIR132
257,LOC102724009
258,MIS12
259,KDM6B
260,TMEM88
261,SCO1
262,LOC101928418
263,CENPV
264,MAP2K3
265,TEFM
266,MIR4725
267,DUSP14
268,MIR4728
269,HSPB9
270,PTGES3L-AARSD1
271,MAP3K14
272,LINC02210
273,CA4
274,MARCH10
275,CEP95
276,LOC440461
277,SPHK1
278,JMJD6
279,METTL23
280,SOCS3
281,MIR6787
282,THOC1
283,TGIF1
284,ZNF24
285,GRP
286,LINC01909
287,C2CD4C
288,AZU1
289,ADAT3
290,NMRK2
291,MIR637
292,CD70
293,LDLR
294,ZNF442
295,ZNF791
296,JUNB
297,IER2
298,MIR27A
299,MIR23A
300,EPHX3
301,KLF2
302,SNORA118
303,ANKLE1
304,GDF15
305,MIR3189
306,ZNF93
307,ZNF730
308,ZNF681
309,CCER2
310,SERTAD1
311,MIR330
312,NTF4
313,MIR99B
314,HAS1
315,ZNF649-AS1
316,OSCAR
317,BRSK1
318,ZNF548
319,ZNF329
320,ZNF274
321,RAD21L1
322,OXT
323,FASTKD5
324,LINC01730
325,LINC01433
326,NDUFAF5
327,LOC101929526
328,CST7
329,TTLL9
330,SNHG17
331,STK4-AS1
332,TP53RK
333,LOC100131496
334,SS18L1
335,BIRC7
336,LINC00314
337,USP16
338,BACH1
339,MORC3
340,ETS2
341,LOC101928796
342,MIR301B
343,DERL3
344,LIF
345,MAFF
346,PIM3
347,LOC729609
348,FRMPD3
349,SLC25A5-AS1
