,upgenes
0,TTC34
1,BMP8A
2,ERMAP
3,PARS2
4,LINC01358
5,LINC01364
6,FLJ27354
7,LOC101928118
8,PSRC1
9,PIFO
10,TXNIP
11,PRUNE1
12,IL6R
13,SEMA4A
14,SLAMF8
15,C1orf204
16,NR1I3
17,TMEM81
18,LINC01352
19,MAP10
20,LINC01354
21,LGALS8-AS1
22,RN7SL832P
23,LOC285043
24,C2orf81
25,FER1L5
26,TMEM177
27,LINC01856
28,LINC01931
29,FAM171B
30,TNP1
31,ITPR1-AS1
32,LOC401052
33,MKRN2OS
34,OXSM
35,LINC00693
36,ZNF619
37,KIF9
38,HYAL3
39,MUSTN1
40,MELTF-AS1
41,MIR943
42,RASL11B
43,TMEM150C
44,WDFY3-AS2
45,HSD17B13
46,BBS12
47,OXCT1-AS1
48,NIM1K
49,PCDHGA3
50,FAXDC2
51,MIR378H
52,LINC01600
53,NBAT1
54,HIST1H2AB
55,MIR3143
56,ZKSCAN4
57,ZKSCAN3
58,ZSCAN23
59,HCP5
60,BTBD9-AS1
61,LOC101926934
62,IMPG1
63,LOC101928461
64,AGPAT4-IT1
65,HOXA-AS3
66,HOXA5
67,HOXA11
68,KCTD7
69,PEG10
70,PTCD1
71,FBXO24
72,OR2A7
73,BRF2
74,CHMP4C
75,SAMD12-AS1
76,TMED10P1
77,LURAP1L
78,C9orf170
79,LOC100507346
80,ZNF510
81,LOC100499484
82,LOC101928748
83,STPG3-AS1
84,SKIDA1
85,LOC101929279
86,LOC102031319
87,LOC102723703
88,PANK1
89,PDE6C
90,FRAT2
91,CFAP58-AS1
92,LOC440028
93,FANCF
94,CCDC87
95,MIR4691
96,LOC100506113
97,LOC649133
98,NRGN
99,NINJ2
100,LINC00942
101,SCNN1A
102,LOH12CR2
103,GSG1
104,HOXC6
105,MIR618
106,SACS-AS1
107,SLC25A21-AS1
108,DIO2-AS1
109,MIR379
110,PATL2
111,DUOX1
112,PEX11A
113,GDPGP1
114,PRSS30P
115,C16orf71
116,TNFRSF17
117,TBX6
118,LINC02126
119,CMTM1
120,TXNL4B
121,C16orf47
122,LOC105371592
123,P2RX5
124,LOC101559451
125,SCIMP
126,GID4
127,SH3GL1P2
128,FNDC8
129,TAC4
130,LOC101928021
131,FSCN2
132,TYMS
133,LOC100192426
134,REEP6
135,MIR4321
136,C19orf44
137,ZNF792
138,UPK1A
139,UPK1A-AS1
140,CATSPERG
141,ZNF285
142,PLA2G4C-AS1
143,ZNF137P
144,TMEM238
145,C20orf196
146,LRRN4
147,NEURL2
148,SSR4P1
149,ZNRF3-AS1
150,PORCN
151,ERCC6L
152,LOC101928402
153,ZNF185
154,CD24
