,dwgenes
0,LOC100996583
1,TP73
2,PARS2
3,TACSTD2
4,PLPPR5
5,AMIGO1
6,GNRHR2
7,ASPM
8,ZBTB41
9,KIF14
10,C1orf74
11,HLX-AS1
12,PLD5
13,NT5C1B
14,WDCP
15,LINC01118
16,LOC102724579
17,RNF103-CHMP3
18,LOC100506797
19,TTC30B
20,LOC101927027
21,SDPR
22,LOC101928020
23,CPS1
24,AGAP1-IT1
25,OSBPL10-AS1
26,ZNF445
27,ZNF501
28,IL17RB
29,POLQ
30,ASTE1
31,SLC26A1
32,TACC3
33,BMP3
34,FAM160A1
35,FAM218A
36,NEIL3
37,CEP72
38,C5orf42
39,CCNO
40,DEPDC1B
41,SPATA9
42,LOC101927078
43,ADRB2
44,HMMR
45,ZNF879
46,MYLK4
47,ZSCAN16
48,ZKSCAN4
49,HCG26
50,ATP6V1G2
51,KIFC1
52,CPNE5
53,LCA5
54,TTK
55,SLC35F1
56,SMLR1
57,CARD11
58,LOC101927354
59,ISPD
60,RPS2P32
61,CRHR2
62,PKD1L1
63,ZKSCAN5
64,CADPS2
65,CCDC136
66,CTAGE4_dup1
67,ATP6V0E2-AS1
68,ANGPT2
69,BRF2
70,NECAB1
71,ZNF572
72,ZFAT-AS1
73,MLANA
74,FOCAD-AS1
75,MIR491
76,OR2S2
77,ZNF658
78,LOC103908605_dup1
79,LINC01474
80,LOC340512
81,ASTN2-AS1
82,PSMD5-AS1
83,SKIDA1
84,ZNF33B
85,SYT15
86,PRKG1-AS1
87,STOX1
88,LOC101929165
89,SNORD172
90,LINC00865
91,CFAP58
92,GPAM
93,DCLRE1A
94,CDHR5
95,FANCF
96,CDCA5
97,TIGD3
98,ACRV1
99,TAS2R19
100,ZC3H10
101,LOC728739
102,IFT81
103,FLJ37505
104,LINC00426
105,KBTBD7
106,GPR180
107,SLC25A21-AS1
108,POLE2
109,SNAPC1
110,MLH3
111,NUSAP1
112,DIS3L
113,KIAA1024
114,SCAND2P
115,TMC5
116,PALB2
117,TXNL4B
118,LOC101928557
119,CENPBD1
120,ZNF594
121,MED9
122,ZNF286B
123,C17orf75
124,SLFN13
125,RDM1
126,GSDMA
127,MYL4
128,ABI3
129,SLC16A5
130,SMIM5
131,ARHGAP45
132,ZNF555
133,GIPC3
134,SEMA6B
135,ZNF792
136,ZNF260
137,ZNF230
138,ZNF233
139,EXOC3L2
140,ZSCAN5B
141,ZNF470
142,ZIK1
143,ZNF606
144,ZSCAN22
145,FLRT3
146,ZSWIM3
147,SLC37A1
148,TMEM191B
149,PPARA
150,MAP7D2
151,FAM120C
152,WNK3
153,PFKFB1
154,NHSL2
155,ERCC6L
156,ZCCHC5
157,ZNF449
