,upgenes
0,ISG15
1,ARHGEF16
2,ACOT7
3,ERRFI1
4,C1orf195
5,GPR3
6,WASF2
7,FAM76A
8,A3GALT2
9,LOC101929516
10,SLFNL1
11,PCSK9
12,LINC01788
13,BCL10
14,CYR61
15,LMO4
16,F3
17,ADAMTSL4-AS1
18,MCL1
19,TUFT1
20,RIT1
21,MEF2D
22,CYCSP52
23,RGS4
24,FAM78B
25,SLC19A2
26,KIAA0040
27,ABL2
28,ARPC5
29,TSEN15
30,PTGS2
31,BTG2
32,NUAK2
33,SERTAD4
34,ATF3
35,ENAH
36,C1orf198
37,MIR1537
38,FMN2
39,ODC1
40,MATN3
41,HS1BP3-IT1
42,AGBL5-AS1
43,CDC42EP3
44,KCNK12
45,ASB3
46,MIR3682
47,B3GNT2
48,EHBP1
49,PELI1
50,SERTAD2
51,MXD1
52,PCBP1
53,HK2
54,MAT2A
55,ADRA2B
56,ASTL
57,DUSP2
58,RNF149
59,SULT1C3
60,SOWAHC
61,LINC01123_dup1
62,PGM5P3-AS1
63,LOC100499194
64,MYO7B
65,KIF5C
66,LYPD6B
67,NR4A2
68,COQ10B
69,SGPP2
70,AGFG1
71,CCL20
72,EFHD1
73,PP14571
74,MIR149
75,MIR3133
76,BHLHE40-AS1
77,BHLHE40
78,OXTR
79,EAF1
80,MIR26A1
81,MYD88
82,CSRNP1
83,PRKAR2A
84,ITIH3
85,FLNB-AS1
86,KBTBD8
87,NFKBIZ
88,ARHGAP31-AS1
89,NME9
90,SLC9A9-AS1
91,ZIC1
92,PFN2
93,TSC22D2
94,CCNL1
95,IQCJ-SCHIP1-AS1
96,NAALADL2-AS1
97,TRA2B
98,HRASLS
99,LINC02028
100,HES1
101,CPEB2
102,LOC101929095
103,LOC101929199
104,UCHL1-AS1
105,CORIN
106,EPHA5-AS1
107,DCK
108,CXCL2
109,EREG
110,AREG_dup1
111,LOC102723704
112,C4orf32
113,MIR1243
114,CAMK2D
115,ARSJ
116,NOCT
117,HHIP-AS1
118,DCLK2
119,PALLD
120,SLED1
121,PAPD7
122,C5orf17
123,NPR3
124,GDNF
125,LOC100303749
126,LUCAT1
127,NREP-AS1
128,PRR16
129,ZNF474
130,MIR3936HG
131,TCF7
132,EGR1
133,UBE2D2
134,HBEGF
135,SPRY4
136,SPRY4-IT1
137,NIPAL4
138,LOC101928093
139,DUSP1
140,LOC100268168
141,STC2
142,HUS1B
143,TUBB2A
144,EDN1
145,JARID2-AS1
146,GMPR
147,LOC105374952
148,HIST1H4C
149,MIR6835
150,CDKN1A
151,TMEM217
152,LOC101929555
153,RPS16P5
154,LOC101928516
155,FILIP1
156,MEI4
157,UBE2J1
158,POPDC3
159,AMD1
160,DCBLD1
161,TPD52L1
162,CTGF
163,MIR3145
164,CITED2
165,STX11
166,SNORA98
167,LOC100129518
168,ACTB
169,PMS2CL
170,GLCCI1
171,PPP1R17
172,KBTBD2
173,LINC01449
174,HECW1-IT1
175,LOC730338
176,PEG10
177,SERPINE1
178,ST7-AS1
179,ST7-AS2_dup1
180,ZNF800
181,LOC100130705
182,JHDM1D-AS1
183,EPHA1
184,PRKAG2
185,INSIG1
186,DLC1
187,LZTS1
188,EGR3
189,LOXL2
190,LOC100507156
191,NKX3-1
192,NRG1
193,SLC20A2
194,RGS20
195,MRPL15
196,RDH10
197,STMN2
198,ERICH5
199,KLF10
200,ZHX1-C8orf76
201,WDYHV1
202,TRIB1
203,MYC
204,MIR1205
205,FAM49B
206,KHDRBS3
207,DENND3
208,LOC100288181
209,CDKN2B
210,DNAJB5-AS1
211,C9orf131
212,KLF9
213,ZFAND5
214,UBQLN1
215,NFIL3
216,CCDC180
217,NR4A3
218,UGCG
219,SLC25A25
220,IDI1
221,KLF6
222,ARL5B
223,FZD8
224,HNRNPA1P33
225,DKK1
226,ADO
227,EGR2
228,SLC25A16
229,MYOZ1
230,KCNMA1-AS2
231,PPIF
232,ITPRIP
233,CFAP58-AS1
234,DUSP5
235,PLPP4
236,C10orf88
237,FAM196A
238,LINC01164
239,OR52E4
240,OR2AG2
241,OR10A2
242,NRIP3
243,MIR6124
244,LINC00958
245,LOC100126784
246,LINC00678
247,BDNF
248,C11orf91
249,MIR1343
250,LDLRAD3
251,C11orf94
252,ZNF408
253,GLYATL2
254,FOSL1
255,GAL
256,DEFB108B
257,RELT
258,NDUFC2
259,ENDOD1
260,LOC100132686
261,MPZL3
262,TREH
263,LOC101929340
264,ETS1
265,OPCML
266,TEAD4
267,SLC2A3
268,FAM86FP
269,GPRC5D
270,KCNJ8
271,LINC00941
272,PCED1B
273,TUBA1B
274,NR4A1
275,OR7E47P
276,LOC102724050
277,PHLDA1
278,LOC105369860
279,LINC01490
280,RASSF9
281,LOC105369891
282,CRY1
283,SDS
284,LINC01234
285,LATS2
286,C1QTNF9B
287,USP12-AS1
288,MTUS2
289,EEF1DP3
290,PCDH9-AS2
291,NDFIP2
292,SPRY2
293,FAM155A
294,LINC00565
295,CHAMP1
296,STXBP6
297,PRKD1
298,TTC6
299,DACT1
300,RTN1
301,LOC101927780
302,RDH12
303,ACOT1
304,ELMSAN1
305,MIR4505
306,FOS
307,PTPN21
308,CALM1
309,EIF5
310,GABRA5
311,OCA2
312,GREM1
313,GCOM1
314,CCNB2
315,TPM1
316,CT62
317,UBE2Q2P2_dup2
318,ISG20
319,HBQ1
320,HN1L
321,BICDL2
322,GLIS2-AS1
323,C16orf72
324,MPV17L
325,RBBP6
326,C16orf87
327,COTL1
328,SLC7A5
329,MIR6775
330,MVD
331,MIR22HG
332,MIR132
333,MIR212
334,MIR6776
335,P2RX5-TAX1BP3
336,TMEM95
337,TMEM88
338,MIR6883
339,COX10
340,MIR33B
341,SLC5A10
342,MAP2K3
343,KRTAP1-5
344,KRTAP1-1
345,KRT19
346,PTGES3L
347,HEXIM1
348,KANSL1-AS1
349,NME1
350,HN1
351,H3F3B
352,JMJD6
353,SRSF2
354,BIRC5
355,LINC01979
356,FASN
357,TGIF1
358,TUBB6
359,FAM210A
360,TPGS2
361,SMAD7
362,LIPG
363,ATP8B1
364,PMAIP1
365,HMSD
366,C18orf65
367,LOC284241
368,TNFSF9
369,FBXL12
370,COL5A3
371,IER2
372,LOC284454
373,NANOS3
374,DNAJB1
375,TPM4
376,KLF2
377,MIR3188
378,ZNF826P
379,NUDT19
380,KCNK6
381,PLAUR
382,MIR8085
383,KLC3
384,FOSB
385,IGFL3
386,MIR3190
387,PPP1R15A
388,IL11
389,ADRA1D
390,DTD1
391,LOC101929526
392,CST7
393,MIR4755
394,TP53INP2
395,TGM2
396,JPH2
397,SNAI1
398,SLCO4A1-AS1
399,LINC00515
400,ADAMTS1
401,BACH1-IT2
402,RUNX1
403,ETS2
404,COL18A1-AS2
405,ADORA2A
406,ZNRF3-AS1
407,LIF
408,OSM
409,YWHAH
410,MAFF
411,EP300-AS1
412,MIR4767
413,KLHL15
414,LINC01204
415,ARL13A
416,BEX1
417,NXF3
418,PRPS1
419,SLC25A5
420,MAMLD1
