,upgenes
0,PPL
1,APOD
2,FAM20A
3,C3
4,ABCA1
5,WISP2
6,C10orf105
7,CDON
8,ARHGAP28
9,SECTM1
10,KLHL24
11,FBXO32
12,GPR133
13,RSPO2
14,TCP11L2
15,C5orf4
16,MAN1C1
17,TMEM26
18,XPNPEP2
19,APOL1
20,SEMA3B
21,LTBP4
22,KLF9
23,C1RL
24,ZNF423
25,FGF13
26,FOXP2
27,SNED1
28,TRANK1
29,THRB
30,SDK1
31,ITGB8
32,YPEL2
33,VWA5A
34,GALNTL1
35,IL17RD
36,FAM65C
37,HSD17B2
38,C13orf15
39,FAM198B
40,IFIH1
41,ZNF608
42,RHOJ
43,APOL3
44,MTUS1
45,CILP
46,SELENBP1
47,EMX2OS
48,ABCA9
49,RARRES3
50,TXLNB
51,ANKRD33B
52,C5orf41
53,RXFP1
54,MAPT
55,ABCA6
56,C6orf97
57,LRRC32
58,MXRA5
59,FMO1
60,LUM
61,SEC14L5
62,DBP
63,LRIG3
64,NAALADL2
65,PBXIP1
66,PLD1
67,DTX4
68,EFNB3
69,TRIL
70,APOL6
71,JAG1
72,TLCD2
73,LOC284276
74,ADAMTS9
75,LAMA5
76,APOL4
77,CHDH
78,SLC25A27
79,FGD4
80,PLEKHA6
81,ORAI3
82,ASAP3
83,RASSF4
84,CTSO
85,LAMA3
86,ADCY4
87,STAT2
88,PTGFR
89,MAF
90,TCN2
91,RCAN2
92,PIK3IP1
93,PROS1
94,KCNB2
95,MX2
96,RFTN2
97,ROR2
98,PELI2
99,UBA7
100,OLFML2A
101,MAN1A1
102,C10orf54
103,LURAP1L
104,TSHZ2
105,C7orf63
106,MTHFR
107,PARD3B
108,KREMEN1
109,MCC
110,REV3L
111,MYO1D
112,CCDC146
113,RASSF2
114,GARNL3
115,FMO4
116,CYP39A1
117,ICAM1
118,TMEM198B
119,PRKG1
120,CYBRD1
121,PLA2R1
122,LAMA4
123,COL15A1
124,CFH
125,SATB1
126,C1S
127,PDGFRB
128,PARK2
129,PNMAL2
130,DAAM2
131,RASL11A
132,BTN3A3
133,NYNRIN
134,KIAA1211
135,PLK1S1
136,SALL2
137,ARHGAP26
138,PARP9
139,RSAD2
140,MTMR9LP
141,SHC3
142,C1R
143,RASL12
144,ABCB4
145,DHX58
146,NFATC4
147,STON1
148,TP53INP1
149,C1orf95
150,CD7
151,LOC100133669
152,ARHGEF3
153,JMY
154,FAP
155,PCMTD1
156,PARP14
157,LAMA2
158,LOC100508120
159,KLF15
160,KIAA1908
161,TP53I11
162,RBM43
163,LSAMP
164,OPLAH
165,CXCL16
166,ANK2
167,ADAMTS13
168,KCNT2
169,DNAH7
170,PCBP3
171,PDCD4
172,SLC9A9
173,PLEKHA5
174,GRASP
175,NLGN4X
176,RASSF5
177,MITF
178,OSR2
179,TSPAN9
180,LOC283070
181,FAM116B
182,RPS6KA2
183,GBP2
184,LTBP3
185,CLSTN3
186,RTP4
187,TGFBR3
188,BEST1
189,TLR2
190,KCNK15
191,SEC31B
192,TRAPPC6A
193,PNRC1
194,XAF1
195,PLA2G6
196,TNFRSF14
197,LOC729950
198,CCDC69
199,ZNF521
200,FAM43A
201,ITPKB
202,JAK3
203,AXIN2
204,SLC7A7
205,ENPP5
206,ROBO2
207,LDB2
208,MUC1
209,MYLK4
210,NR1H3
211,ACSS1
212,GLDN
213,STAT5A
214,FAM117B
215,SHC2
216,FP588
217,MIAT
218,C17orf103
219,CCNG2
220,BBC3
221,CPQ
222,TNFSF13B
223,VSTM4
224,CAPS
225,MSX2
226,OAS1
227,LGALS3BP
228,DCLK1
229,ZNF436
230,CDX1
231,ARL4C
232,LRRK2
233,FGF14
234,PLXNC1
235,TMEM150A
236,ADHFE1
237,ADAM33
238,LOC388692
239,H6PD
240,GJD3
241,EYA1
242,SEMA5A
243,LPPR4
244,SAMD5
245,NTNG2
246,CD34
247,SLC15A3
248,IDUA
249,CDC42EP5
250,PLAC9
251,LCNL1
252,CNTN1
253,PTK7
254,C1QTNF6
255,TMEM170B
256,PLEKHF1
257,FAM214A
258,ACCS
259,LGALS3
260,SLC1A7
261,C1orf228
262,CYP7B1
263,PCOLCE
264,TET3
265,CERS4
266,SERPING1
267,ACE
268,EPB41
269,IL16
270,SVEP1
271,TRIM22
272,TSSK3
273,SPRY1
274,MAPK10
275,PLA2G4C
276,FOXO4
277,LRRC25
278,ARRDC3
279,MAP3K8
280,LOC155060
281,SESN3
282,HERC6
283,KDM6B
284,LOC149134
285,MME
286,DCHS2
287,IGFBP4
288,BEX4
289,PRR5
290,WDR78
291,IL20RB
292,SLC40A1
293,ACOX2
294,PTPN13
295,BAI2
296,MBL1P
297,CDHR3
298,PLEKHA4
299,FCGRT
300,PPP1R3B
301,FLT3LG
302,CALCOCO1
303,FAM65B
304,KIAA1755
305,LOC338817
306,IL17RB
307,ABCA7
308,GPR124
309,GTF2IRD2
310,MXI1
311,ALDOC
312,PDGFRA
313,ZFP2
314,LOC100505783
315,FRAT1
316,LOC375190
317,BTN3A1
318,FAM63A
319,MAML3
320,ADAMTS12
321,UBE2L6
322,JAG2
323,ADAMTS15
324,CREB5
325,MXD4
326,NIPAL2
327,RGMA
328,GTF2IRD2B
329,TENC1
330,SPATA6
331,LRRC43
332,PIK3C2B
333,HBP1
334,RORA
335,KCNH5
336,ABCA5
337,LRP1
338,THBS2
339,LOC100507053
340,IFIT2
341,VPS13B
342,TDRD6
343,ZCCHC24
344,TMEM119
345,ANKRD29
346,AMZ2P1
347,TRO
348,PPARG
349,GNG7
350,FAM131B
351,FYCO1
352,TXNIP
353,LINC00478
354,PCDHGA7
355,STON2
356,BMF
357,ABCA10
358,ZDHHC1
359,PTGIS
360,COLQ
361,LOC100131434
362,NCAM2
363,AMT
364,PCMTD2
365,DENND2A
366,SETBP1
367,IFT140
368,ZNF117
369,RGS16
370,DYRK1B
371,ACBD4
372,CACNB4
373,PCDHB14
374,NIPSNAP3B
375,CCDC102A
376,CPT1C
377,PLAG1
378,IFI16
379,IFI6
380,ABHD8
381,ZNF204P
382,VASH1
383,YPEL4
384,CMBL
385,IFITM1
386,LOC728730
387,LRRC17
388,SH3BGRL2
389,KIAA1614
390,KAT6B
391,PCSK5
392,ACSF2
393,MAP6
394,C9orf7
395,CBLN3
396,ABHD4
397,RSPO1
398,IL6ST
399,ABAT
400,ARSD
401,NIM1
402,ETV7
403,FRY
404,PCDHGB1
405,MAP1LC3C
406,PCDHGA3
407,GDPD5
408,KCND1
409,LOC286367
410,LOC100499466
411,ADAMTS5
412,ZFP14
413,GCNT4
414,CFI
415,LOC100507557
416,WDR52
417,ACSL5
418,SMPDL3A
419,FAM211B
420,KLF4
421,JAZF1
422,HSD11B1L
423,OSBPL1A
424,LOC100132891
425,CTSA
426,IGFBP6
427,DCHS1
428,IFITM2
429,FMNL1
430,WLS
431,ZNF219
432,FKBP9
433,CELF6
434,RNASE4
435,MAP3K12
436,ZHX2
437,ZNF396
438,SLC44A3
439,ADD3
440,EBF1
441,BBS1
442,DTX3L
443,S1PR2
