,upgenes
0,FUCA2
1,CASP10
2,CRLF1
3,ARSD
4,TRAPPC6A
5,CDKL5
6,IL32
7,RPS20
8,CD9
9,HFE
10,SLC6A7
11,CALCOCO1
12,ATP1A2
13,PHLDB1
14,TYMP
15,SLAMF7
16,IFNGR1
17,ROS1
18,PPP1R3F
19,NNAT
20,KCNQ1
21,ATP2B4
22,CDH3
23,ABCA7
24,HMG20B
25,NDUFB4
26,COL17A1
27,SLC9A3
28,FGFR3
29,LAPTM4A
30,ATP1B3
31,FSTL3
32,DGCR2
33,RPL31
34,ATP6AP1
35,CYBRD1
36,SPEG
37,LLGL2
38,ST6GAL1
39,PLD1
40,STXBP2
41,FBLN1
42,MAP2
43,MKNK1
44,TNS1
45,PKP1
46,NFE2L1
47,RNF13
48,GSTP1
49,CD59
50,CD82
51,CHMP5
52,TMPRSS11E
53,RFX2
54,FXYD3
55,BLVRB
56,YPEL3
57,NDUFB2
58,P3H2
59,MYL6
60,CRAT
61,DSP
62,NDUFB7
63,GADD45B
64,DDTL
65,SLC5A1
66,TOM1
67,ABHD4
68,FKBP3
69,SDR39U1
70,ATP6V1D
71,PAPLN
72,CST3
73,POLI
74,MSLN
75,NME3
76,CORO2B
77,AP3B2
78,CTSH
79,BMF
80,DECR1
81,NIPAL2
82,MAN2B1
83,RPS16
84,RPS19
85,RABAC1
86,CYTH2
87,ETHE1
88,GSDME
89,HSPB1
90,ZNHIT1
91,AK1
92,PIP5K1B
93,PDLIM1
94,PLEKHA1
95,UNC5B
96,CCDC6
97,PNPO
98,COL1A1
99,CACNG1
100,TBC1D9
101,LRP2BP
102,CRYAB
103,FOLR1
104,FOLR3
105,ARHGEF17
106,SLC1A2
107,SOX6
108,COX6A1
109,NEDD9
110,SOD2
111,RPS12
112,PERP
113,IMPG1
114,LAMA4
115,NME5
116,C9
117,ATP6V0E1
118,CLDN16
119,COL7A1
120,IQCG
121,KCNIP3
122,GNLY
123,WNT6
124,ID2
125,SLC1A4
126,DNAJC16
127,RHOU
128,C1orf21
129,RGS2
130,OLFML3
131,NID1
132,GBP3
133,ID3
134,RPS25
135,USP35
136,VAMP8
137,PPL
138,YPEL5
139,DNAJC15
140,NFYB
141,CLU
142,UBL3
143,PQLC1
144,ACADS
145,GIPC1
146,ACVR1C
147,PMS2P5
148,ATP5F1E
149,CDH26
150,BCAS4
151,NEURL2
152,POF1B
153,NDUFA1
154,RPL23
155,C3
156,TNFSF14
157,BMP2
158,S1PR4
