,upgenes
0,SS18L2
1,STAB1
2,FMO1
3,QPCTL
4,TACC3
5,NPC1L1
6,CYP24A1
7,TBPL1
8,ZIC2
9,DGKG
10,ADCK1
11,SNAP91
12,REEP1
13,SMC1A
14,VDAC1P1
15,ICAM3
16,MCAM
17,CDC14B
18,SRRT
19,L2HGDH
20,PDRG1
21,ABCC6
22,ORC6
23,PDE6C
24,CRTAC1
25,SEZ6L
26,PDGFB
27,PAK5
28,CEP76
29,MOSPD1
30,SUV39H1
31,DHODH
32,NARFL
33,C19orf44
34,ARRDC2
35,TAF6
36,USP42
37,ACTR3C
38,GATA3
39,GIT1
40,ANXA10
41,CHORDC1
42,FOXM1
43,FZD10
44,RAB23
45,FBRSL1
46,GTF3C2
47,HTRA2
48,SLC1A4
49,CTH
50,MYCL
51,ARID1A
52,RAB14
53,RBM18
54,AFTPH
55,CNNM1
56,TP53AIP1
57,TSFM
58,ORMDL2
59,FASTKD3
60,ATP8A1
61,PTGER2
62,SLC25A19
63,SIX1
64,HSPA2
65,FAM78A
66,USHBP1
67,FCHO1
68,DNMT1
69,AKAP12
70,CYP2J2
71,NAT10
72,B4GALNT1
73,DYSF
74,STAB2
75,IL6
76,AOAH
77,TM6SF1
78,FOXP4
79,TJAP1
80,THBS1
81,PLCB2
82,DBR1
83,LGR5
84,PELP1
85,TPGS1
86,NR1I3
87,SYT14
88,GRIP2
89,NXPE3
90,FAXC
91,RAB41
92,ITGB1BP2
93,MFHAS1
94,POLE3
95,ANKRD1
96,RPP30
97,NOCT
98,DIP2C
99,BAG3
100,PART1
101,OTUD6B
102,DCK
103,SCAF4
104,LRFN2
105,RPUSD3
106,SYN2
107,NLRP14
108,ZC3H18
109,SYNJ1
110,CCDC24
111,CBR1
112,ZYX
113,GNE
114,TBC1D24
115,ALPP
116,COL6A3
117,KLF15
118,PIGX
119,CCDC127
120,ZNF12
121,CLDN2
122,LARGE2
123,GABRB3
124,FAM96A
125,TAC3
126,NYAP1
127,TEF
128,CDT1
129,SEMA6B
130,CAVIN2
131,Z99496.1
132,MYO7B
133,ADORA2B
134,SOX7
135,ATP6V0E2
136,DSEL
137,NLRP5
138,LRRC34
139,RHNO1
140,CLEC12A
141,RAB37
142,ZBTB21
143,MYO1H
144,C3orf33
145,FOXC2
146,PPFIA3
147,SRRM3
148,MCMDC2
149,TMEM52
150,ATP8B5P
151,NRXN1
152,TMEM86B
153,C11orf71
154,RNF182
155,HIST3H2BA
156,DLSTP1
157,OR52A1
158,NXPH4
159,CAPN12
160,BEGAIN
161,TREX2
162,CBX6
163,ADAP2
164,BRD7P2
165,FAM167A-AS1
166,NOC4L
167,SIGIRR
168,GP1BA
169,ZNF74
170,SV2B
171,NR2F2
172,MATN1-AS1
173,TMEM212
174,ZNF70
175,ANKRD62P1-PARP4P3
176,MYL6B
177,ZNF628
178,IFNA1
179,CSF2RA
180,HYLS1
181,NRARP
182,EGFL6
183,GRIN3A
184,SCAMP5
185,MFAP3L
186,LINC01317
187,PHACTR4
188,RNF39
189,DPF3
190,AL359878.1
191,GNRHR2
192,NPM1P46
193,HSPD1P1
194,RPL21P2
195,AL109918.1
196,NUFIP1P
197,AC112721.2
198,AL391987.2
199,TNRC18P2
200,AF230666.1
201,LINC02561
202,MDC1-AS1
203,LAMC1-AS1
204,TMEM72-AS1
205,COL4A2-AS2
206,DAP3P1
207,AC016027.1
208,AC073346.1
209,GBP1P1
210,AC069282.1
211,MTOR-AS1
212,TMEM185B
213,LINC01692
214,WDR11-AS1
215,AC099066.2
216,LINC01068
217,AL358075.2
218,AL365277.1
219,AL031283.1
220,AL391839.1
221,HOXB-AS1
222,PPP5D1
223,AC027612.2
