,upgenes
0,TSPAN6
1,SCYL3
2,LAP3
3,AOC1
4,KLHL13
5,CYP26B1
6,DBNDD1
7,TFPI
8,FKBP4
9,KDM1A
10,UPF1
11,SKAP2
12,MCUB
13,CIAPIN1
14,WDR54
15,KMT2E
16,ITGA3
17,OSBPL7
18,MAP3K9
19,RALA
20,ETV1
21,ALDH3B1
22,PHTF2
23,FARP2
24,COX10
25,CCDC124
26,TSR3
27,PIGQ
28,E2F2
29,DLEC1
30,ST3GAL1
31,RHOBTB2
32,POMT2
33,METTL13
34,NCAPD2
35,FUZ
36,LYPLA2
37,CLCN6
38,MRC2
39,NME1-NME2
40,LARS2
41,ANLN
42,MBTPS2
43,SLC25A39
44,POLR3B
45,DDX11
46,TACC3
47,COX15
48,ZMYND11
49,IL20RA
50,WWTR1
51,VSIG2
52,MRE11
53,AQR
54,SLC45A4
55,PLEKHO1
56,DEPDC1
57,NCAPH2
58,TOMM34
59,KCNG1
60,TFB1M
61,NUP160
62,RANBP3
63,EIPR1
64,ABCF2
65,SLC4A7
66,MAP2K3
67,TMSB10
68,PEX3
69,GABARAPL2
70,FAM136A
71,TUBG2
72,RPL26L1
73,VCAN
74,RAI14
75,PNKP
76,STAU2
77,PHF23
78,INPP4A
79,THAP3
80,TDP1
81,JADE2
82,ZIC2
83,CUL7
84,GPM6B
85,CTPS2
86,DTNBP1
87,GOPC
88,USP28
89,FAM120A
90,CLPTM1L
91,NEDD4L
92,PTCD2
93,PIK3CB
94,FNIP2
95,AKR7A2
96,USE1
97,MCF2L2
98,ANAPC4
99,ATP9A
100,RELT
101,NOP58
102,FAM114A2
103,SOAT1
104,PKP2
105,CDK14
106,GNA15
107,QSER1
108,HDAC7
109,SFSWAP
110,SPHK2
111,U2AF2
112,HAGH
113,LIMCH1
114,ST3GAL6
115,ATP2C2
116,TAF2
117,RFXANK
118,EYA2
119,CNN2
120,PMS1
121,ANKS1A
122,AP3D1
123,IPO5
124,WDR18
125,MCM10
126,SPEN
127,SEC61A2
128,PRKCQ
129,FAM107B
130,ZBTB11
131,TRMT11
132,ATG2B
133,ZFAT
134,EVI5
135,IDH3G
136,ROCK1
137,CBFB
138,HYAL2
139,HDAC4
140,COASY
141,PRR11
142,POLR1A
143,SRBD1
144,KIF2A
145,BCL3
146,PIGB
147,RAB27A
148,HDHD5
149,ST6GALNAC1
150,GBA2
151,ASNS
152,PABPC1
153,EIF2B3
154,TCOF1
155,OSBPL3
156,ARHGAP10
157,BUD23
158,RDH11
159,PRKACA
160,MPP5
161,RHOBTB1
162,SMC1A
163,HMMR
164,TRHDE
165,MCM2
166,ST6GAL1
167,CLASP1
168,PPP2R2C
169,EED
170,NTN4
171,SLC24A1
172,NUP37
173,SEMA3A
174,RASAL2
175,ZNF37A
176,FRYL
177,SART3
178,MKRN2
179,MCM6
180,REXO2
181,UNG
182,PLXNA2
183,TPD52
184,GPC4
185,DGKD
186,TOP2B
187,CAPN6
188,EXOSC5
189,NAALAD2
190,ACER3
191,UBE2K
192,TIGAR
193,VDAC3
194,TNRC6C
195,ITCH
196,THOC1
197,FKBP7
198,OSBPL6
199,SLC1A3
200,CDC14A
201,CARMIL1
202,SLC35C2
203,RFX3
204,CNOT4
205,NDC80
206,EXD2
207,ZNF510
208,HSPB11
209,PHLPP1
210,IL12RB2
211,WDR70
212,KCNK2
213,TRAF5
214,MRPL22
215,ULK2
216,PIBF1
217,TDRD3
218,PDS5B
219,FAT1
220,CHMP2B
221,ZMPSTE24
222,WBP11
223,CAD
224,MECOM
225,ATG16L1
226,USP40
227,RAD54L
228,MAST2
229,DIMT1
230,MRPL28
231,FAT2
232,TMED2
233,ZW10
234,SRRT
235,PSMC5
236,L2HGDH
237,ALG6
238,PTPN4
239,PDRG1
240,KIF9
241,PPP1R13B
242,SNX5
243,SLC23A2
244,PXN
245,KIF16B
246,FUS
247,RCOR1
