,dwgenes
0,C1orf112
1,FKBP4
2,CAMKK1
3,LIG3
4,DBF4
5,E2F2
6,NFIX
7,ST3GAL1
8,FAM76A
9,ZNF207
10,NCAPD2
11,PTBP1
12,ANLN
13,BRCA1
14,PRICKLE3
15,DDX11
16,TACC3
17,ZC3H3
18,IL20RA
19,SLC11A1
20,ZFP64
21,MRE11
22,ZDHHC6
23,PLEKHO1
24,BCLAF1
25,HMGB3
26,NUP160
27,DEPDC1B
28,NSMAF
29,RFC1
30,METTL1
31,MAT2B
32,SPDL1
33,TDP1
34,ZIC2
35,TPR
36,RFC2
37,POLQ
38,ZFR
39,IL17RB
40,MSH4
41,USP13
42,SNRNP40
43,GUCY1B1
44,U2AF2
45,EYA2
46,MCM10
47,PDIA5
48,FAM107B
49,MTHFD2
50,SMARCD1
51,ASPM
52,LRRC40
53,ISOC1
54,PRR11
55,SDK2
56,AP3M2
57,TCOF1
58,RAD18
59,TRIP13
60,TCF3
61,DAZAP1
62,MBD3
63,SMC1A
64,HMMR
65,MCM2
66,ADAM11
67,MRPS34
68,TIPIN
69,NUP37
70,GTSE1
71,ADD2
72,FSCN1
73,MOCOS
74,WDR62
75,SART3
76,MCM6
77,RAP1GAP
78,UBE2T
79,SNRPA
80,SPAG6
81,SYNJ2
82,UBE2D4
83,THOC1
84,KIF22
85,EPB41L2
86,RIMS1
87,NDC80
88,CCNT2
89,PALB2
90,KAT6A
91,CAD
92,SEH1L
93,ORC1
94,ATG16L1
95,RAD54L
96,SEPHS1
97,MRPL28
98,SRRT
99,ADAMTS2
100,L2HGDH
101,KLHL42
102,DNM1L
103,KHSRP
104,DNMT3B
105,TPX2
106,KDM2B
107,DHX32
108,NUDC
109,TFAP4
110,KIF4A
111,PLEKHG2
112,MYO15A
113,ORC6
114,SUPT16H
115,GEMIN2
116,WDR76
117,CDC45
118,CDC6
119,AAAS
120,MSH2
121,CDC7
122,POLRMT
123,RANBP1
124,CRKL
125,PES 1.00
126,CARD10
127,PATZ1
128,SUN2
129,MCAT
130,MCM5
131,TTLL12
132,FOXRED2
133,L3MBTL2
134,RANGAP1
135,PHF5A
136,TRMU
137,POLE2
138,PIGH
139,AHSA1
140,SIX4
141,ZFYVE21
142,MTHFD1
143,VRK1
144,PCK2
145,PNN
146,NELFCD
147,TUBB1
148,CDC25B
149,FERMT1
150,TTI1
151,E2F1
152,FAM83D
153,DHX35
154,PIGU
155,SMCHD1
156,POLA1
157,ACD
158,POLR2C
159,NPRL3
160,SLC7A5
161,UBE2I
162,MAZ
163,CSK
164,RPAP1
165,GABPB1
166,OIP5
167,NBN
168,JPH1
169,ERI1
170,ARHGEF10
171,MCM4
172,NFKBIB
173,SF3A2
174,SGTA
175,TIMM44
176,CCNE1
177,FBL
178,HNRNPUL1
179,TGFB1
180,MRPL4
181,GRWD1
182,LIG1
183,ARRDC2
184,ARMC6
185,USF2
186,NOD1
187,PTPRZ1
188,RBM28
189,LSM 5.00
190,NRF1
191,EZH2
192,CORO2A
193,NCS1
194,SH3GL2
195,DDX50
196,NSMCE4A
197,NPM3
198,FBXL15
199,UBE2S
200,PPIF
201,UBTF
202,KPNB1
203,SMARCD2
204,DHX15
205,NEIL3
206,NSD2
207,UGDH
208,HSPA8
209,TMEM109
210,MDK
211,EXPH5
212,PRDM4
213,PTGES3
214,FOXM1
215,RAD51AP1
216,RFC5
217,CAND1
218,NUP107
219,TIMELESS
220,CPSF6
221,CDCA3
222,RAB35
223,AC009533.1
224,PAK1IP1
225,MCM3
226,GPR63
227,SRF
228,PRPF4B
229,TTK
230,SLC29A1
231,NUDT12
232,CEP72
233,PAPD7
234,KIF20A
235,HSPA9
236,LMNB1
237,RAD1
238,BRIX1
239,DPYSL3
240,STC2
241,SMC4
242,ECT2
243,KLHL18
244,RRP9
245,PLCH1
246,CLCN2
247,NEK4
248,NCL
249,TFCP2L1
250,CENPA
251,GTF3C2
252,PPM1G
253,OTX1
254,PLCD4
255,WNT6
256,ODC1
257,SRSF7
258,TIA1
259,MSH6
260,SFPQ
261,SRM
262,MAD2L2
263,IVNS1ABP
264,MIIP
265,TFAP2E
266,TTF2
267,C1orf109
268,CDC20
269,B4GALT2
270,NEK2
271,CENPF
272,RPA2
273,PPP1R8
274,MARC2
275,KIF14
276,MYB
277,DCLRE1B
278,C1orf198
279,CNTRL
280,PHF19
281,NEK6
282,LGALSL
283,EPCAM
284,HELLS
285,NUDCD1
286,MASTL
287,CCDC77
288,PROSER1
289,SMAD9
290,TMPO
291,UBIAD1
292,ZNF706
293,AKAP1
294,NCAPH
295,MND1
296,RNF2
297,TMEM39B
298,ZSCAN20
299,MRPS2
300,PQLC1
301,CCZ1
302,TRIM24
303,ZWINT
304,CIT
305,DDX54
306,DDX39A
307,CENPK
308,TUBA1B
309,STIL
310,HJURP
311,NDUFAF4
312,TTC21B
313,SLC36A1
314,EXOSC9
315,AGO2
316,HMGB1P1
317,NCOA5
318,DDX27
319,WRNIP1
320,HIST1H1D
321,NQO2
322,HIST1H2BJ
323,TBCC
324,DEK
325,EEF1E1
326,NUP85
327,SLC25A19
328,MSTO1
329,SLC2A4RG
330,AC046185.1
331,TRIP10
332,GZF1
333,CENPB
334,SNRPB
335,MRPS26
336,HNRNPR
337,PLAGL2
338,PDCD2L
339,RBM42
340,UBA2
341,PRMT1
342,TRAP1
343,ELK1
344,DLGAP5
345,BCL11B
346,TMEM175
347,AUNIP
348,PKMYT1
349,CHTF18
350,SMARCA4
351,VIL1
352,DGCR6L
353,YWHAH
354,CDC42EP1
355,KNSTRN
356,PIMREG
357,ILF3
358,PARP2
359,MIS18BP1
360,ECSIT
361,ELOF1
362,TOMM40
363,XPO7
364,FCHO1
365,PAK4
366,EXOSC2
367,UCK1
368,TRIM28
369,ATG4D
370,ARHGEF16
371,DNMT1
372,SLC6A8
373,DKC1
374,ACSS2
375,ZNF428
376,GINS2
377,F12
378,PRR7
379,HAUS8
380,THOC6
381,TOP2A
382,KHDRBS3
383,SNRPA1
384,DHX30
385,NUP210
386,ARFIP2
387,CLUH
388,RPA1
389,FIGNL1
390,NIP7
391,DPH2
392,TOE1
393,NASP
394,RBM38
395,HMGB1P5
396,MYH10
397,CCNA1
398,RFC3
399,SRRM1
400,CNDP2
401,WDR74
402,LRRCC1
403,CCNB1
404,PRPF38B
405,PSRC1
406,YARS
407,CDCA8
408,SLC43A3
409,DHX34
410,ETS1
411,C9orf40
412,MTO1
413,CDK4
414,TROAP
415,ESPL1
416,TAF5L
417,USP37
418,PWP1
419,ABHD17C
420,BRIP1
421,ACTL6A
422,TRA2B
423,KCTD3
424,SMPD4
425,IMP4
426,ODF2
427,PRPF4
428,RABEPK
429,ANP32B
430,DSCC1
431,POLR1E
432,HINT2
433,FOXF2
434,TCF19
435,MDC 1.00
436,MRPL15
437,TTPA
438,NUSAP1
439,KNL1
440,SMAD6
441,SLC5A6
442,STAMBPL1
443,KIF11
444,CEP55
445,KIF20B
446,DNA2
447,BARD1
448,UBL7
449,ZGRF1
450,CENPE
451,HADH
452,TAPBPL
453,NEDD1
454,TCHP
455,SLC7A1
456,TARBP2
457,BRCA2
458,KANSL2
459,LYSMD2
460,SLC27A2
461,TLE3
462,PIF1
463,TICRR
464,COPS3
465,UTP4
466,PELP1
467,WRAP53
468,TP53
469,EIF4A3
470,FN3KRP
471,FOXK2
472,SAMD1
473,DUS3L
474,CCDC97
475,SAE1
476,ZNF787
477,CARM1
478,ACP4
479,ZNF473
480,NOSIP
481,ZNF593
482,PLK4
483,KIF2C
484,MTF2
485,IGSF3
486,NUF2
487,PFDN2
488,MRPL9
489,DTL
490,TAF1A
491,ILF2
492,MAP3K21
493,PARP1
494,LBR
495,SOX13
496,CDCA7
497,CTDSP1
498,CNOT9
499,POMGNT2
500,STAC
501,DCAF1
502,SLC10A6
503,ENOPH1
504,TIFA
505,CCNA2
506,C1QTNF2
507,TRIM7
508,MUT
509,PRIM2
510,MMS22L
511,FAXC
512,PM20D2
513,CDCA5
514,NCAPG2
515,CHMP7
516,ZNF7
517,SLC39A4
518,HAUS6
519,POLE3
520,PDSS1
521,MKI67
522,TAF5
523,PPRC1
524,APIP
525,SSRP1
526,SERPINH1
527,PAK1
528,P4HA3
529,ST14
530,INCENP
531,CPSF7
532,CCDC15
533,SOGA1
534,CABLES2
535,HIRIP3
536,TEX30
537,NCAPD3
538,CENPU
539,CENPJ
540,FBXO4
541,AC073869.1
542,RNF219
543,SPC25
544,SUV39H2
545,DCLRE1C
546,SPEF2
547,SPARCL1
548,ANKRD22
549,HNRNPDL
550,HNRNPU
551,FRMD1
552,UBP1
553,KCTD15
554,MCOLN2
555,MMP21
556,GABPA
557,SLFN13
558,CCDC174
559,OXNAD1
560,SKA1
561,EME1
562,MIER3
563,NUP205
564,ALS2CR12
565,TMEM237
566,GPR61
567,SCAF4
568,BAG4
569,WDYHV1
570,ATAD2
571,MFSD14A
572,BUB1B
573,BRPF1
574,PAXIP1
575,FZD1
576,CCNB2
577,FAM81A
578,APPL1
579,AFAP1L1
580,MX1
581,TMEM268
582,PSMG3
583,SLC37A3
584,GAREM2
585,GALNT14
586,FANCC
587,FAIM
588,HIST1H2BD
589,CDC25C
590,TMSB15B
591,ZSCAN12
592,MIS18A
593,GART
594,CHAF1B
595,HK2
596,ZNF362
597,RRP1B
598,C21orf58
599,PCNT
600,CCDC12
601,TONSL
602,RECQL4
603,MAML1
604,YDJC
605,DBF4B
606,RACGAP1
607,RAVER1
608,SENP3
609,POLR3K
610,TEDC2
611,COA7
612,MAGOH
613,SDC3
614,RBBP4
615,ZNF496
616,HAAO
617,B3GALNT2
618,NUP35
619,C2orf48
620,PAQR3
621,ADORA1
622,CIP2A
623,EOMES
624,CHCHD4
625,COX18
626,GMPS
627,KIF15
628,YEATS2
629,RFC4
630,SLBP
631,SLC9B2
632,CDC25A
633,POC1A
634,HMGB2
635,SAP30
636,MAD2L1
637,CCDC112
638,TERT
639,FOXQ1
640,DCBLD1
641,CDCA7L
642,HEY1
643,FABP5
644,RAD21
645,MED30
646,DNAAF5
647,DCAF13
648,HGSNAT
649,ANKS6
650,ZNF367
651,SLC16A9
652,SKA3
653,ARF6
654,COMTD1
655,ABRAXAS2
656,ZMYND19
657,METTL3
658,E2F7
659,PTER
660,SMCO4
661,RPUSD2
662,NOLC1
663,ZNF202
664,TUB
665,XRRA1
666,MCM7
667,SAAL1
668,PLK1
669,NEMP1
670,SCG5
671,DIS3L
672,EPB42
673,NUDT21
674,DOLPP1
675,C15orf39
676,RRM1
677,RAB8A
678,KLHL26
679,GATAD2A
680,CDT1
681,TUBA1A
682,ZNF701
683,CHAF1A
684,C19orf48
685,SPRYD3
686,CDK2AP2
687,NUDT8
688,ZNF232
689,SLC3A2
690,SAC3D1
691,SCARA3
692,PBK
693,NT5DC2
694,PXK
695,HIST1H1E
696,DTYMK
697,RFWD3
698,STIP1
699,HR
700,REEP4
701,FEN1
702,FAM84B
703,LCMT2
704,SNTB2
705,USP39
706,CHST14
707,XPO6
708,SNUPN
709,BUB1
710,FASN
711,HNRNPF
712,P2RY1
713,CNTROB
714,ZNF212
715,CDK1
716,NFRKB
717,PFKFB3
718,KCNS3
719,CDCA4
720,RIOX2
721,C8orf74
722,NETO2
723,FAM241B
724,SHCBP1
725,FAM98B
726,CHD7
727,ESCO2
728,POLR1C
729,ZNF584
730,SLC25A33
731,SPATA5L1
732,RRM2
733,THOP1
734,KLF11
735,MTBP
736,COPRS
737,ZNF24
738,HCFC1
739,MUS81
740,NAA16
741,LCLAT1
742,GRK2
743,CKS1B
744,IQCB1
745,SSSCA1
746,SLC19A1
747,RCE1
748,CBX2
749,RGMB
750,PRPF8
751,DDX23
752,EXO1
753,ZWILCH
754,UGT8
755,SLCO2A1
756,SLC29A2
757,HRAS
758,UBE2C
759,CSRP2
760,CKAP5
761,PTPN2
762,ZNF25
763,P2RY2
764,TMEM70
765,RMI2
766,ZNF77
767,UBE2O
768,ATAD5
769,SLC35G1
770,LMNB2
771,METRNL
772,THAP4
773,POLE
774,RHOG
775,PUS1
776,HNRNPA0
777,AC098864.1
778,CHID1
779,BOLA1
780,BEND3
781,DHFR2
782,RPP25
783,ERFE
784,EXOSC4
785,RMI1
786,AURKB
787,TMEM107
788,RRS1
789,RCC2
790,CYC1
791,RAD23A
792,GEMIN4
793,GCC1
794,LSMEM2
795,MAF 1.00
796,PCBP1-AS1
797,RNF227
798,TIGD5
799,PUF60
800,ZNF48
801,RCC1
802,SLC47A2
803,GPR157
804,PSMG4
805,FKRP
806,OGFOD3
807,ZBTB2
808,FANCB
809,MEX3D
810,AMIGO1
