,dwgenes
0,SLC25A5
1,LIG3
2,RHBDD2
3,TNFRSF12A
4,MAP3K9
5,GGCT
6,KIAA0100
7,DNAJC11
8,E2F2
9,MED24
10,TRAF3IP3
11,NCAPD2
12,FMO1
13,LYPLA2
14,ANOS1
15,DPF1
16,LARS2
17,PLAUR
18,QPCTL
19,UBR7
20,PSMC4
21,POLR3B
22,TACC3
23,NPC1L1
24,CYP24A1
25,NCDN
26,EHD2
27,DEPDC1
28,SLAMF7
29,TBPL1
30,ARHGAP31
31,ABCF2
32,TMSB10
33,DEPDC1B
34,RPL26L1
35,CDH1
36,RAI14
37,PHF23
38,TDP1
39,R3HDM1
40,EPN3
41,MPHOSPH9
42,MSMO1
43,RELT
44,CAMK2B
45,NDC1
46,DGKG
47,STYK1
48,MPC1
49,CS
50,POLD1
51,ISOC2
52,CNN2
53,AP3D1
54,OAT
55,MCM10
56,ADAT1
57,SPEN
58,SNAP91
59,FAM107B
60,MTFR1
61,PFKP
62,IDI1
63,PKM
64,HYAL2
65,FUNDC1
66,HES2
67,ASNS
68,PABPC1
69,TCOF1
70,BUD23
71,DAZAP1
72,MBD3
73,PRKACA
74,ACTN1
75,SMC1A
76,MARK2
77,HMMR
78,DERL2
79,NDE1
80,AP1M1
81,SCARB1
82,NLE1
83,ST6GAL1
84,VDAC1P1
85,MRPS34
86,TACR2
87,SEMA3A
88,GTSE1
89,TIMM21
90,ACTB
91,WDR62
92,MCM6
93,REXO2
94,PTPN23
95,UNG
96,MCAM
97,UBE2T
98,GTF3C1
99,SNRPA
100,ARAF
101,FAP
102,UBE2D4
103,LXN
104,KIF22
105,CHMP2B
106,SMAP2
107,GSTP1
108,WBP11
109,CAD
110,AK6
111,ORC1
112,MGST2
113,SNX10
114,SEPHS1
115,FAT2
116,LAT2
117,HUWE1
118,SRRT
119,L2HGDH
120,SF3B2
121,TFAP2C
122,AURKA
123,CNOT3
124,KHSRP
125,TPX2
126,FER1L4
127,PDRG1
128,DYNLL1
129,PXN
130,FUS
131,BIRC5
132,RCOR1
133,SLC9A1
134,NUDC
135,SPG21
136,EFNB1
137,AARS
138,ORC6
139,PHGDH
140,CLSPN
141,CDC45
142,CDC6
143,NUP188
144,TMEM14A
145,SCD
146,KCNK6
147,ATP5F1D
148,CBARP
149,TECR
150,MKNK2
151,RANBP1
152,DDT
153,SUSD2
154,SF3A1
155,CARD10
156,SLC25A1
157,SEZ6L
158,CENPM
159,TOMM22
160,CYB5R3
161,AP1B1
162,MCM5
163,TTLL12
164,MIEF1
165,MYH9
166,EP300
167,PHF5A
168,POLR3H
169,TRMU
170,ZBED4
171,GNPNAT1
172,CDKN3
173,AHSA1
174,SPTLC2
175,SIX4
176,ERH
177,CHD8
178,BRMS1L
179,ZMYND8
180,MYBL2
181,TUBB1
182,NOP56
183,FAM83D
184,CEP76
185,LIPG
186,USP11
187,SRPX2
188,SYTL4
189,CENPI
190,NUTF2
191,NUP93
192,DHODH
193,HAS3
194,FA2H
195,COTL1
196,SLC7A5
197,UBFD1
198,DNAJA3
199,AAGAB
200,RAB11A
201,CD276
202,ZNF106
203,CA2
204,IMPAD1
205,POP1
206,PLAT
207,ESRP1
208,ERI1
209,LEPROTL1
210,GYS1
211,ASF1B
212,C19orf44
213,EPHX3
214,SYDE1
215,CASP14
216,TIMM50
217,FBL
218,GPI
219,MRPL4
220,WDR83OS
221,COPE
222,SIPA1L3
223,ATP6V0A4
224,H2AFV
225,HOXA1
226,CASP2
227,PDAP1
228,BUD31
229,TAF6
230,IMPDH1
231,LSM 5.00
232,AP1S1
233,RPA3
234,MEST
235,MRPL32
236,POLD2
237,YKT6
238,LIMK1
239,TRIM14
240,AKNA
241,ENG
242,RLN2
243,CA9
244,NPM3
245,GBF1
246,EDRF1
247,UBE2S
248,DNAJC12
249,PFN1
250,CCDC47
251,PSMD11
252,LGALS3BP
253,LRRC59
254,PHF12
255,NMU
256,ANXA10
257,AADAT
258,SC5D
259,HSPA8
260,CCND1
261,CHORDC1
262,NECTIN1
263,NDUFS8
264,MLEC
265,PTGES3
266,KRT18
267,FOXM1
268,GPRC5D
269,OAS3
270,RASAL1
271,ARHGDIB
272,RFC5
273,TIMELESS
274,NOP2
275,CDCA3
276,TPI1
277,ATN1
278,LPCAT3
279,AL021546.1
280,FBXO5
281,PPARD
282,MRPL18
283,MCM3
284,BAG2
285,ARFGEF3
286,BYSL
287,TTK
288,KIF20A
289,ARSB
290,CNOT6
291,SUB1
292,SLC27A6
293,RAD1
294,DPYSL3
295,FAM162A
296,PFKFB4
297,TUSC2
298,SPCS1
299,SF3B6
300,CENPA
301,GTF3C2
302,ITGB6
303,PCGF1
304,AUP1
305,TXNDC9
306,ZNF142
307,PASK
308,ID2
309,DLX2
310,CACYBP
311,MECR
312,WDR77
313,ARHGEF2
314,SRM
315,PLA2G4A
316,OLFML3
317,PHTF1
318,KIF21B
319,WARS2
320,MYCL
321,ADGRL2
322,SSX2IP
323,GBP3
324,SLC2A1
325,CDC20
326,DARS2
327,SERPINC1
328,STMN1
329,RPS6KA1
330,PROX1
331,ARID1A
332,CENPF
333,KIF14
334,NRP2
335,ARG1
336,CPSF3
337,RAB14
338,RBM18
339,YLPM1
340,LTBP2
341,SLIRP
342,TMEM214
343,FAM98A
344,EPCAM
345,C10orf95
346,CD274
347,CENPL
348,TP53AIP1
349,SMAD9
350,EXOSC8
351,UTP20
352,TMPO
353,GLT8D2
354,SORBS3
355,LRAT
356,MND1
357,GJA3
358,TMEM39B
359,FAM213A
360,MRM2
361,CISD1
362,DDX39A
363,ZC3H13
364,CENPK
365,TSFM
366,ORMDL2
367,STIL
368,RAB38
369,CKS2
370,CHPF
371,PIGT
372,NCOA5
373,ATP8A1
374,MRS2
375,SNRPC
376,AARS2
377,HIST1H1A
378,RPS10
379,KLHDC3
380,MT2A
381,GOT2
382,UPF3B
383,SEPT6
384,MRPS7
385,ARMC7
386,SLC25A19
387,PPDPF
388,DTD1
389,SNRPB
390,RRBP1
391,CHURC1-FNTB
392,PSMB2
393,AGO3
394,DNAJC8
395,ELK1
396,DLGAP5
397,HSPA2
398,AIF1L
399,UBR4
400,PKMYT1
401,SMARCA4
402,TUBA4A
403,AAMP
404,ECHS1
405,GNG11
406,YWHAH
407,CDC42EP1
408,RAC2
409,RIBC2
410,PODXL
411,HERC2
412,PIMREG
413,TXNDC17
414,MPDU1
415,SLC44A2
416,AP1M2
417,FOXA1
418,SEC14L1
419,RTN4IP1
420,LSM 4.00
421,LSP1
422,TNNI2
423,TAF4
424,UBE2M
425,ZC3H4
426,SMPDL3B
427,MED18
428,DNMT1
429,SLC6A8
430,LRP3
431,UBA1
432,ULBP3
433,HIGD1B
434,GINS2
435,F12
436,MRPS25
437,TUBG1
438,PSME3
439,ACLY
440,TOP2A
441,FMO5
442,PIAS3
443,PDHA1
444,FAAP24
445,SLC6A11
446,NUP210
447,RRP8
448,MYBBP1A
449,COQ3
450,SEC61G
451,LANCL2
452,REEP2
453,PCBD2
454,FLOT2
455,DPH2
456,KANK4
457,HMGB1P5
458,LOXL2
459,CCNB1
460,BHLHE40
461,KATNBL1
462,PSRC1
463,TIMM17A
464,EMP1
465,STK26
466,CDCA8
467,FADS2
468,OSTF1
469,RFK
470,PSAT1
471,NAT10
472,EHF
473,TROAP
474,ESPL1
475,KRT87P
476,KRT7
477,URB2
478,ALDH1L2
479,FLNB
480,CKAP2
481,LMO7
482,SPRY2
483,LCP1
484,IL6
485,AOAH
486,TTYH3
487,TACO1
488,MRPL47
489,IL1RN
490,STXBP1
491,PRPF4
492,MRPL50
493,RPL35
494,DSCC1
495,DMAC1
496,ARHGEF39
497,FOXP4
498,TUBB2B
499,UQCC2
500,TCF19
501,MDC 1.00
502,VARS2
503,FGFBP1
504,GGH
505,NUSAP1
506,KIF23
507,PLCB2
508,PAK6
509,SELENOI
510,PNPT1
511,ACTR2
512,PREB
513,CENPO
514,KIF11
515,CEP55
516,DBR1
517,ZNF365
518,MYPN
519,IDH1
520,COX17
521,PARP9
522,UBL7
523,FBN2
524,PHLDA1
525,LGR5
526,SNRPF
527,GAS2L3
528,NABP2
529,BRCA2
530,SETD1B
531,TTC6
532,SLC27A2
533,TLE3
534,COMMD4
535,WDR61
536,POLG
537,TICRR
