,symbol,hgnc
0,AOC3,550
1,AOC1,80
2,AOC2,549
3,CYP24A1,2602
4,CYP27B1,2606
5,SDS,10691
6,SULT1A3,11455
7,UEVLD,30866
8,LDHB,6541
9,LDHAL6A,28335
10,LDHA,6535
11,LDHC,6544
12,LDHAL6B,21481
13,PDHX,21350
14,OGDH,8124
15,DLD,2898
16,DLST,2911
17,ADH6,255
18,ADH1A,249
19,ADH4,252
20,ADH1B,250
21,ADH1C,251
22,ADH5,253
23,ADH7,256
24,ADHFE1,16354
25,COMT,2228
26,ALDH3B1,410
27,ALDH3B2,411
28,ALDH1A3,409
29,ALDH3A1,405
30,HPD,5147
31,KDSR,4021
32,HAAO,4796
33,ECHDC2,23408
34,AADAT,17929
35,KYAT1,1564
36,DDC,2719
37,HIBCH,4908
38,MAOA,6833
39,MAOB,6834
40,ACP5,124
41,ACP6,29609
42,ACP3,125
43,ACP2,123
44,CSAD,18966
45,GAD1,4092
46,GAD2,4093
47,GOT1,4432
48,GOT2,4433
49,ALDH4A1,406
50,SULT1A1,11453
51,SULT1A2,11454
52,SULT2A1,11458
53,AOX1,553
54,ALDH1B1,407
55,ALDH2,404
56,IDO1,6059
57,MAN2C1,6827
58,MAN2B1,6826
59,A4GALT,18149
60,A4GNT,17968
61,AACS,21298
62,ABO,79
63,ABAT,23
64,ALDH9A1,412
65,ACAA2,83
66,HADHB,4803
67,ACAT1,93
68,ACAT2,94
69,HADHA,4801
70,ACAA1,82
71,ACACB,85
72,ACACA,84
73,ACSS2,15814
74,ACSS3,24723
75,ACSS1,16091
76,RENBP,9959
77,GNPNAT1,19980
78,NAGK,17174
79,PGM3,8907
80,PIGL,8966
81,NAGS,17996
82,ACHE,108
83,ACLY,115
84,NANS,19237
85,NANP,16140
86,ACADM,89
87,ACADSB,91
88,ACAD11,30211
89,ACADS,90
90,ACAD9,21497
91,ACAD8,87
92,ACAD10,21597
93,IVD,6186
94,ACOT12,24436
95,ACOX1,119
96,FASN,3594
97,ACY1,177
98,ACO1,117
99,IREB2,6115
100,ACO2,118
101,ACOX2,120
102,ACP1,122
103,ASMT,750
104,CYP2E1,2631
105,ACYP2,180
106,RWDD2A,21385
107,ACYP1,179
108,ADA,186
109,AK1,361
110,AK2,362
111,AK7,20091
112,AK5,365
113,AK4,363
114,AK3,17376
115,AMD1,457
116,ADCY10,21285
117,ADCY7,238
118,ADCY4,235
119,ADCY9,240
120,ADCY6,237
121,ADCY3,234
122,ADCY1,232
123,ADCY5,236
124,ADCY8,239
125,ADCY2,233
126,ADK,257
127,NUDT5,8052
128,NUDT9,8056
129,APRT,626
130,CPT1C,18540
131,CPT1A,2328
132,CPT1B,2329
133,CPT2,2330
134,PAPSS1,8603
135,PAPSS2,8604
136,ADSL,291
137,ADSS2,292
138,ADSS1,20093
139,B3GNT8,24139
140,B4GAT1,15685
141,B3GNTL1,21727
142,B3GNT4,15683
143,B3GNT7,18811
144,B3GNT2,15629
145,B3GNT3,13528
146,AMDHD2,24262
