Objective,coefficient
ala-L,0.119
amp,0.00555
arg-L,0.000927
asn-L,0.0121
asp-L,0.693
atp,43.15
chsterol,0.00827
clpn_hs,0.000574
cmp,0.00924
cys-L,0.00121
dag_hs,0.00315
damp,0.00227
dcmp,0.00152
dgmp,0.00152
dtmp,0.00227
gln-L,0.191
glu-L,0.168
gly,0.139
glygn1,0.266
gmp,0.0105
his-L,0.0287
ile-L,0.00371
leu-L,0.0111
lpchol_hs,0.00126
lys-L,0.00927
mag_hs,0.00386
met-L,0.00185
pa_hs,0.0164
pail_hs,0.0031
pchol_hs,0.0172
pe_hs,0.0201
phe-L,0.00371
pro-L,0.018
ps_hs,0.00589
ser-L,0.0371
sphmyln_hs,0.00241
tag_hs,0.0275
thr-L,0.0204
trp-L,0.000927
tyr-L,0.00556
ump,0.00555
val-L,0.0121
xolest_hs,0.00657
