,metabolites
0,gchola
1,btamp
2,whhdca
3,4ppcys
4,Naclys
5,co
6,ha
7,m(em)3gacpail_hs
8,phaccoa
9,fmn
10,galacglcgal14acglcgalgluside_hs
11,acglcgalgbside_hs
12,1a2425thvitd3
13,gh
14,atp
15,nadh
16,nadph
17,amet
18,gthox
19,gthrd
20,nmn
21,accoa
22,ala-L
23,amp
24,arg-L
25,asn-L
26,asp-L
27,chsterol
28,clpn_hs
29,cmp
30,cys-L
31,dag_hs
32,damp
33,dcmp
34,dgmp
35,dtmp
36,gln-L
37,glu-L
38,gly
39,glygn1
40,gmp
41,h2o
42,his-L
43,ile-L
44,leu-L
45,lpchol_hs
46,lys-L
47,mag_hs
48,met-L
49,pa_hs
50,pail_hs
51,pchol_hs
52,pe_hs
53,phe-L
54,pro-L
55,ps_hs
56,ser-L
57,sphmyln_hs
58,tag_hs
59,thr-L
60,trp-L
61,tyr-L
62,ump
63,val-L
64,xolest_hs
